variable,mean,median,sd,mad,q5,q95,q2.75,q97.5
lp__,-474.92059575,-474.613,3.20775752160467,3.0452604,-480.7831,-470.3201,-482.051605,-469.699875
skills[1],0.99999651875,0.999997,0.000101191037424074,0.000100816799999936,0.999833,1.00016,0.9998049725,1.0002
skills[2],1.3081378055,1.291475,0.22593770304885,0.222812541,0.9677591,1.6955585,0.9202214075,1.79547475
skills[3],0.96072620275,0.9502225,0.162393711435724,0.1587657036,0.71587685,1.243183,0.6825953775,1.316209
skills[4],0.66847208875,0.659029,0.112367810461483,0.1103602962,0.5019636,0.8682321,0.478571295,0.912666525
skills[5],0.9582053005,0.9484345,0.160570114949314,0.1572097149,0.7181102,1.241762,0.68724895,1.301809
skills[6],0.73111681275,0.72056,0.125330119572259,0.1231180692,0.54293695,0.95555815,0.52298136,1.010409
skills[7],1.4672639555,1.45291,0.245906443377179,0.245881797,1.093358,1.902429,1.040481575,1.99517325
skills[8],0.928907006,0.9179835,0.162258330877785,0.1628161668,0.6874398,1.212875,0.6551397575,1.28351275
skills[9],1.27206007625,1.25322,0.221613270686052,0.218045982,0.93984175,1.6612635,0.894246645,1.74746325
skills[10],0.96248645675,0.9463215,0.170652934264697,0.166192047,0.70637055,1.264364,0.6733284075,1.33006
skills[11],1.769654,1.75122,0.280421469438648,0.272657553,1.3481125,2.2664395,1.29162525,2.3896805
skills[12],0.81209847225,0.800556,0.138571391416937,0.1378721631,0.60708985,1.0511005,0.57923017,1.10641325
skills[13],0.915162945,0.9020245,0.155789366593416,0.1543023363,0.67954235,1.1836455,0.6479356975,1.245725
skills[14],0.85092960875,0.8387065,0.147164725902208,0.145265148,0.6308663,1.1193735,0.6019002125,1.18112225
skills[15],0.75259149275,0.745099,0.12829280604972,0.12320406,0.5552608,0.97704755,0.5298777825,1.03060675
skills[16],1.1733465915,1.16432,0.201046947555152,0.201181407,0.86443665,1.5193285,0.8186164425,1.595558
skills[17],1.15768529225,1.14069,0.199260731932096,0.196867041,0.8602794,1.494398,0.81923813,1.60068225
skills[18],1.272976683,1.25657,0.217471062354958,0.211218609,0.9414034,1.6574795,0.8928497575,1.75051425
skills[19],1.21910933925,1.20671,0.208629384248624,0.210440244,0.89882945,1.5858235,0.86527846,1.662621
skills[20],0.90607725225,0.8953805,0.153901448874377,0.1527678453,0.6786588,1.1782475,0.652223045,1.2422595
