variable,mean,median,sd,mad,q5,q95,q2.75,q97.5
lp__,-701.3811115,-701.0745,3.22672620686529,3.13050990000014,-707.2182,-696.70285,-708.6374675,-696.061125
skills[1],1.00000016325,1,0.000101098376939997,0.000103782000000021,0.999834,1.00016,0.9998069725,1.0002
skills[2],1.31908074925,1.30548,0.197064930770298,0.193056759,1.01591,1.659786,0.978529285,1.7356865
skills[3],0.9246416925,0.9131845,0.148051352931085,0.1512807975,0.701567,1.1842175,0.6722499475,1.24069625
skills[4],0.55964030975,0.5525115,0.0865636264335149,0.0840456288000001,0.4330925,0.70999595,0.4157405675,0.7466359
skills[5],0.89017063625,0.8806825,0.141953510901509,0.1392027966,0.6724728,1.136137,0.63878345,1.1906185
skills[6],0.62489718775,0.619218,0.0979385754225371,0.0950391077999999,0.4776232,0.7942092,0.4553680575,0.83228125
skills[7],1.35731794625,1.3438,0.205158960388956,0.202308183,1.05258,1.718265,1.0099601,1.79223525
skills[8],0.9687325545,0.960873,0.152484546462948,0.1508085894,0.7344021,1.234282,0.700622125,1.29903875
skills[9],1.0773100515,1.061605,0.170265573182134,0.1674307593,0.8277258,1.3815105,0.792584855,1.4493165
skills[10],0.80192787825,0.7937435,0.124230744248284,0.1223397042,0.6151758,1.0266215,0.596283815,1.0713685
skills[11],1.69452023,1.681235,0.24584768101573,0.242738685,1.3134175,2.118651,1.25996515,2.2193965
skills[12],0.76017973725,0.751476,0.120548002795035,0.119897862,0.57986145,0.969161,0.553968205,1.023348
skills[13],0.86651910575,0.853299,0.136250555514636,0.1304532327,0.6635991,1.111556,0.6344894375,1.16196225
skills[14],0.742668995,0.735462,0.117140582679758,0.1153618473,0.5673537,0.95072845,0.5451242875,1.00082875
skills[15],0.74299870575,0.735986,0.113336426024309,0.1100363481,0.56803045,0.9381441,0.5441204925,0.992547775
skills[16],1.0023082315,0.9905135,0.154553493372233,0.1482036612,0.76784055,1.2763155,0.736627395,1.341862
skills[17],0.9763816545,0.9633535,0.153808301410998,0.147377853,0.7475678,1.243783,0.708782115,1.3010035
skills[18],1.059173725,1.044575,0.165715644932029,0.162574503,0.8100539,1.3563475,0.774085455,1.4214505
skills[19],1.22321985325,1.2125,0.188098014004049,0.189654192,0.93480505,1.554497,0.896524885,1.61752125
skills[20],0.90777179475,0.897538,0.141187003840713,0.1324895838,0.6894963,1.1579445,0.6658437925,1.2257105
home_force,0.213642268175,0.209986,0.0452343817465563,0.0437248392,0.1439161,0.29192755,0.13324638,0.307324975
