"variable","mean","median","sd","mad","q5","q95","q2.75","q97.5"
"lp__",-5176.68908,-5167.975,54.2694868748085,67.6065599999999,-5263.7895,-5101.06,-5294.845225,-5098.99
"skill[1]",0.50402758075,0.5121955,0.10207654225596,0.1116234714,0.28084365,0.62548155,0.2639823675,0.63129735
"skill[2]",-0.25087077338125,-0.272996,0.117259286646349,0.1075811625,-0.40548185,-0.03079795,-0.4268877425,-0.00229594912499987
"skill[3]",0.15775274810175,0.162426,0.0833919939580821,0.0990243366,0.025490835,0.2789889,0.00921179555,0.307751775
"skill[4]",-0.19060290751775,0.004683515,0.567901745084129,0.441175080339,-1.1514815,0.49787835,-1.183202175,0.510625425
"skill[5]",0.226930428035125,0.16031385,0.188072554282324,0.241424115471,-0.0017723275,0.4990043,-0.01115718875,0.522602025
"skill[6]",-0.047862484324825,-0.03632655,0.0938756141642859,0.1071119196,-0.20640485,0.099386795,-0.21836844,0.107986275
"skill[7]",0.2378512031875,0.2688845,0.142873728374497,0.1952465592,0.024677315,0.43994065,-0.03728437525,0.450622525
"skill[8]",-0.13794434546475,-0.1014835,0.150496738739641,0.1338090978,-0.49636225,0.043744375,-0.539269295,0.0503329875
"skill[9]",0.1425821776541,0.146976,0.111266779270482,0.15235064166,-0.024106535,0.3063831,-0.03023629975,0.32393585
"skill[10]",0.349791102,0.4094665,0.160591032032729,0.1227555735,0.06384966,0.5347027,0.06063152325,0.562267925
"skill[11]",0.370443357925,0.395258,0.153385269709487,0.1477136619,0.10578945,0.5552974,0.07839782825,0.561505525
"skill[12]",0.41455450025,0.4046925,0.091947103645959,0.0915853911,0.2686967,0.58298325,0.254925205,0.6062389
"skill[13]",-0.25237341618375,-0.189652,0.176450524722357,0.16062888702,-0.53227635,-0.03333701,-0.5423199525,-0.0117196475
"skill[14]",0.1898548365729,0.2173705,0.104244397041919,0.0776170752,-0.017602845,0.33059695,-0.04293525325,0.360953125
"skill[15]",0.3786691805,0.3623115,0.116202739772983,0.0989146242,0.2017365,0.613081,0.1855292075,0.653015175
"skill[16]",-0.25546606159475,-0.247598,0.107619925966029,0.1042601385,-0.4364622,-0.1019544,-0.4765901875,-0.05821503
"skill[17]",-0.173108983025,-0.2288405,0.461315358101927,0.4925856957,-0.7241837,0.745752,-0.7402524,0.792481075
"skill[18]",0.63097051875,0.64513,0.0656465137433612,0.0730862496,0.51267785,0.7173744,0.49994321,0.72499225
"skill[19]",-0.35245281715,-0.3175055,0.145592739062073,0.1613854578,-0.5708861,-0.16001275,-0.5736570825,-0.138038425
"skill[20]",-0.316842517925,-0.3355125,0.0778359835535124,0.0384979329,-0.4241663,-0.126781,-0.4362004175,-0.102974225
"skill[21]",0.2174628584835,0.507801,0.693789989542469,0.6323081436,-0.8620051,0.96739635,-0.86559288,0.982541925
"skill[22]",0.032673492008075,-0.003732095,0.190286900856036,0.148511901153,-0.27196395,0.33003385,-0.2925078325,0.336549625
"skill[23]",-0.294327585249999,-0.3513825,0.596029804412281,0.59041342584,-1.1001605,0.6499015,-1.159451,0.688871025
"skill[24]",-0.293807249258075,-0.2052715,0.256979912315947,0.28242455115,-0.68024905,0.018828775,-0.6947519525,0.04412871
"skill[25]",-0.00161261884150011,0.19691,0.663698852612417,0.5626340979,-1.0981805,0.6264422,-1.10416165,0.843020925
"skill[26]",-0.263659070384,-0.239996,0.158563398163224,0.21826637049,-0.5007669,-0.0397503250000001,-0.51162736,-0.0197283375
"skill[27]",-0.1061336881284,-0.1011005,0.184709622939579,0.17892231777,-0.39938885,0.23156795,-0.465091675,0.285083925
"skill[28]",-0.334991133975,-0.842966,0.976534499451449,0.5092123134,-1.2254405,1.3983875,-1.2537087,1.44862425
"skill[29]",-0.233325032766,-0.210952,0.216327498433783,0.2391322605,-0.56152715,0.1996871,-0.59785286,0.256325975000001
"skill[30]",-0.896684092,-0.85237,0.208465080055354,0.2423813784,-1.3191835,-0.6497557,-1.3714155,-0.640746575
"skill[31]",0.0619319671817501,0.0982277,0.206279874289685,0.23220132789,-0.3259279,0.34643095,-0.35157481,0.41285545
"skill[32]",0.3486790046,0.330108,0.146903715109726,0.1965549537,0.125154,0.5598078,0.1036152225,0.562388575
"skill[33]",-0.075386805582,-0.04089285,0.224905148924692,0.22264448829,-0.47288235,0.23781935,-0.527082095,0.2633091
"skill[34]",0.21327523784175,0.264095,0.215724413151038,0.2220912561,-0.17980775,0.5319899,-0.2210497975,0.61899135
