"variable","mean","median","sd","mad","q5","q95","q2.75","q97.5"
"lp__",-726.89147075,-726.6205,7.81370492764595,7.78068479999999,-740.22325,-714.6311,-742.52255,-712.899975
"mu",0.06009440615925,0.0532712,0.606351517816909,0.6228195036,-0.92816405,1.0546725,-1.1065977,1.2662315
"h[1]",0.16971568956775,0.1745925,0.60511599819396,0.6088363617,-0.82659605,1.1523905,-0.9785762075,1.34401675
"h[2]",-0.09605441493,-0.1052795,0.614391231902683,0.6113330601,-1.1073825,0.9057336,-1.2823995,1.11104275
"a[1]",0.130301713433,0.123386,0.622206946148236,0.6087147885,-0.89738135,1.166415,-1.056450475,1.3913415
"a[2]",-0.06673479616175,-0.07231785,0.61917423377732,0.61931041179,-1.0881625,0.967984599999999,-1.2524235,1.12999325
"a[3]",0.125646706142025,0.1237635,0.615851444534549,0.5985574959,-0.8772355,1.1314965,-1.049254675,1.3703155
"a[4]",-0.173589293214875,-0.177351,0.59975074217687,0.597472974,-1.1594275,0.82179685,-1.3109744,1.02666125
"a[5]",0.216032026642525,0.209261,0.616689277886105,0.6026791239,-0.8225658,1.2451735,-0.9988688525,1.46312825
"a[6]",-0.08905049119955,-0.07636705,0.606474336498084,0.6191055906,-1.111747,0.8863195,-1.304713325,1.07537725
"a[7]",0.0147211240655,0.019015,0.627837436561577,0.6266787114,-1.0188095,1.0490925,-1.177591575,1.23264425
"a[8]",-0.19213122501425,-0.1939695,0.601832464727425,0.5881288875,-1.17086,0.784562049999999,-1.326497925,1.00284425
"a[9]",0.037873160525,0.04518995,0.623972595836063,0.62828503437,-1.0044225,1.0721655,-1.164161075,1.27187575
"a[10]",0.0555947720793,0.04927295,0.617269306152847,0.60917965773,-0.9716425,1.0659445,-1.138639525,1.2809405
"a[11]",0.08848536092225,0.09194385,0.616108147354067,0.6220166757,-0.92010375,1.093855,-1.099264625,1.309387
"a[12]",-0.0799845585215,-0.07213495,0.614826343484708,0.5970585873,-1.0977055,0.90828065,-1.2878811,1.10563225
"a[13]",0.2172305362434,0.2130695,0.617947558173565,0.6203072379,-0.8005459,1.2258345,-0.9862017,1.42335375
"a[14]",-0.12900828953475,-0.129528,0.617196502711954,0.618807588,-1.1612845,0.8782972,-1.33199225,1.075481
"a[15]",0.053483383106,0.0584258,0.627431484290451,0.62456570988,-1.02561,1.079349,-1.171070825,1.2696955
"a[16]",-0.1610536338165,-0.1698175,0.610659008922759,0.6092166486,-1.1571985,0.8274145,-1.3008342,1.02470225
"a[17]",-0.0474887302216,-0.0599683,0.622434260528464,0.6403097358,-1.056526,0.97095895,-1.211539375,1.15876875
"a[18]",-0.02930117050875,-0.02666995,0.613006915797255,0.6107756025,-1.045237,0.950869099999999,-1.207021025,1.140789
"a[19]",-0.02666754691815,-0.019598,0.595312231034242,0.6084605226,-1.0000177,0.93870795,-1.161264775,1.13234025
"a[20]",0.037071130854325,0.0372066,0.622834686567176,0.63118299846,-0.97864535,1.0640245,-1.141930525,1.237488
"d[1]",-0.061204549338425,-0.05941615,0.618378400228576,0.62133445731,-1.082856,0.94690745,-1.24422155,1.1463595
"d[2]",0.2903763887315,0.292684,0.593844315820058,0.595323204,-0.6957544,1.2683155,-0.8434921575,1.4332745
"d[3]",-0.12997660997435,-0.133993,0.624088493192896,0.6152849304,-1.148299,0.9043902,-1.3155161,1.094445
"d[4]",-0.157297309512,-0.149353,0.618887799533885,0.6112203825,-1.1854405,0.8699329,-1.345142075,1.05563425
"d[5]",-0.209565780573,-0.1997915,0.621328849341818,0.6400695546,-1.222972,0.813304349999999,-1.372251325,1.00930625
"d[6]",-0.093182491528,-0.08098925,0.588196485978003,0.583936836,-1.0424855,0.87006515,-1.23663195,1.05477175
"d[7]",0.042450491788,0.05158155,0.617307832641433,0.6206274795,-1.0001805,1.054302,-1.151499625,1.22156325
"d[8]",-0.22637574573025,-0.2292305,0.623460372437787,0.6136674138,-1.264545,0.78893,-1.445430725,0.983375925
"d[9]",-0.166275557734625,-0.1687825,0.623828854661085,0.6103100661,-1.1927875,0.844302899999997,-1.3745845,1.06198875
"d[10]",0.1043373483465,0.108997,0.606977658221055,0.6183687384,-0.8951573,1.104761,-1.057540425,1.3009045
"d[11]",-0.2223232390055,-0.2154285,0.603117491108667,0.5968977252,-1.2300265,0.770557749999999,-1.4120153,0.93648625
"d[12]",0.0842440144025,0.0815329,0.61232252885228,0.6331695342,-0.9085125,1.1160945,-1.05900775,1.316602
"d[13]",0.1002701187863,0.09764185,0.610391072433181,0.59714954481,-0.90483985,1.1077245,-1.045692475,1.31642425
"d[14]",0.21968535957975,0.2220965,0.601167886988403,0.6034886235,-0.76962625,1.20939,-0.9259642275,1.40300225
"d[15]",-0.03030869176875,-0.0343579,0.61148812464746,0.605293689,-1.036461,0.9911198,-1.19324885,1.17768125
"d[16]",0.1006852418725,0.0930704,0.607687055363793,0.60019369326,-0.8839826,1.078571,-1.0807648,1.2727875
"d[17]",-0.012136188157,-0.0112722,0.610668861702901,0.605338167,-1.0322925,0.9882062,-1.183621925,1.189273
"d[18]",0.00869168140175002,0.01475435,0.606787340607118,0.6007428483,-1.0048895,1.0034285,-1.1605943,1.2051445
"d[19]",0.387214998122,0.3733435,0.607873269640882,0.60920968038,-0.611912,1.3844405,-0.780524605,1.58561625
"d[20]",0.01197061004275,0.005044605,0.622310015619356,0.621689918073,-0.9975597,1.043066,-1.17130045,1.23300425
"ha[1]",-0.1319831371065,-0.124107,0.633374077830764,0.6240648876,-1.160236,0.9046139,-1.339248725,1.095593
"ha[2]",-0.32417553559175,-0.320687,0.640700564189973,0.6479473497,-1.384018,0.7390354,-1.538326075,0.936126025
"ha[3]",0.175654985082925,0.173546,0.624899124708118,0.613922421,-0.86123475,1.199262,-1.075418975,1.363532
"ha[4]",0.2627609411335,0.261542,0.615454372511576,0.6074412351,-0.75849885,1.282832,-0.9167524525,1.48052575
"ha[5]",0.06718961331965,0.0581392,0.615515036992266,0.61357519608,-0.9397184,1.095034,-1.138146525,1.28982725
"ha[6]",-0.0627552994645,-0.07135185,0.616709043428003,0.61415126031,-1.0629515,0.977916149999999,-1.226973575,1.1911125
"ha[7]",-0.02797904197425,-0.03244485,0.61905460061192,0.61539708909,-1.051409,0.997809849999999,-1.1971531,1.175817
"ha[8]",-0.44072322982775,-0.4548175,0.622206259272646,0.63244891647,-1.4534075,0.55054045,-1.6190074,0.76724135
"ha[9]",0.0135792383816,0.0156494,0.63377411248835,0.62911032366,-1.021102,1.0584585,-1.233748425,1.269308
"ha[10]",0.0568562923224,0.0612828,0.631083011923742,0.60550154952,-0.97359095,1.107411,-1.152228675,1.334254
"ha[11]",-0.0422258432425,-0.0432181,0.626066134778368,0.6334312131,-1.059585,0.99925095,-1.219719875,1.1812285
"ha[12]",-0.00714016341727501,-0.004398405,0.619015560194757,0.621709177047,-1.013237,1.0065295,-1.18871045,1.1962085
"ha[13]",0.0705164553415,0.0826078,0.619317871590337,0.6220893231,-0.93827135,1.072155,-1.136910625,1.26991825
