"variable","mean","median","sd","mad","q5","q95","q2.75","q97.5"
"lp__",-3556.122655,-3555.82,5.4207781922919,5.38925099999999,-3565.542,-3547.859,-3567.43,-3546.4595
"mu",0.06606621356225,0.06389765,0.570171767845022,0.5447205834,-0.8635876,1.052316,-1.04025865,1.22477475
"h[1]",0.191293353266625,0.21286,0.558206547501633,0.534002868,-0.7719126,1.0903485,-0.9560270675,1.29092075
"h[2]",-0.13106169826125,-0.1090315,0.557900899873614,0.5359517457,-1.091475,0.7667294,-1.278762275,0.959640925
"a[1]",0.29964250529775,0.2978395,0.197128742593786,0.1798845993,-0.022701815,0.6417795,-0.07666869025,0.7370525
"a[2]",0.09856463435575,0.09727705,0.198352071980416,0.18093368706,-0.22662455,0.43825915,-0.2785284075,0.540348075
"a[3]",0.257942566771622,0.2550815,0.195278664788093,0.1705968516,-0.06584435,0.603416199999999,-0.11257155,0.69769415
"a[4]",-0.46945298472375,-0.465343,0.230224233242522,0.2164262415,-0.85313615,-0.075430505,-0.9114884825,0.0114412200000002
"a[5]",-0.03013737756475,-0.03611625,0.202487073312157,0.18748677906,-0.3584579,0.3243201,-0.4127474425,0.412242525
"a[6]",-0.5529532481,-0.550232,0.26908398773024,0.2659213599,-0.9977645,-0.1054853,-1.0712109,-0.0176582574999999
"a[7]",0.350004111174075,0.348398,0.194897400399077,0.1718570616,0.027201035,0.6920378,-0.0233554535,0.782183
"a[8]",0.04610759018365,0.0460209,0.199949380523178,0.17541641355,-0.27871635,0.39883155,-0.3340643875,0.498918575
"a[9]",0.062766570184075,0.0618955,0.198072364689673,0.18344943687,-0.26085115,0.39974875,-0.306702955,0.500557875
"a[10]",-0.034674604188325,-0.03880735,0.203004119136342,0.18688432455,-0.36335945,0.3205716,-0.4156798975,0.4191183
"a[11]",0.48069999229,0.4784805,0.19586806377745,0.175413819,0.15899015,0.8185798,0.1055232925,0.92962665
"a[12]",-0.312852430304775,-0.3147905,0.22462970094274,0.2152750026,-0.67315495,0.0683141299999997,-0.735388725,0.16673055
"a[13]",0.15857973005435,0.1544265,0.197155303095842,0.1809639321,-0.1628807,0.49732785,-0.219041655,0.604442825
"a[14]",-0.012450442158525,-0.01506365,0.202190730300209,0.18524842371,-0.34659725,0.3292334,-0.386108735,0.44046165
