"variable","mean","median","sd","mad","q5","q95","q2.75","q97.5"
"lp__",-713.42140925,-713.086,4.60482022435069,4.49376060000001,-721.59205,-706.47365,-723.0951925,-705.3462
"mu",0.076666031380075,0.0792045,0.588192850058198,0.5832007251,-0.87320875,1.0790505,-1.03412545,1.26840675
"h[1]",0.165420117690875,0.1684255,0.573372481421993,0.5554464531,-0.79398845,1.0981895,-0.94690722,1.284453
"h[2]",-0.1058108221881,-0.09863705,0.574766572950863,0.55940195577,-1.076777,0.8196684,-1.228537425,1.02002425
"a[1]",0.4108504586995,0.415884,0.258862469156879,0.2607040905,-0.03056419,0.8254921,-0.098418906,0.9048737
"a[2]",0.3450559133555,0.350874,0.263907465076933,0.2617263432,-0.10020255,0.7797252,-0.1743769525,0.866260475
"a[3]",-0.3244439256517,-0.320949,0.286296548594819,0.2841150858,-0.78997195,0.14281635,-0.8783013175,0.232712025
"a[4]",0.07437092719975,0.08091775,0.266033146865756,0.26316513237,-0.38003155,0.5063841,-0.4542071425,0.58686145
"a[5]",0.111626085693825,0.111926,0.265867790594658,0.26188401771,-0.3306981,0.5438501,-0.404232855,0.627449975
"a[6]",-0.18320691247025,-0.178491,0.275592041976228,0.274985168283,-0.65042995,0.2660651,-0.7211279625,0.35330615
"a[7]",0.146036494105,0.1479605,0.265804438997933,0.26353281717,-0.29901585,0.5868582,-0.3697026325,0.65368385
"a[8]",0.0944539196631055,0.100481,0.266318168216108,0.26591624493,-0.3505,0.51450345,-0.4233591775,0.61218975
"a[9]",-0.00322533593104999,-0.001456885,0.271233840203708,0.269221056699,-0.45688605,0.42908145,-0.53165338,0.532596275
"a[10]",-0.12156614295775,-0.11357,0.277152166097024,0.27232166997,-0.590076,0.32837915,-0.668878575,0.409185175
"a[11]",0.1520159107593,0.15832,0.26639367665693,0.26569474449,-0.2962724,0.58712765,-0.3802012175,0.6657623
"a[12]",0.1928875003246,0.200784,0.261671208638331,0.2541628593,-0.2533146,0.61954095,-0.3216064975,0.702192275
"a[13]",-0.3590133136975,-0.35025,0.284500630100613,0.2828526519,-0.83226165,0.095658805,-0.9158805725,0.188041925
"a[14]",0.18492539385405,0.190528,0.265518996341258,0.25868634603,-0.2595173,0.61298705,-0.34196082,0.7024318
"a[15]",-0.3589418763414,-0.3585495,0.290977379250847,0.2884442778,-0.8364577,0.1272975,-0.9299176525,0.211015575
"a[16]",0.2869398639518,0.2938355,0.259912789680336,0.264154842,-0.1555477,0.70528235,-0.2252634225,0.7902616
"a[17]",-0.28235995468125,-0.275699,0.283091061683489,0.2843070825,-0.7537664,0.16567315,-0.8575784775,0.25369325
"a[18]",-0.1819417247229,-0.175901,0.283611261435096,0.27629296233,-0.6646339,0.2850277,-0.744305115,0.3711507
"a[19]",-0.074477780956425,-0.07353265,0.273939486904036,0.2740667643,-0.53248265,0.3642109,-0.6150140075,0.44831675
"a[20]",0.26335443759125,0.271438,0.25938295194474,0.25440289224,-0.17718395,0.68344525,-0.2464348125,0.763163525
"d[1]",0.07370622580624,0.0770496,0.247187261525489,0.24036785934,-0.3474152,0.4678358,-0.4204845,0.544882025
"d[2]",0.00406467954924999,0.007135075,0.250781588261261,0.249665281005,-0.4023563,0.413171,-0.476644085,0.491575675
"d[3]",0.2884322172985,0.2864105,0.240308688121494,0.2426778984,-0.11440975,0.68491105,-0.17688923,0.749760025
"d[4]",0.259320362777725,0.258003,0.241266255534401,0.23691295656,-0.14648975,0.64726305,-0.21316499,0.720722375
"d[5]",-0.200835375735475,-0.201012,0.256432138223407,0.25760664258,-0.6238896,0.2119257,-0.7029635225,0.29989485
"d[6]",0.192815662315,0.195217,0.243171669678009,0.24191917785,-0.21370605,0.5933025,-0.27934583,0.65393505
"d[7]",0.116057360515425,0.1187155,0.244851357346135,0.24422751192,-0.29661475,0.50617295,-0.3623493575,0.58809745
"d[8]",-0.126641900121175,-0.129178,0.25490837976247,0.2557581369,-0.54456075,0.28936175,-0.61418172,0.36811875
"d[9]",-0.013157632763825,-0.0168451,0.25415328189643,0.2512673415,-0.43532615,0.4005364,-0.5109262875,0.492455325
"d[10]",-0.02020412651215,-0.02117085,0.252285915101992,0.2533607727,-0.44710065,0.3886551,-0.5167481325,0.46131625
"d[11]",-0.12536985133125,-0.121442,0.260994604124947,0.25303067181,-0.56597135,0.2946598,-0.649404655,0.3791817
"d[12]",-0.0739353690144,-0.0744136,0.254646001763336,0.25347508116,-0.50514965,0.34576165,-0.5796433575,0.4249059
"d[13]",0.07431741812972,0.0766038,0.246309740317368,0.24556340865,-0.33005875,0.4810246,-0.4051737125,0.550796025
"d[14]",0.11947354325225,0.122989,0.243730352690682,0.24462492285,-0.2746779,0.5190671,-0.347838075,0.59949525
"d[15]",0.14942511698065,0.152278,0.244545200542289,0.2362397079,-0.26064105,0.55068865,-0.321922085,0.6286444
"d[16]",-0.24746492978382,-0.2414645,0.263748893352424,0.26527309305,-0.68530695,0.1727245,-0.756067445,0.2486828
"d[17]",-0.049342437104,-0.04445815,0.252678063456053,0.2486750154,-0.4783152,0.36135045,-0.5310923675,0.450434825
"d[18]",-0.24510774922625,-0.240946,0.260222813484951,0.24740198091,-0.68219825,0.1897561,-0.749660135,0.263967425
"d[19]",0.316913545164,0.319066,0.240011675904188,0.2418009405,-0.08117928,0.71096775,-0.1476885825,0.785799975
"d[20]",-0.0965741628339,-0.09496205,0.255815343250223,0.25346425818,-0.52969635,0.318784,-0.5946593025,0.393235625
