"variable","mean","median","sd","mad","q5","q95","q2.75","q97.5"
"lp__",-708.67315925,-708.2485,4.7963748396878,4.80140009999998,-717.04115,-701.53695,-718.7782475,-700.515925
"mu",0.072479861526125,0.07361435,0.595655533524319,0.5993217762,-0.9056579,1.022064,-1.091363575,1.24781
"h[1]",0.22251264342075,0.232897,0.579661110841456,0.5835647034,-0.70580655,1.1567025,-0.90952388,1.374369
"h[2]",-0.14163768881575,-0.134669,0.579245064364696,0.5774630631,-1.0815425,0.7972643,-1.261308675,0.981083375
"a[1]",0.00869148379481252,0.00872925,0.261979608675246,0.26292094815,-0.41906335,0.44080665,-0.4864016725,0.5172345
"a[2]",0.25351625609705,0.2543615,0.257773049329924,0.2585543205,-0.17585565,0.68088185,-0.2440029975,0.750003325
"a[3]",0.34960308766225,0.349424,0.252267105788327,0.2544401055,-0.061380185,0.765739,-0.13340205,0.84526925
"a[4]",-0.0101689554591625,-0.0147953,0.265159599946685,0.26427597042,-0.4370331,0.418206249999999,-0.52845916,0.5155957
"a[5]",0.210702366177425,0.2064315,0.257152719627664,0.26329656486,-0.20106045,0.63191575,-0.2534632425,0.72601835
"a[6]",0.08496245363425,0.08227595,0.258686684410703,0.2554245519,-0.32881915,0.51795115,-0.4099136375,0.597050675
"a[7]",0.37690936376275,0.3736715,0.253008352805496,0.2507321229,-0.034108625,0.8002344,-0.0928785205,0.8826862
"a[8]",-0.2657972695675,-0.271911,0.274795041291464,0.2829801555,-0.71046425,0.2021129,-0.7787097925,0.286165175
"a[9]",-0.079677390707525,-0.08159305,0.270699089782599,0.27393488703,-0.5173324,0.3777982,-0.58312507,0.457907525
"a[10]",-0.0143814532752,-0.0173087,0.265001212295695,0.2666241123,-0.44038485,0.4211458,-0.5029273525,0.502406675
"a[11]",-0.38847139316575,-0.382892,0.28422987421819,0.2824516086,-0.8651712,0.0789460949999999,-0.93473309,0.156946525
"a[12]",0.120357803444047,0.1147415,0.258730073874904,0.26368685931,-0.29458645,0.5425972,-0.359065955,0.62295045
"a[13]",0.03153120662225,0.0296472,0.262801409237135,0.27437040078,-0.39884585,0.455571,-0.45926349,0.534354825
"a[14]",-0.351610892405275,-0.3500005,0.278708017060063,0.2750979126,-0.80913065,0.10760945,-0.8913382675,0.20076735
"a[15]",-0.10888280921075,-0.103657,0.273555173462233,0.27128844603,-0.561543,0.33386125,-0.6462210825,0.423345625
"a[16]",0.29581176586575,0.286262,0.252603878819723,0.2516239068,-0.11037985,0.7222952,-0.17322111,0.7985493
"a[17]",-0.2407271095585,-0.2436555,0.275795336249054,0.27337631748,-0.68764965,0.21401645,-0.7604516475,0.3040801
"a[18]",-0.10548959071725,-0.105941,0.268175845488464,0.27560340507,-0.546739,0.33566105,-0.6105292725,0.40942535
"a[19]",-0.107400525901225,-0.1083945,0.272194848149449,0.27218349165,-0.55507895,0.33957835,-0.6320319375,0.427251275
"a[20]",-0.0906957109327765,-0.0912039,0.266153240192057,0.27038339286,-0.5264504,0.345233349999999,-0.6090565225,0.423447875
"d[1]",-0.20281596848,-0.2012345,0.265632349655709,0.25912274934,-0.6484774,0.2262351,-0.733924615,0.31291425
"d[2]",-0.3571716428063,-0.355257,0.273369714560194,0.2654424801,-0.80792015,0.078126445,-0.906461515,0.17178975
"d[3]",-0.07746808726725,-0.07550615,0.265111602631698,0.2613808974,-0.514544,0.34441625,-0.597233845,0.428043025
"d[4]",-0.095902793639375,-0.100247,0.260391397144839,0.25887144864,-0.52913595,0.3244975,-0.601888035,0.407184525
"d[5]",-0.0632374296035,-0.05817935,0.260993584523837,0.259543956,-0.4962864,0.3508848,-0.572179205,0.431026175
"d[6]",0.061695790951925,0.0633645,0.253789050241377,0.2490553023,-0.35910425,0.4803028,-0.445998405,0.554717275
"d[7]",-0.48319392153294,-0.4842115,0.273745803815781,0.2662949751,-0.9338115,-0.0323061250000001,-1.015102175,0.06183802
"d[8]",-0.110611307610353,-0.1056055,0.263068264741223,0.26334193242,-0.5430128,0.3043624,-0.63222905,0.39913375
"d[9]",-0.0566317639874,-0.0487476,0.264291243826444,0.2604846657,-0.5083979,0.36372795,-0.5788329475,0.460359775
"d[10]",-0.228348129283475,-0.223947,0.262443914902788,0.25292095941,-0.6689595,0.2014557,-0.7384668325,0.283217725
"d[11]",0.4036335778095,0.404674,0.242826145276421,0.2374769376,-0.00418383649999998,0.7969853,-0.0713399565,0.885071875
"d[12]",0.27013890594775,0.2741905,0.249035674988124,0.2398831974,-0.1322589,0.67672405,-0.211255125,0.7457402
"d[13]",-0.1456627199649,-0.1472005,0.262283872017498,0.27049569981,-0.57955175,0.28254685,-0.657451625,0.369177175
"d[14]",-0.086681580255125,-0.0827019,0.261819643338935,0.25200500913,-0.52498555,0.3405358,-0.6043060675,0.423948025
"d[15]",0.22552941590025,0.2270875,0.25013835943967,0.2467216899,-0.18293905,0.634581299999999,-0.25509491,0.7238248
"d[16]",-0.1296104673205,-0.1272095,0.268703269794711,0.27134485896,-0.58604815,0.30909575,-0.64763724,0.388687575
"d[17]",0.2691381885041,0.271522,0.249246967224099,0.2460181962,-0.1483262,0.67762055,-0.230274775,0.76258845
"d[18]",-0.12611973666375,-0.122346,0.264768308963187,0.26589993633,-0.56521965,0.303787,-0.6417725075,0.3898785
"d[19]",0.27383753045875,0.2733855,0.249176511880001,0.2455860183,-0.14610095,0.68075035,-0.2218556575,0.757609175
"d[20]",0.151660749478955,0.1593795,0.250235005117262,0.243054693777,-0.2688502,0.56164525,-0.335308645,0.630376625
