variable,mean,median,sd,mad,q5,q95,q2.75,q97.5
lp__,-7425.5039025,-7425.165,4.17135745906012,4.14386700000011,-7432.8105,-7419.25,-7434.5,-7418.33
skills[1],0.99999981525,1,9.75589850107895e-05,0.000100816800000101,0.999835,1.00016,0.9998099725,1.00019
skills[2],0.70940836125,0.708434,0.0403449861254421,0.0398886117000001,0.6432325,0.7767941,0.6333888925,0.788339475
skills[3],0.86234657675,0.8621425,0.0421408384795266,0.0424876095000001,0.79383085,0.93225235,0.78198235,0.945393725
skills[4],0.6958101245,0.694226,0.0506518253414731,0.0509087774999999,0.6156202,0.7822039,0.60410391,0.799827675
skills[5],0.92078245225,0.9204935,0.0460407601720424,0.0465958941,0.84608085,0.99841965,0.836843445,1.013681
skills[6],0.783057755,0.7819785,0.0407551439504461,0.0396336045,0.71726335,0.852417,0.7069845475,0.865938425
skills[7],0.907386317,0.90553,0.0448529008231527,0.0446825988,0.83764505,0.98438165,0.826942445,1.0004
skills[8],0.743425884,0.7423195,0.0410405111852256,0.0404505170999999,0.677464,0.8136314,0.668526125,0.82590265
skills[9],0.885355813,0.8844795,0.0430106928691262,0.0438686514,0.8168996,0.95721045,0.806685965,0.97277375
skills[10],0.96960483,0.968728,0.049794889373213,0.0496752543,0.8876969,1.051091,0.87481952,1.0681225
skills[11],0.98798075475,0.986949,0.0487895276492524,0.0492534546000001,0.9095295,1.0684405,0.8991201575,1.08494675
skills[12],0.94771904075,0.946681,0.0463952033003674,0.0457648967999999,0.8713786,1.0266025,0.8588811325,1.04147275
skills[13],0.792705665,0.7926715,0.0430352602368301,0.0437989691999999,0.72417055,0.86392975,0.71434212,0.877876925
skills[14],0.87710584075,0.876314,0.0474641391503598,0.0476122164000001,0.80080685,0.9577793,0.78745945,0.974582675
skills[15],0.94629252825,0.9458575,0.0473907552784525,0.0475899773999999,0.8691157,1.025473,0.85834858,1.0405375
skills[16],0.705556099,0.7033605,0.0466175293271946,0.0461474075999999,0.6307098,0.78412155,0.619543625,0.7994943
skills[17],0.60449343825,0.599543,0.0695243827582177,0.0692263005,0.49750585,0.725388,0.482942295,0.752405775
skills[18],1.062932588,1.06154,0.0515042420277056,0.051238656,0.9796195,1.1510315,0.9669461675,1.1680345
skills[19],0.70066109675,0.7004955,0.0380331845870531,0.0387203228999999,0.6397015,0.76496135,0.6312708075,0.776841425
skills[20],0.7020184205,0.7007305,0.038505279190217,0.0383859965999998,0.6421802,0.7672929,0.630965,0.77983275
skills[21],0.64167738975,0.63781,0.0741818794654402,0.0746422383,0.52719765,0.7678767,0.5099798725,0.7928747
skills[22],0.71986278225,0.718488,0.0417025786146147,0.0417181401,0.6509466,0.7891845,0.641503565,0.803244
skills[23],0.77054445,0.7690115,0.0565192324962794,0.0560170757999999,0.6837478,0.86897975,0.66785012,0.887683925
skills[24],0.59336899225,0.592619,0.0377853276064436,0.0370042134,0.533996,0.6577927,0.5229446875,0.6711293
skills[25],0.63204739,0.6270105,0.0726386779725671,0.0703723503,0.5233112,0.7612796,0.5078959,0.78601185
skills[26],0.6804637915,0.678498,0.0413434873775503,0.0408004107,0.6161093,0.7526036,0.6053267825,0.76426085
skills[27],0.73546020825,0.733903,0.0478546942641384,0.0475039866,0.66011495,0.8155861,0.6467417725,0.830101125
skills[28],0.53343021425,0.528255,0.0621271028024887,0.0609163274999999,0.4385025,0.6434304,0.4257936275,0.66452555
skills[29],0.813041208,0.811835,0.0501419349497639,0.0495885222000002,0.7320614,0.8976052,0.7198201125,0.91794485
skills[30],0.5654287025,0.560668,0.0643152981678434,0.0602810334,0.46560735,0.6774182,0.4491464325,0.703309325
skills[31],0.842932149,0.841688,0.0510859465018345,0.0508583691,0.76068205,0.9298618,0.7485745275,0.94599315
skills[32],0.91377660625,0.912379,0.0609546540065438,0.0624500772,0.8174637,1.0159485,0.8029612975,1.03759175
skills[33],0.8061006375,0.8046645,0.0587760079598004,0.0595649375999999,0.71153625,0.90581165,0.696467625,0.924379725
skills[34],0.63207647825,0.6298825,0.0550697524499043,0.0543617529000001,0.54391325,0.7273905,0.5313686275,0.748299425
