variable,mean,median,sd,mad,q5,q95,q2.75,q97.5
lp__,-740.037383,-739.7605,3.0448387896775,2.93184150000011,-745.8488,-735.61095,-746.937,-735.1146
skills[1],0.999996734,0.999995,0.000100037603552564,9.63690000003021e-05,0.99983495,1.00016,0.9998069725,1.00019
skills[2],1.2437678305,1.23021,0.173990185114362,0.171114279,0.97364145,1.55573,0.9402981775,1.62027075
skills[3],0.69705961875,0.6901475,0.097986804681923,0.0981562742999999,0.54802635,0.874902,0.5277854,0.9097996
skills[4],0.869351426,0.861235,0.128367317852474,0.1249646475,0.67470745,1.1002295,0.6503898225,1.148744
skills[5],1.175178586,1.163855,0.167482403987692,0.163471476,0.9212,1.4703395,0.8861291475,1.535589
skills[6],0.79163866475,0.785521,0.11500467238384,0.1118377071,0.61806745,0.99139695,0.597101675,1.04090275
skills[7],1.0038126725,0.993006,0.141837997418062,0.1395015405,0.7912199,1.2523955,0.7605832775,1.3079515
skills[8],1.1192152065,1.109465,0.160908345959974,0.158141529,0.8734215,1.406667,0.84389518,1.47355
skills[9],0.9941368635,0.9814515,0.145034866547142,0.1424912034,0.77760085,1.2472825,0.7440487675,1.315866
skills[10],0.93684095425,0.9268215,0.136792540535165,0.1346438016,0.73425155,1.1789195,0.70599526,1.24126325
skills[11],1.15869317275,1.145565,0.165861698983534,0.164116407,0.9070072,1.4521805,0.8804791375,1.51940725
skills[12],1.16164377875,1.149665,0.161324321108897,0.160128213,0.9167537,1.438583,0.8871767,1.49692175
skills[13],0.79247173425,0.7830575,0.113496292418679,0.1103773461,0.62435925,0.9945885,0.6007784425,1.03928075
skills[14],1.032014871,1.022715,0.145281009849156,0.145561668,0.80891385,1.2889655,0.78345272,1.342187
skills[15],0.75491801375,0.747838,0.108775198786489,0.1089577566,0.58785455,0.9367894,0.5663131825,0.9908128
skills[16],1.34280064325,1.32882,0.191956387357576,0.183182643,1.048549,1.682924,1.0044856,1.751281
skills[17],0.88074067075,0.872699,0.12836305054244,0.1287571383,0.6873479,1.1083205,0.6594028375,1.15328075
skills[18],1.0155001935,1.0037,0.144082015211496,0.1446313365,0.79591425,1.273452,0.76436985,1.32128775
skills[19],0.76396442525,0.7544205,0.11251977446878,0.1140942243,0.5953497,0.96039605,0.5762566475,1.00077175
skills[20],1.22942980625,1.21901,0.171765283505422,0.171699906,0.96756795,1.5273925,0.932192505,1.589045
