"variable","mean","median","sd","mad","q5","q95","q2.75","q97.5"
"lp__",-27116.401225,-27115.7,36.8151756791877,37.2132599999978,-27178.8,-27056.9,-27187.7,-27047.4
"skills[1]",0.8773558427645,0.838683,0.499094912645697,0.5468444079,0.1370858,1.7632015,0.0808577485,1.90423775
"skills[2]",0.96689361264,0.959626,0.441656652077104,0.4693296321,0.24968455,1.6980315,0.14924455,1.84593275
"skills[3]",0.8641034178,0.84718,0.398143381149507,0.4171947444,0.22896345,1.5480985,0.157999005,1.6804705
"skills[4]",0.839209924751,0.749597,0.566562991249888,0.5759648958,0.0912631,1.898162,0.050922264,2.13536625
"skills[5]",0.7093923268245,0.6471165,0.449431674699954,0.4615667385,0.085353915,1.5439255,0.0510840055,1.736487
"skills[6]",1.02828435553,1.023645,0.43408242155194,0.4416872964,0.32747035,1.7557705,0.23865514,1.92825325
"skills[7]",1.161673641274,1.160795,0.418817362537025,0.4163578167,0.46416555,1.839147,0.321265515,1.9822195
"skills[8]",1.004320710195,0.988229,0.45658783172738,0.4709975571,0.27072475,1.7813665,0.16495445,1.91864475
"skills[9]",0.7435736750225,0.718869,0.375854525281913,0.3936666237,0.1675017,1.3804995,0.1080345275,1.54855225
"skills[10]",0.7911243983275,0.7830985,0.354476937119178,0.3643600695,0.21533655,1.384805,0.1504000825,1.5076895
"skills[11]",1.06245058825,1.04326,0.449219404895722,0.4633562367,0.3372341,1.838228,0.257026205,1.9704805
"skills[12]",1.0121654019545,0.9907815,0.524654099759239,0.5590862361,0.19786315,1.9344535,0.12477463,2.0977225
"skills[13]",0.9642337107125,0.9422825,0.488002819672565,0.5111396934,0.197433,1.8186235,0.1335709925,1.99222775
"skills[14]",1.081754395925,1.0721,0.407752498995876,0.4086015948,0.41173085,1.770565,0.3232304,1.91183675
"skills[15]",1.0464366579375,1.045325,0.395212047362003,0.4045956096,0.41383285,1.697971,0.306098865,1.82963275
"skills[16]",0.89832117833,0.885496,0.448176617685845,0.4682110104,0.19860675,1.67838,0.117303255,1.83429425
"skills[17]",0.6505448844915,0.5999295,0.417109183874045,0.4460313144,0.078550735,1.416733,0.0433879125,1.5844335
"skills[18]",0.7782386625175,0.770658,0.335562631639323,0.3479543592,0.2412412,1.3490115,0.1741724775,1.45370775
"skills[19]",0.9967961206775,0.9857355,0.442144144026836,0.4563850515,0.2806845,1.741129,0.1713094,1.88225475
"skills[20]",0.9506848891765,0.9055185,0.507569185290398,0.5267892777,0.18322195,1.8256535,0.1185425825,1.99926275
"skills[21]",0.8615797368425,0.8409745,0.385936761925616,0.3928845522,0.23811775,1.5344385,0.14672342,1.643317
"skills[22]",0.98863862987,0.99382,0.420457808357897,0.431688642,0.2961117,1.6779925,0.1945602975,1.82744975
"skills[23]",0.7821105155325,0.756895,0.418082839633984,0.4304617905,0.140494,1.5135765,0.08336959825,1.691619
"skills[24]",1.0210230056025,1.00341,0.495907363598743,0.5076400161,0.2301152,1.865692,0.1546550425,2.03629375
"skills[25]",0.96294634097775,0.9597675,0.423698856006382,0.4360615707,0.2956412,1.68424,0.2044317175,1.8226455
"skills[26]",0.8406693097675,0.775662,0.540795184350596,0.5792955567,0.093147945,1.8365055,0.05560120225,2.068426
"skills[27]",0.8348944232444,0.7628085,0.545337696412382,0.5671360128,0.09283345,1.8358245,0.050547753,2.04257925
