"variable","mean","median","sd","mad","q5","q95","q2.75","q97.5"
"lp__",-5921.7501175,-5921.24,23.1131612759319,23.4473190000001,-5960.333,-5884.898,-5967.533025,-5878.34975
"skills[1]",1.0280802721875,0.9678665,0.61494499230253,0.6518525181,0.1326398,2.146206,0.07781482825,2.3717735
"skills[2]",0.8750046996225,0.824164,0.528545162735287,0.5512291974,0.11552225,1.8252955,0.06263252475,2.02268875
"skills[3]",0.865425682416025,0.814326,0.525440441129292,0.5638972731,0.115288,1.798603,0.06410695675,1.97777575
"skills[4]",0.7925554522875,0.7437615,0.497349894047364,0.5212221147,0.09932435,1.729512,0.056572085,1.9305255
"skills[5]",0.84293066585325,0.782643,0.516968989222015,0.5565984333,0.124665,1.787208,0.07131966325,1.96695425
"skills[6]",0.7285280401735,0.667979,0.46875259985152,0.4837449519,0.07627966,1.5846095,0.0430995175,1.80138375
"skills[7]",0.76178429359075,0.6962225,0.481687746591466,0.5057734227,0.089821575,1.648191,0.05637013475,1.84283275
"skills[8]",0.9138756282395,0.8531075,0.544187944612663,0.5746357449,0.1244907,1.8739995,0.066800326,2.0722695
"skills[9]",0.98385920752,0.9437305,0.537771940209095,0.5642101017,0.1855827,1.937597,0.12278653,2.12016175
"skills[10]",1.1361050009425,1.11407,0.533682068313241,0.562283463,0.28153455,2.039324,0.1959390225,2.2449745
"skills[11]",0.997114408884,0.9610045,0.553324814979188,0.6006746487,0.15257655,1.9502465,0.08707087825,2.149018
"skills[12]",1.0183459927975,0.971384,0.58675123562977,0.6198394776,0.1547548,2.083015,0.08530929525,2.3048755
"skills[13]",0.8689101575825,0.791439,0.58263982305385,0.6057807231,0.075757715,1.951162,0.038673681,2.19695025
"skills[14]",1.08319318578,1.04976,0.597013888730137,0.630231021,0.18197695,2.145703,0.1057199675,2.3561135
"skills[15]",1.011845905745,0.961942,0.555363328360916,0.5714192442,0.18192625,1.9958905,0.1047202025,2.19173675
"skills[16]",1.0634902463365,1.036465,0.541439527273708,0.556093608,0.22060965,2.006801,0.1260272075,2.206433
"skills[17]",0.69692726092625,0.6027455,0.518007951808991,0.5186616645,0.048125965,1.677191,0.02270963175,1.92181975
"skills[18]",0.826094095444,0.7768225,0.492008273964303,0.5224437771,0.1048339,1.7210715,0.06368852675,1.89457825
"skills[19]",0.7754908564775,0.716834,0.485775800204263,0.5089306194,0.09447454,1.6600035,0.05785123625,1.84798025
"skills[20]",0.84972168920325,0.8033365,0.488106204862354,0.5145014889,0.12777115,1.724598,0.077392033,1.89225625
"skills[21]",0.72419119718,0.6516285,0.482582658069278,0.5137453629,0.07609708,1.608012,0.040990657,1.8173595
"skills[22]",0.7230985362665,0.6631175,0.475303789854419,0.5083546293,0.07751782,1.589846,0.0438922885,1.772162
"skills[23]",0.83814691833325,0.7854275,0.52390990774421,0.5531817816,0.090062065,1.769461,0.0511789935,1.99121275
"skills[24]",0.71771482584175,0.6637355,0.451576371062395,0.4616178882,0.093142145,1.5452385,0.05492175575,1.75465775
"skills[25]",1.073051038235,1.051815,0.555178740151007,0.5923491084,0.2198967,2.033335,0.12357777,2.23241725
"skills[26]",0.7801123043735,0.661533,0.590159648746529,0.5835098472,0.06666392,1.885783,0.0376677765,2.1676435
"skills[27]",0.7010546827225,0.632901,0.45972279368014,0.4744594281,0.071066835,1.536949,0.03591130925,1.73243925
"skills[28]",0.84733911057,0.7859785,0.53045082133299,0.5829093942,0.1048773,1.8043175,0.05862188925,2.017877
"skills[29]",0.85328156965,0.7795405,0.556042333870827,0.5808693366,0.09039735,1.8825105,0.05219025725,2.0912495
"skills[30]",0.7949466948445,0.689954,0.58280651543664,0.5867352435,0.05329312,1.8817905,0.02856866175,2.1912915
"skills[31]",1.0225654607925,0.978112,0.610704971698011,0.6817498884,0.12787545,2.092879,0.0656777105,2.28176525
"skills[32]",0.9570107512075,0.907284,0.554166400373658,0.6004248306,0.1556448,1.944509,0.0992282565,2.14080175
"skills[33]",0.80410664706775,0.740268,0.508389838104782,0.5445649104,0.08907381,1.7121065,0.0486494525,1.89260275
"skills[34]",0.773095234645,0.703906,0.495454459336484,0.5195141595,0.098767515,1.679415,0.05329287975,1.8690185
"skills[35]",0.76939350978825,0.6802825,0.530276765595384,0.5410348398,0.070683395,1.755061,0.03872895725,1.9995625
"skills[36]",0.8453383565585,0.781043,0.527881246575733,0.5428806768,0.09754342,1.800378,0.060613143,2.016841
"skills[37]",0.7398769064375,0.6783755,0.472346641710973,0.4891356855,0.089910305,1.627141,0.05423552025,1.79851025
"skills[38]",0.990592950955,0.9622545,0.517662626999914,0.5435945487,0.1773935,1.8800075,0.1131269,2.0734625
"skills[39]",0.78466011531025,0.7016065,0.520038650751596,0.5388116811,0.08066608,1.7399215,0.041522933,1.95800075
"skills[40]",1.00507170179,0.962213,0.533798160391027,0.561727488,0.19074525,1.9530185,0.131189905,2.135266
"skills[41]",0.770137846611,0.6915835,0.524417016543164,0.5447020509,0.071050685,1.7451525,0.03876861525,1.98243675
"skills[42]",0.977325917897,0.91022,0.587542328307214,0.623707581,0.1519935,2.0669505,0.086752368,2.26395075
"skills[43]",0.97297070402775,0.932087,0.565028167155146,0.5959925979,0.1420161,1.9566315,0.075050412,2.1996885
"skills[44]",0.83766960266625,0.770556,0.515594736152862,0.5383387317,0.1130366,1.797929,0.06274824425,1.97258225
"skills[45]",0.887246866142,0.8069085,0.582281145101729,0.5928354012,0.11010095,1.976052,0.06789316275,2.2179515
"skills[46]",1.0387219257715,1.00015,0.567094772577691,0.5848916304,0.1594134,2.047475,0.088435916,2.2487535
"skills[47]",0.75042190862,0.6664295,0.515693074744635,0.5317218879,0.074795525,1.7251925,0.04513376875,1.95463825
"skills[48]",0.873590247599,0.815493,0.524191386884131,0.5503507569,0.11917455,1.8393455,0.070609827,1.9967595
"skills[49]",1.0249783349275,0.9938445,0.53655617034056,0.5655310983,0.2077115,1.9651765,0.12528516,2.16031225
"skills[50]",0.84240386409675,0.7890855,0.515637967063579,0.5513211186,0.0986932,1.7588935,0.044469136,1.94682875
"skills[51]",0.710957612779,0.6370965,0.474238586127147,0.4888547328,0.083416545,1.5951045,0.04862328,1.80118875
"skills[52]",0.761699637839,0.676407,0.502415249545703,0.510600027,0.086374535,1.702779,0.04914118225,1.9242255
