# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_3_model
# start_datetime = 2025-08-29 03:50:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/wwjlsxc2.json
# init = 2 (Default)
# random
#   seed = 80184
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_3tzn50_zl/bradley_terry_3-20250829005024_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.294042
# Diagonal elements of inverse mass matrix:
# 0.345603, 0.386986, 0.350925, 0.450491, 0.384682, 0.480748, 0.477621, 0.404816, 0.316487, 0.326979, 0.406802, 0.314554, 0.372876, 0.352147, 0.313671, 0.303908, 0.387806, 0.426938, 0.283807, 0.0484725
-111.117,0.994506,0.294042,4,15,0,120.001,1.14036,1.15956,0.116202,-1.07051,-0.0933523,-1.23615,0.96496,0.41572,-0.631236,-0.04798,0.621766,-0.266158,0.989285,-0.119062,-1.43808,-0.0299134,-0.373479,-0.224526,-0.0707075,0.40691,1.14036,1.15956,0.116202,-1.07051,-0.0933523,-1.23615,0.96496,0.41572,-0.631236,-0.04798,0.621766,-0.266158,0.989285,-0.119062,-1.43808,-0.0299134,-0.373479,-0.224526,-0.0707075,0.193299,-104.855
-101.746,1,0.294042,4,15,0,114.428,-0.465854,0.973824,0.607687,-1.71488,-0.775202,-1.11483,1.21268,0.387708,0.232444,0.52551,0.700714,-0.16939,-0.195323,0.024072,-0.114289,0.580093,-0.298946,0.0328527,-0.175766,0.574179,-0.465854,0.973824,0.607687,-1.71488,-0.775202,-1.11483,1.21268,0.387708,0.232444,0.52551,0.700714,-0.16939,-0.195323,0.024072,-0.114289,0.580093,-0.298946,0.0328527,-0.175766,-0.253098,-96.3769
-106.644,0.938531,0.294042,4,15,0,111.725,0.592174,1.43126,0.173809,-0.905269,-0.0157563,-2.33581,1.86772,-0.24155,0.049047,0.437955,1.17191,-0.556714,0.386093,0.565513,-1.43403,0.167946,0.00250823,0.103328,-0.245742,0.576892,0.592174,1.43126,0.173809,-0.905269,-0.0157563,-2.33581,1.86772,-0.24155,0.049047,0.437955,1.17191,-0.556714,0.386093,0.565513,-1.43403,0.167946,0.00250823,0.103328,-0.245742,-1.2144,-97.5507
-109.702,0.957926,0.294042,4,15,0,118.511,-0.27311,1.73802,0.724879,-0.723679,-0.0429153,-1.98365,1.93385,-0.34721,-0.675322,0.218562,1.01543,-0.0896086,0.654867,-1.56387,-0.481777,0.486889,-0.0203085,1.06113,-0.581854,0.683866,-0.27311,1.73802,0.724879,-0.723679,-0.0429153,-1.98365,1.93385,-0.34721,-0.675322,0.218562,1.01543,-0.0896086,0.654867,-1.56387,-0.481777,0.486889,-0.0203085,1.06113,-0.581854,-1.05033,-99.9417
-110.301,0.988127,0.294042,4,15,0,121.473,0.400113,1.10708,1.72037,-1.24447,-0.0616242,-0.38104,2.21541,-0.710377,0.847937,-0.224704,-0.520963,-1.00698,-1.20506,-0.271462,-0.100028,1.34823,0.105868,-0.162926,-0.974014,1.15768,0.400113,1.10708,1.72037,-1.24447,-0.0616242,-0.38104,2.21541,-0.710377,0.847937,-0.224704,-0.520963,-1.00698,-1.20506,-0.271462,-0.100028,1.34823,0.105868,-0.162926,-0.974014,-0.881361,-100.852
-105.397,0.999361,0.294042,4,15,0,115.857,-0.270364,1.23635,-0.0805808,-0.623544,-0.33942,-1.24836,0.733851,0.355369,-0.251089,1.26427,0.891978,-0.878978,-0.0120408,0.0359622,-0.825819,-0.581233,0.0140226,0.477968,0.37863,0.573225,-0.270364,1.23635,-0.0805808,-0.623544,-0.33942,-1.24836,0.733851,0.355369,-0.251089,1.26427,0.891978,-0.878978,-0.0120408,0.0359622,-0.825819,-0.581233,0.0140226,0.477968,0.37863,-0.27697,-100.197
