# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_3_model
# start_datetime = 2025-08-29 03:50:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/djx0k3rp.json
# init = 2 (Default)
# random
#   seed = 1050
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_3idbzdcg8/bradley_terry_3-20250829005026_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.286133
# Diagonal elements of inverse mass matrix:
# 0.218959, 0.280904, 0.265355, 0.339875, 0.272267, 0.362507, 0.25677, 0.297543, 0.293668, 0.301849, 0.311956, 0.282747, 0.340571, 0.241769, 0.256955, 0.240078, 0.27909, 0.276934, 0.238327, 0.0324198
-158.289,0.998674,0.286133,4,15,0,173.783,0.0488076,0.861274,0.999929,-2.34016,-0.558037,-0.526171,0.781397,0.340906,0.361177,-0.796342,1.42833,-0.225945,-0.793127,-0.323883,-0.430547,0.31603,1.07453,0.522943,-0.19723,0.665488,0.0488076,0.861274,0.999929,-2.34016,-0.558037,-0.526171,0.781397,0.340906,0.361177,-0.796342,1.42833,-0.225945,-0.793127,-0.323883,-0.430547,0.31603,1.07453,0.522943,-0.19723,-0.543876,-150.722
-157.925,0.931134,0.286133,4,15,0,164.721,0.0375822,0.998484,0.367632,-0.482113,0.0560156,-1.24497,1.01333,-1.47259,1.74046,0.635123,0.279109,-1.06498,-0.813061,-0.256029,-0.720259,0.324908,-0.547743,0.90971,0.0695277,0.999959,0.0375822,0.998484,0.367632,-0.482113,0.0560156,-1.24497,1.01333,-1.47259,1.74046,0.635123,0.279109,-1.06498,-0.813061,-0.256029,-0.720259,0.324908,-0.547743,0.90971,0.0695277,0.169854,-150.804
-157.694,0.985866,0.286133,4,15,0,162.463,-0.180411,1.07702,0.459651,-2.2872,-0.531612,-0.675223,1.26967,0.549819,0.350538,-0.708521,1.27263,-0.126841,-0.846281,-0.477217,-0.779657,0.214454,0.950974,0.691675,-0.308639,0.688167,-0.180411,1.07702,0.459651,-2.2872,-0.531612,-0.675223,1.26967,0.549819,0.350538,-0.708521,1.27263,-0.126841,-0.846281,-0.477217,-0.779657,0.214454,0.950974,0.691675,-0.308639,0.0851647,-149.771
-159.084,0.793509,0.286133,4,15,0,165.422,-0.0822736,1.4415,0.648143,-0.784712,-0.0521497,-1.22497,1.00024,-1.49266,1.75956,0.608501,0.200113,-1.17325,-1.02518,-0.490124,-0.572813,0.0194851,-0.4949,1.0327,-0.0475576,1.04781,-0.0822736,1.4415,0.648143,-0.784712,-0.0521497,-1.22497,1.00024,-1.49266,1.75956,0.608501,0.200113,-1.17325,-1.02518,-0.490124,-0.572813,0.0194851,-0.4949,1.0327,-0.0475576,0.730352,-150.747
-163.315,0.881306,0.286133,4,15,0,171.282,-0.308352,0.912145,0.017831,-2.34393,-0.359763,-1.01632,0.742292,0.568351,0.727575,-0.400367,1.6875,-0.216347,-0.416647,1.07617,-1.60667,-0.335952,0.562246,1.04145,0.441387,0.661915,-0.308352,0.912145,0.017831,-2.34393,-0.359763,-1.01632,0.742292,0.568351,0.727575,-0.400367,1.6875,-0.216347,-0.416647,1.07617,-1.60667,-0.335952,0.562246,1.04145,0.441387,-0.772606,-153.851
-166.828,0.881245,0.286133,4,15,0,177.345,-0.313156,1.3459,1.16556,-0.162702,-0.0388838,-0.42519,0.714362,-1.00465,2.94862,-0.295,-0.0866556,-0.920971,-1.25942,-0.755432,-0.0568173,0.621455,-0.332354,0.0614378,-1.28156,0.944628,-0.313156,1.3459,1.16556,-0.162702,-0.0388838,-0.42519,0.714362,-1.00465,2.94862,-0.295,-0.0866556,-0.920971,-1.25942,-0.755432,-0.0568173,0.621455,-0.332354,0.0614378,-1.28156,0.0754711,-156.856
