# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_3_model
# start_datetime = 2025-08-29 03:50:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/djx0k3rp.json
# init = 2 (Default)
# random
#   seed = 1050
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_3idbzdcg8/bradley_terry_3-20250829005026_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.242511
# Diagonal elements of inverse mass matrix:
# 0.262753, 0.340606, 0.293567, 0.297391, 0.275037, 0.258019, 0.296881, 0.266464, 0.305597, 0.295846, 0.31262, 0.301557, 0.280602, 0.277133, 0.318735, 0.308872, 0.305879, 0.294421, 0.245297, 0.0338671
-162.654,0.980074,0.242511,4,15,0,169.879,0.112371,1.23541,1.3426,-0.56926,-0.0193206,-0.490916,0.254357,-0.600727,0.749458,0.34312,0.471489,-1.42139,0.208236,-0.123706,-0.183958,-0.248954,0.0975045,-0.226407,-0.0925883,0.484236,0.112371,1.23541,1.3426,-0.56926,-0.0193206,-0.490916,0.254357,-0.600727,0.749458,0.34312,0.471489,-1.42139,0.208236,-0.123706,-0.183958,-0.248954,0.0975045,-0.226407,-0.0925883,-0.837314,-158.073
-159.511,1,0.242511,4,15,0,171.35,0.870167,0.650691,0.408871,-1.09475,-0.48014,0.253813,0.882251,-0.467722,0.549926,0.375411,0.969971,-1.11357,-0.6435,-0.279403,-1.17182,0.131068,-0.73887,0.910274,0.271702,0.50049,0.870167,0.650691,0.408871,-1.09475,-0.48014,0.253813,0.882251,-0.467722,0.549926,0.375411,0.969971,-1.11357,-0.6435,-0.279403,-1.17182,0.131068,-0.73887,0.910274,0.271702,-0.284369,-153.797
-160.232,0.938792,0.242511,4,15,0,172.032,-0.318627,1.42436,1.4726,-1.94817,-0.419856,-0.954304,0.603579,-0.714081,0.811842,-0.302653,1.70138,-0.375529,-1.06218,0.3523,-0.641096,-0.709372,0.262032,1.30523,-0.408458,1.29796,-0.318627,1.42436,1.4726,-1.94817,-0.419856,-0.954304,0.603579,-0.714081,0.811842,-0.302653,1.70138,-0.375529,-1.06218,0.3523,-0.641096,-0.709372,0.262032,1.30523,-0.408458,-0.0789864,-150.677
-161.946,0.997932,0.242511,4,15,0,170.54,0.0415015,1.95322,0.473766,-2.26305,-0.573951,-0.309332,1.38136,-1.32996,1.62722,-0.550064,0.538484,-0.267437,-0.507169,-0.702549,-1.83851,1.06483,0.384394,1.73727,-0.840569,0.941445,0.0415015,1.95322,0.473766,-2.26305,-0.573951,-0.309332,1.38136,-1.32996,1.62722,-0.550064,0.538484,-0.267437,-0.507169,-0.702549,-1.83851,1.06483,0.384394,1.73727,-0.840569,-0.0194362,-148.585
-160.914,0.936241,0.242511,4,15,0,170.862,0.00031822,0.951871,0.919329,-2.24338,-0.582717,-0.402785,1.02696,-0.178589,1.06335,-0.0837684,0.581821,-1.42978,-0.461721,-0.571466,-1.1497,1.73885,-0.404309,1.30742,-0.521686,1.11326,0.00031822,0.951871,0.919329,-2.24338,-0.582717,-0.402785,1.02696,-0.178589,1.06335,-0.0837684,0.581821,-1.42978,-0.461721,-0.571466,-1.1497,1.73885,-0.404309,1.30742,-0.521686,0.439987,-150.94
-158.535,0.835282,0.242511,4,15,0,167.395,-0.475614,1.06578,0.224513,-1.25033,0.0069787,-0.987768,1.55058,-0.332116,1.65721,-0.173826,1.19625,0.218895,-1.97873,-0.399324,-0.66984,-0.920103,0.256358,0.92026,-0.335468,0.722171,-0.475614,1.06578,0.224513,-1.25033,0.0069787,-0.987768,1.55058,-0.332116,1.65721,-0.173826,1.19625,0.218895,-1.97873,-0.399324,-0.66984,-0.920103,0.256358,0.92026,-0.335468,0.426308,-149.39
