# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_3_model
# start_datetime = 2025-08-29 03:50:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/exk7g87e.json
# init = 2 (Default)
# random
#   seed = 71348
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_3clasf1hp/bradley_terry_3-20250829005019_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.254268
# Diagonal elements of inverse mass matrix:
# 0.152603, 0.137842, 0.130712, 0.139286, 0.140667, 0.135084, 0.156691, 0.118275, 0.119606, 0.122686, 0.172956, 0.138876, 0.132324, 0.15184, 0.133147, 0.112986, 0.139351, 0.127614, 0.120985, 0.0145349
-387.251,0.932596,0.254268,4,15,0,396.218,0.699196,0.421204,-0.0419573,-0.805226,-0.322665,-0.591942,0.923962,0.161827,0.387895,-0.823291,1.70062,-0.116689,0.018779,-0.677316,-1.22503,0.294531,0.0814412,-0.0168797,-0.168464,0.909826,0.699196,0.421204,-0.0419573,-0.805226,-0.322665,-0.591942,0.923962,0.161827,0.387895,-0.823291,1.70062,-0.116689,0.018779,-0.677316,-1.22503,0.294531,0.0814412,-0.0168797,-0.168464,0.100004,-382.509
-387.799,0.958976,0.254268,4,15,0,401.846,0.485618,0.978355,-0.329812,-1.60959,-0.918182,-1.67051,1.25301,-0.106158,0.254422,0.0560478,1.81762,-0.696967,-0.738841,0.652067,-0.76033,0.452142,-0.392162,0.15164,1.33246,0.743216,0.485618,0.978355,-0.329812,-1.60959,-0.918182,-1.67051,1.25301,-0.106158,0.254422,0.0560478,1.81762,-0.696967,-0.738841,0.652067,-0.76033,0.452142,-0.392162,0.15164,1.33246,-0.210832,-378.89
-385.623,0.985172,0.254268,4,15,0,394.125,0.458924,1.17503,0.114298,-2.0715,-0.531265,-0.780669,0.92892,0.138405,1.0983,-0.863672,1.95239,-0.426055,0.110168,-0.871586,-0.990406,0.241197,0.235339,0.247139,0.223645,0.977396,0.458924,1.17503,0.114298,-2.0715,-0.531265,-0.780669,0.92892,0.138405,1.0983,-0.863672,1.95239,-0.426055,0.110168,-0.871586,-0.990406,0.241197,0.235339,0.247139,0.223645,-0.388603,-377.326
-385.943,0.94504,0.254268,4,15,0,396.019,0.948917,1.02269,-0.524494,-1.84511,-0.481476,-0.890504,1.41429,-0.204832,0.743685,-0.383944,1.30358,-0.911866,-0.0615036,-0.816677,-0.526929,0.833621,0.107754,0.251714,0.351535,0.89149,0.948917,1.02269,-0.524494,-1.84511,-0.481476,-0.890504,1.41429,-0.204832,0.743685,-0.383944,1.30358,-0.911866,-0.0615036,-0.816677,-0.526929,0.833621,0.107754,0.251714,0.351535,-0.330449,-378.548
-383.891,0.890727,0.254268,4,15,0,393.737,0.584023,1.24508,0.0485514,-0.907139,-0.901582,-1.01408,0.759749,0.252261,-0.00174612,-0.485157,1.79586,-0.0626465,-0.581488,0.367841,-0.978463,0.0580392,-0.132024,-0.0596238,0.315958,0.723555,0.584023,1.24508,0.0485514,-0.907139,-0.901582,-1.01408,0.759749,0.252261,-0.00174612,-0.485157,1.79586,-0.0626465,-0.581488,0.367841,-0.978463,0.0580392,-0.132024,-0.0596238,0.315958,-0.303409,-378.197
-382.13,0.939558,0.254268,4,15,0,390.9,0.534198,0.77763,-0.342127,-1.53307,-0.623499,-0.835445,1.20258,0.316118,0.425305,-0.727091,1.08903,-0.549663,-0.591818,-0.211113,-0.353673,-0.0262995,0.0457307,0.700616,0.523179,0.74088,0.534198,0.77763,-0.342127,-1.53307,-0.623499,-0.835445,1.20258,0.316118,0.425305,-0.727091,1.08903,-0.549663,-0.591818,-0.211113,-0.353673,-0.0262995,0.0457307,0.700616,0.523179,0.179418,-376.818
