# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_3_model
# start_datetime = 2025-08-29 03:50:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/6b3zggrr.json
# init = 2 (Default)
# random
#   seed = 9705
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_3wcq5rzua/bradley_terry_3-20250829005023_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.320308
# Diagonal elements of inverse mass matrix:
# 0.561655, 0.554012, 0.554687, 0.575959, 0.6061, 0.569891, 0.51619, 0.552373, 0.592348, 0.491052, 0.475588, 0.609385, 0.512615, 0.444571, 0.587456, 0.536408, 0.553372, 0.58197, 0.530312, 0.103672
-55.5474,0.896229,0.320308,4,15,0,67.11,-0.980072,0.25546,1.11855,-0.55102,-0.142024,-0.980152,1.24472,0.697589,0.657678,-0.0751529,-0.125233,-0.471419,-0.296393,0.977792,-0.550475,-0.80292,0.499076,1.3744,-0.154224,0.456826,-0.980072,0.25546,1.11855,-0.55102,-0.142024,-0.980152,1.24472,0.697589,0.657678,-0.0751529,-0.125233,-0.471419,-0.296393,0.977792,-0.550475,-0.80292,0.499076,1.3744,-0.154224,-1.69618,-49.4461
-54.9053,0.99704,0.320308,4,15,0,59.1744,0.215032,0.792412,-0.347864,-0.683913,-0.308316,0.253247,1.01523,-0.731502,1.25323,1.06123,0.00682713,0.103131,0.151629,-0.0491216,-0.538045,1.27242,-0.28068,-1.04281,0.0553999,0.667674,0.215032,0.792412,-0.347864,-0.683913,-0.308316,0.253247,1.01523,-0.731502,1.25323,1.06123,0.00682713,0.103131,0.151629,-0.0491216,-0.538045,1.27242,-0.28068,-1.04281,0.0553999,-2.19752,-49.8792
-57.9073,0.808504,0.320308,4,15,0,64.1728,-1.03261,-0.263737,1.14541,-0.886201,-0.385695,-1.04514,0.8966,0.529375,0.243064,-0.48213,0.579091,-0.4302,-0.507971,0.646403,-0.364274,-0.403963,0.400633,1.10713,-0.499151,0.455743,-1.03261,-0.263737,1.14541,-0.886201,-0.385695,-1.04514,0.8966,0.529375,0.243064,-0.48213,0.579091,-0.4302,-0.507971,0.646403,-0.364274,-0.403963,0.400633,1.10713,-0.499151,0.753363,-52.5289
-59.1512,1,0.320308,4,15,0,66.3068,-0.82194,1.18705,-0.262849,-0.896018,0.401895,0.439464,0.816405,-0.619111,1.4791,0.105884,-0.994965,0.0515839,-0.397426,0.374796,-0.522464,-0.188685,-0.388458,-1.11723,0.986933,0.727854,-0.82194,1.18705,-0.262849,-0.896018,0.401895,0.439464,0.816405,-0.619111,1.4791,0.105884,-0.994965,0.0515839,-0.397426,0.374796,-0.522464,-0.188685,-0.388458,-1.11723,0.986933,0.366028,-53.3023
-60.8489,1,0.320308,4,15,0,69.2094,-0.163848,0.98312,1.0078,0.319845,-0.96868,-0.939289,2.37067,-0.0150138,-0.106261,-0.198531,0.903614,-1.19505,-1.25358,0.194354,-1.45734,-0.666997,0.447846,0.819704,-0.601099,0.520444,-0.163848,0.98312,1.0078,0.319845,-0.96868,-0.939289,2.37067,-0.0150138,-0.106261,-0.198531,0.903614,-1.19505,-1.25358,0.194354,-1.45734,-0.666997,0.447846,0.819704,-0.601099,0.518724,-51.4307
-64.0638,0.99821,0.320308,4,15,0,74.5783,-1.4323,0.395644,1.38085,-0.5088,-0.637027,0.640602,2.47215,0.689835,-0.35391,-0.272097,-0.417448,0.792701,-0.961505,0.210196,0.956023,0.583065,-1.33219,0.0241346,-0.146985,0.284318,-1.4323,0.395644,1.38085,-0.5088,-0.637027,0.640602,2.47215,0.689835,-0.35391,-0.272097,-0.417448,0.792701,-0.961505,0.210196,0.956023,0.583065,-1.33219,0.0241346,-0.146985,-2.08294,-54.3664
-60.5839,1,0.320308,4,15,0,71.933,0.433098,0.222129,-0.222142,-1.17125,1.00336,-0.392648,1.90095,-0.536326,1.17271,0.619522,0.547902,-1.10678,-0.398815,-0.327152,-1.75101,1.2509,1.33057,-0.147604,0.572375,0.874449,0.433098,0.222129,-0.222142,-1.17125,1.00336,-0.392648,1.90095,-0.536326,1.17271,0.619522,0.547902,-1.10678,-0.398815,-0.327152,-1.75101,1.2509,1.33057,-0.147604,0.572375,-2.99979,-51.5568
