# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_3_model
# start_datetime = 2025-08-29 03:50:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/fl_nv4mt.json
# init = 2 (Default)
# random
#   seed = 34423
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_3ftrcb5yk/bradley_terry_3-20250829005034_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.28052
# Diagonal elements of inverse mass matrix:
# 0.29266, 0.309092, 0.262645, 0.285085, 0.275762, 0.303061, 0.293177, 0.261612, 0.311073, 0.246822, 0.331517, 0.289671, 0.301723, 0.34058, 0.289043, 0.262282, 0.291814, 0.308955, 0.352262, 0.0326134
-166.191,0.99473,0.28052,4,15,0,172.375,1.14074,0.666945,0.494479,-0.638758,0.807755,-0.529101,0.414377,-0.107455,0.395689,-0.435795,0.30669,-0.672312,-0.493327,0.138642,-0.37256,0.0503434,-0.262831,-0.135949,-1.16319,1.48151,1.14074,0.666945,0.494479,-0.638758,0.807755,-0.529101,0.414377,-0.107455,0.395689,-0.435795,0.30669,-0.672312,-0.493327,0.138642,-0.37256,0.0503434,-0.262831,-0.135949,-1.16319,0.395613,-162.361
-165.644,0.972645,0.28052,4,15,0,174.592,1.01457,1.23243,-0.189228,-1.87446,0.908058,-0.159656,0.640346,-0.396902,-0.307046,-1.10063,-0.186648,0.15368,0.63064,-0.543044,0.0133388,0.102677,0.834175,-0.043868,-1.3482,1.11308,1.01457,1.23243,-0.189228,-1.87446,0.908058,-0.159656,0.640346,-0.396902,-0.307046,-1.10063,-0.186648,0.15368,0.63064,-0.543044,0.0133388,0.102677,0.834175,-0.043868,-1.3482,0.619755,-159.082
-163.012,0.982072,0.28052,4,15,0,176.287,0.271684,1.15494,0.218204,-1.43547,0.542396,0.458627,0.887006,-0.651982,-0.608654,-0.958023,-0.0358339,0.192747,0.703148,-0.905404,-0.576505,0.129359,0.577808,-0.137855,-1.30979,1.1621,0.271684,1.15494,0.218204,-1.43547,0.542396,0.458627,0.887006,-0.651982,-0.608654,-0.958023,-0.0358339,0.192747,0.703148,-0.905404,-0.576505,0.129359,0.577808,-0.137855,-1.30979,1.48359,-157.342
-165.267,0.966803,0.28052,4,15,0,173.593,1.04181,0.303838,-0.638544,0.327612,0.109508,-0.433356,0.508132,-0.528958,-0.528361,0.967165,0.0902433,-0.261886,-1.01156,0.23084,-0.606778,1.14556,-0.14663,-0.311214,-1.13977,0.736736,1.04181,0.303838,-0.638544,0.327612,0.109508,-0.433356,0.508132,-0.528958,-0.528361,0.967165,0.0902433,-0.261886,-1.01156,0.23084,-0.606778,1.14556,-0.14663,-0.311214,-1.13977,0.882355,-160.742
-162.875,0.99452,0.28052,4,15,0,170.457,0.644546,1.17654,0.428971,-1.41469,0.328022,0.176887,0.0155229,-0.971306,-0.4387,-0.84705,0.299473,0.63671,0.921356,-0.568976,-1.058,0.451294,0.403134,-0.482375,-1.15697,1.23697,0.644546,1.17654,0.428971,-1.41469,0.328022,0.176887,0.0155229,-0.971306,-0.4387,-0.84705,0.299473,0.63671,0.921356,-0.568976,-1.058,0.451294,0.403134,-0.482375,-1.15697,1.45561,-156.972
-162.9,0.977273,0.28052,4,15,0,169.442,0.969781,0.299565,-0.343315,0.200544,0.380734,-0.265074,0.825163,-0.254384,-0.549608,0.666159,-0.0431381,-0.123604,-1.27916,-0.176434,-0.434694,0.840725,-0.133279,-0.0946885,-1.2441,0.821125,0.969781,0.299565,-0.343315,0.200544,0.380734,-0.265074,0.825163,-0.254384,-0.549608,0.666159,-0.0431381,-0.123604,-1.27916,-0.176434,-0.434694,0.840725,-0.133279,-0.0946885,-1.2441,0.758807,-158.84
-164.301,0.916776,0.28052,4,15,0,174.642,0.578938,0.461125,-0.143135,-1.12282,0.38564,0.152862,0.0560788,-1.36872,-0.898597,-1.00652,0.997163,0.802615,0.931185,-0.360917,-0.850875,0.522649,0.651916,-0.309141,-1.21903,1.18917,0.578938,0.461125,-0.143135,-1.12282,0.38564,0.152862,0.0560788,-1.36872,-0.898597,-1.00652,0.997163,0.802615,0.931185,-0.360917,-0.850875,0.522649,0.651916,-0.309141,-1.21903,1.73959,-158.098
-164.033,0.99712,0.28052,4,15,0,172.608,1.23846,1.11196,-0.350013,-0.503031,-0.00117875,0.107367,0.845607,-0.0764296,-0.307843,1.05432,-0.25615,-0.251694,-0.907929,-0.387252,-0.493194,0.385932,-0.265249,-0.805917,-0.840006,0.848803,1.23846,1.11196,-0.350013,-0.503031,-0.00117875,0.107367,0.845607,-0.0764296,-0.307843,1.05432,-0.25615,-0.251694,-0.907929,-0.387252,-0.493194,0.385932,-0.265249,-0.805917,-0.840006,0.702236,-159.506
-163.982,0.999435,0.28052,4,15,0,170.522,0.281973,0.295268,0.43342,-0.74361,0.771499,-0.197761,0.10006,-1.25773,-0.567248,-1.27567,0.651637,0.840617,0.319467,-0.107375,-1.11411,1.15821,0.595431,0.153447,-1.25688,1.28049,0.281973,0.295268,0.43342,-0.74361,0.771499,-0.197761,0.10006,-1.25773,-0.567248,-1.27567,0.651637,0.840617,0.319467,-0.107375,-1.11411,1.15821,0.595431,0.153447,-1.25688,0.919362,-157.975
-164.143,0.998031,0.28052,4,15,0,172.188,1.21859,0.83616,-0.170219,-0.997301,-0.265028,0.325761,0.530204,-0.365362,0.301971,0.664657,-0.083751,-0.0337742,-0.664825,-1.10212,-0.101595,0.0715051,-0.494289,-0.276528,-0.778626,0.960833,1.21859,0.83616,-0.170219,-0.997301,-0.265028,0.325761,0.530204,-0.365362,0.301971,0.664657,-0.083751,-0.0337742,-0.664825,-1.10212,-0.101595,0.0715051,-0.494289,-0.276528,-0.778626,1.38457,-160.172
-165.984,0.700447,0.28052,4,15,0,174.397,0.605248,0.527356,0.448539,0.102329,0.130788,0.278431,-0.233285,-0.285956,-0.218457,0.504534,0.0443814,0.361158,-0.997967,0.667463,-1.02784,0.853062,-0.0966189,-0.0226055,-1.19287,0.830273,0.605248,0.527356,0.448539,0.102329,0.130788,0.278431,-0.233285,-0.285956,-0.218457,0.504534,0.0443814,0.361158,-0.997967,0.667463,-1.02784,0.853062,-0.0966189,-0.0226055,-1.19287,-0.447693,-162.363
