# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_3_model
# start_datetime = 2025-08-29 03:50:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/6nil51vt.json
# init = 2 (Default)
# random
#   seed = 11639
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_3_8rajqjd/bradley_terry_3-20250829005036_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.290915
# Diagonal elements of inverse mass matrix:
# 0.219964, 0.237608, 0.216842, 0.228272, 0.233878, 0.234676, 0.259575, 0.224888, 0.237594, 0.2095, 0.23368, 0.245073, 0.245844, 0.237529, 0.220213, 0.214745, 0.23021, 0.24604, 0.240992, 0.0193013
-222.881,0.984305,0.290915,4,15,0,228.997,1.73393,0.913877,-1.14276,-1.00664,0.891523,0.0925785,0.0891239,-0.335239,-0.7792,0.969401,0.620175,0.336081,-0.204152,0.261472,-0.623858,-0.188977,-0.258148,-1.03335,-1.21273,0.954294,1.73393,0.913877,-1.14276,-1.00664,0.891523,0.0925785,0.0891239,-0.335239,-0.7792,0.969401,0.620175,0.336081,-0.204152,0.261472,-0.623858,-0.188977,-0.258148,-1.03335,-1.21273,0.876895,-216.245
-222.681,0.975038,0.290915,4,15,0,236.767,0.667432,0.688722,-1.08266,-1.14994,0.779749,0.397437,0.50096,-0.0942832,-0.560208,0.0713305,1.29737,0.0137464,-1.32183,0.317214,-0.312801,1.44182,-0.794885,-0.565473,-1.52497,0.834976,0.667432,0.688722,-1.08266,-1.14994,0.779749,0.397437,0.50096,-0.0942832,-0.560208,0.0713305,1.29737,0.0137464,-1.32183,0.317214,-0.312801,1.44182,-0.794885,-0.565473,-1.52497,1.23128,-215.28
-218.096,0.998297,0.290915,4,15,0,229.28,0.556545,0.703237,-0.96931,-0.0408592,0.446769,-1.23284,-0.057522,-0.713336,0.333322,0.15292,0.254207,0.449657,1.08264,-0.0828914,-0.936479,0.602292,0.203424,-0.14903,-1.74212,1.15878,0.556545,0.703237,-0.96931,-0.0408592,0.446769,-1.23284,-0.057522,-0.713336,0.333322,0.15292,0.254207,0.449657,1.08264,-0.0828914,-0.936479,0.602292,0.203424,-0.14903,-1.74212,1.13937,-212.624
-219.622,0.962467,0.290915,4,15,0,228.86,0.143149,1.35697,0.0935252,0.418172,-0.154586,0.0342327,0.843245,0.031537,-0.159867,-0.536588,0.273768,0.156388,-0.0799344,-0.28301,-1.24568,-0.106158,0.400111,-1.12825,-1.55754,0.975132,0.143149,1.35697,0.0935252,0.418172,-0.154586,0.0342327,0.843245,0.031537,-0.159867,-0.536588,0.273768,0.156388,-0.0799344,-0.28301,-1.24568,-0.106158,0.400111,-1.12825,-1.55754,1.50052,-214.769
-221.465,0.893967,0.290915,4,15,0,230.442,0.577197,-0.259465,-0.171029,-0.745667,0.245073,-1.51897,-0.662541,-0.172516,-0.228281,-0.193412,0.18041,1.03947,-0.378726,0.656921,-0.213087,0.701172,-0.571989,-0.0329697,-0.413362,0.949423,0.577197,-0.259465,-0.171029,-0.745667,0.245073,-1.51897,-0.662541,-0.172516,-0.228281,-0.193412,0.18041,1.03947,-0.378726,0.656921,-0.213087,0.701172,-0.571989,-0.0329697,-0.413362,2.16177,-217.644
-219.125,0.998967,0.290915,4,15,0,229.539,0.685079,0.584065,-0.601932,-0.622883,0.123079,-1.39018,0.347043,-0.936746,0.10292,-1.34727,0.293612,0.894709,0.14185,0.358055,-0.16845,1.11314,-0.275927,0.023744,-0.436475,0.98103,0.685079,0.584065,-0.601932,-0.622883,0.123079,-1.39018,0.347043,-0.936746,0.10292,-1.34727,0.293612,0.894709,0.14185,0.358055,-0.16845,1.11314,-0.275927,0.023744,-0.436475,1.11257,-214.174
