# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_3_model
# start_datetime = 2025-08-29 03:50:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/cub52lt7.json
# init = 2 (Default)
# random
#   seed = 4219
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_3jjkb8d1f/bradley_terry_3-20250829005029_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.228417
# Diagonal elements of inverse mass matrix:
# 0.119053, 0.138053, 0.143668, 0.135131, 0.135332, 0.142777, 0.145963, 0.1165, 0.126995, 0.121339, 0.111504, 0.143192, 0.129837, 0.125176, 0.114014, 0.127404, 0.117045, 0.123176, 0.129854, 0.014582
-410.669,0.939005,0.228417,4,15,0,416.83,0.357701,0.254833,-1.14901,-0.109366,0.528994,-0.373659,-0.121909,-0.189939,0.257069,0.631533,1.05612,0.755074,-0.0859875,-0.473508,0.083385,0.742634,-1.63864,-0.232263,-0.924801,0.983421,0.357701,0.254833,-1.14901,-0.109366,0.528994,-0.373659,-0.121909,-0.189939,0.257069,0.631533,1.05612,0.755074,-0.0859875,-0.473508,0.083385,0.742634,-1.63864,-0.232263,-0.924801,0.631743,-405.904
-410.375,0.868797,0.228417,4,15,0,424.113,1.39032,1.05355,-1.12275,-0.58208,0.184213,-0.793336,0.703279,-0.0254302,-0.286366,-0.455224,0.0861712,0.295909,-1.04169,0.602231,-1.85382,0.554525,0.620627,-0.112361,-0.689288,0.826576,1.39032,1.05355,-1.12275,-0.58208,0.184213,-0.793336,0.703279,-0.0254302,-0.286366,-0.455224,0.0861712,0.295909,-1.04169,0.602231,-1.85382,0.554525,0.620627,-0.112361,-0.689288,1.47152,-403.718
-406.33,0.995204,0.228417,4,15,0,420.307,0.987666,1.2984,-1.04646,-0.285722,0.563559,0.0677596,0.254694,0.605685,0.171364,-0.280157,0.371538,0.352101,-0.481077,-0.248936,-1.98858,0.211435,-0.408908,-0.13798,-1.45351,0.965597,0.987666,1.2984,-1.04646,-0.285722,0.563559,0.0677596,0.254694,0.605685,0.171364,-0.280157,0.371538,0.352101,-0.481077,-0.248936,-1.98858,0.211435,-0.408908,-0.13798,-1.45351,1.44713,-400.052
-406.396,0.757054,0.228417,4,15,0,416.844,0.268663,0.293342,-1.75853,-0.487254,0.543532,-1.14734,0.291386,0.377143,0.295652,0.177953,0.364698,0.544291,-0.535803,0.187394,-0.966805,1.29581,-0.492546,-0.653122,-0.684908,0.902346,0.268663,0.293342,-1.75853,-0.487254,0.543532,-1.14734,0.291386,0.377143,0.295652,0.177953,0.364698,0.544291,-0.535803,0.187394,-0.966805,1.29581,-0.492546,-0.653122,-0.684908,2.08646,-400.911
-404.955,0.928211,0.228417,4,15,0,419.121,1.20269,0.737585,-0.923361,-0.054804,0.589549,-0.783844,0.06714,0.437025,-0.116584,0.20851,0.0680439,0.97084,-0.389085,0.380979,-1.13335,0.737165,-0.68471,-0.161994,-0.511944,0.925159,1.20269,0.737585,-0.923361,-0.054804,0.589549,-0.783844,0.06714,0.437025,-0.116584,0.20851,0.0680439,0.97084,-0.389085,0.380979,-1.13335,0.737165,-0.68471,-0.161994,-0.511944,-0.639847,-400.505
-399.186,0.997887,0.228417,4,15,0,411.275,0.542437,0.698208,-1.19467,-0.699613,0.266063,0.0159444,0.222578,-0.0971048,0.196112,-0.138728,1.02354,0.447114,-0.617571,-0.365946,-0.762368,0.998741,-0.215229,0.254057,-0.751423,0.86126,0.542437,0.698208,-1.19467,-0.699613,0.266063,0.0159444,0.222578,-0.0971048,0.196112,-0.138728,1.02354,0.447114,-0.617571,-0.365946,-0.762368,0.998741,-0.215229,0.254057,-0.751423,0.177857,-395.214
