# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_3_model
# start_datetime = 2025-08-29 03:50:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/5u5n7sy5.json
# init = 2 (Default)
# random
#   seed = 10361
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_3kmt1u1ui/bradley_terry_3-20250829005032_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.378582
# Diagonal elements of inverse mass matrix:
# 0.45506, 0.529776, 0.484675, 0.488231, 0.542086, 0.498798, 0.562046, 0.520878, 0.554342, 0.395364, 0.4987, 0.636258, 0.674263, 0.519399, 0.514995, 0.561288, 0.541878, 0.565092, 0.530816, 0.087129
-60.9774,0.350124,0.378582,3,7,0,76.0049,-0.257145,-0.744274,0.513326,0.491837,2.04571,1.00822,-0.40911,-0.1422,0.0318565,-1.67536,0.154702,0.742177,-1.07913,-1.07915,-1.7638,1.25481,-0.862338,0.839301,-0.552293,0.830314,-0.257145,-0.744274,0.513326,0.491837,2.04571,1.00822,-0.40911,-0.1422,0.0318565,-1.67536,0.154702,0.742177,-1.07913,-1.07915,-1.7638,1.25481,-0.862338,0.839301,-0.552293,1.48285,-51.1143
-63.6422,0.968459,0.378582,4,15,0,70.1849,-1.72466,0.334223,-0.451373,0.584619,-0.43313,0.647248,0.386081,1.55019,-0.427913,-0.812309,0.61045,1.57344,-0.957127,-1.37525,-1.49155,0.493794,1.06637,-0.738549,-0.384314,1.23536,-1.72466,0.334223,-0.451373,0.584619,-0.43313,0.647248,0.386081,1.55019,-0.427913,-0.812309,0.61045,1.57344,-0.957127,-1.37525,-1.49155,0.493794,1.06637,-0.738549,-0.384314,1.54977,-54.2966
-63.5015,0.729618,0.378582,4,15,0,74.0602,-0.644089,0.543181,-1.01809,0.854772,0.137593,-0.145889,-1.23225,0.75066,-0.32768,-1.23818,-0.00283853,0.298528,-1.71579,-0.124103,0.836053,1.36701,0.0139865,-1.03718,-0.955541,1.15061,-0.644089,0.543181,-1.01809,0.854772,0.137593,-0.145889,-1.23225,0.75066,-0.32768,-1.23818,-0.00283853,0.298528,-1.71579,-0.124103,0.836053,1.36701,0.0139865,-1.03718,-0.955541,3.63984,-56.0574
-65.3569,0.868362,0.378582,4,15,0,76.6978,-0.0352579,-0.07005,0.658925,0.0198157,1.48743,1.6387,1.61588,-1.46114,-0.214928,-0.234208,0.608463,0.852374,0.775942,-0.918454,-2.59358,0.274899,-1.16918,0.367761,-0.84111,0.936553,-0.0352579,-0.07005,0.658925,0.0198157,1.48743,1.6387,1.61588,-1.46114,-0.214928,-0.234208,0.608463,0.852374,0.775942,-0.918454,-2.59358,0.274899,-1.16918,0.367761,-0.84111,-0.762281,-53.9828
-64.4922,0.992506,0.378582,4,15,0,72.3447,-0.59972,0.519077,-0.908958,0.741981,-0.740182,-0.423979,-1.62515,0.266081,0.0146212,-0.328365,-0.150605,0.482761,-1.61463,-0.211595,0.903262,1.17029,0.388079,-1.20544,-0.382423,1.02255,-0.59972,0.519077,-0.908958,0.741981,-0.740182,-0.423979,-1.62515,0.266081,0.0146212,-0.328365,-0.150605,0.482761,-1.61463,-0.211595,0.903262,1.17029,0.388079,-1.20544,-0.382423,3.70489,-57.7935
-60.3742,0.967088,0.378582,3,7,0,73.5567,-0.40294,-0.142041,-0.172901,-0.369385,-0.452923,0.539272,1.23903,-0.178895,-0.499501,-0.453392,0.174155,0.49186,-0.136248,-1.47359,-1.68945,0.786796,-0.103336,0.545705,-1.35666,0.897518,-0.40294,-0.142041,-0.172901,-0.369385,-0.452923,0.539272,1.23903,-0.178895,-0.499501,-0.453392,0.174155,0.49186,-0.136248,-1.47359,-1.68945,0.786796,-0.103336,0.545705,-1.35666,3.65444,-54.3874
