# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_3_model
# start_datetime = 2025-08-29 03:50:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/5u5n7sy5.json
# init = 2 (Default)
# random
#   seed = 10361
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_3kmt1u1ui/bradley_terry_3-20250829005032_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.334629
# Diagonal elements of inverse mass matrix:
# 0.617961, 0.645984, 0.526574, 0.59364, 0.495765, 0.477477, 0.543189, 0.448155, 0.676679, 0.538651, 0.586942, 0.506957, 0.568767, 0.65601, 0.642628, 0.644219, 0.577055, 0.591651, 0.658472, 0.0841438
-65.3358,0.984,0.334629,4,15,0,77.8989,-2.05975,0.689444,0.134809,0.254908,0.518019,0.195189,-0.0291311,-0.0205134,0.938638,0.680413,0.213223,-0.027574,0.680161,-1.04891,-2.44453,0.0107334,-0.104488,0.921388,0.370138,0.615982,-2.05975,0.689444,0.134809,0.254908,0.518019,0.195189,-0.0291311,-0.0205134,0.938638,0.680413,0.213223,-0.027574,0.680161,-1.04891,-2.44453,0.0107334,-0.104488,0.921388,0.370138,0.127829,-57.1443
-64.9419,0.970992,0.334629,4,15,0,77.0642,1.59774,-0.364885,0.189445,-0.209412,0.223166,1.82986,-0.260623,-1.19339,-0.379643,-0.512386,1.31211,0.575432,-0.958782,0.326046,-0.923865,0.158851,0.247794,-1.49133,-1.3961,1.68881,1.59774,-0.364885,0.189445,-0.209412,0.223166,1.82986,-0.260623,-1.19339,-0.379643,-0.512386,1.31211,0.575432,-0.958782,0.326046,-0.923865,0.158851,0.247794,-1.49133,-1.3961,1.22996,-55.9127
-66.3311,0.895871,0.334629,4,15,0,81.5498,-2.91046,0.812434,-0.0911901,2.26383,0.545689,0.498466,0.0472375,0.308513,0.306981,-0.539701,-0.326481,-0.623492,0.403982,-0.686177,-1.29639,0.773558,-1.07198,0.170379,-0.192407,0.584442,-2.91046,0.812434,-0.0911901,2.26383,0.545689,0.498466,0.0472375,0.308513,0.306981,-0.539701,-0.326481,-0.623492,0.403982,-0.686177,-1.29639,0.773558,-1.07198,0.170379,-0.192407,1.60722,-55.6648
-58.9531,0.867534,0.334629,3,7,0,73.8261,0.73277,0.385931,-0.630285,-0.265821,0.558628,0.614173,-0.147005,-0.4549,-0.989772,-1.18019,0.4174,0.990939,-0.900688,-0.224925,0.00190411,1.62525,-0.220406,-0.955224,-0.255953,0.668468,0.73277,0.385931,-0.630285,-0.265821,0.558628,0.614173,-0.147005,-0.4549,-0.989772,-1.18019,0.4174,0.990939,-0.900688,-0.224925,0.00190411,1.62525,-0.220406,-0.955224,-0.255953,0.898174,-53.2618
-60.0965,0.947065,0.334629,4,15,0,67.318,-1.83819,0.131876,0.45933,1.25219,0.988014,0.432784,0.437245,0.121783,0.425621,0.316899,-0.0280702,-0.0343403,-0.511303,-1.04893,-1.52629,-0.189867,-0.335598,0.663775,-1.02284,1.36694,-1.83819,0.131876,0.45933,1.25219,0.988014,0.432784,0.437245,0.121783,0.425621,0.316899,-0.0280702,-0.0343403,-0.511303,-1.04893,-1.52629,-0.189867,-0.335598,0.663775,-1.02284,1.30591,-53.3973
-60.1056,0.66492,0.334629,4,15,0,68.0109,0.988092,0.469891,-0.626308,-0.173281,0.221574,0.729314,-0.746635,-0.910981,-0.797638,-1.07587,0.583324,0.45552,-0.527922,-0.268031,-0.278389,1.95072,-0.21432,-1.03241,-0.443361,0.615383,0.988092,0.469891,-0.626308,-0.173281,0.221574,0.729314,-0.746635,-0.910981,-0.797638,-1.07587,0.583324,0.45552,-0.527922,-0.268031,-0.278389,1.95072,-0.21432,-1.03241,-0.443361,1.69672,-53.6952
