# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_3_model
# start_datetime = 2025-08-29 03:50:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/ru61mxb9.json
# init = 2 (Default)
# random
#   seed = 15457
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_3hs4bj4iv/bradley_terry_3-20250829005042_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.31146
# Diagonal elements of inverse mass matrix:
# 0.385944, 0.42488, 0.405394, 0.432294, 0.451011, 0.31372, 0.334115, 0.382158, 0.445026, 0.411121, 0.358169, 0.409531, 0.449576, 0.408336, 0.4337, 0.400282, 0.367506, 0.391585, 0.385911, 0.0374761
-114.497,0.79687,0.31146,4,15,0,120.91,0.953144,1.56358,1.42335,-0.606564,-1.40779,-0.4853,0.604064,1.12902,-0.159285,0.451995,-0.0519274,-1.62929,1.36524,-0.936626,0.579207,-0.535518,-1.97082,2.00477,-1.05805,1.46259,0.953144,1.56358,1.42335,-0.606564,-1.40779,-0.4853,0.604064,1.12902,-0.159285,0.451995,-0.0519274,-1.62929,1.36524,-0.936626,0.579207,-0.535518,-1.97082,2.00477,-1.05805,-1.2332,-101.369
-117.491,0.991413,0.31146,4,15,0,126.851,-0.343732,0.459739,-1.82948,0.46783,-0.303888,1.00652,1.03411,0.869027,-0.878148,-1.96895,1.15328,-0.933264,-0.422563,1.72984,1.34264,0.102853,-1.49753,0.318541,-0.982396,1.12417,-0.343732,0.459739,-1.82948,0.46783,-0.303888,1.00652,1.03411,0.869027,-0.878148,-1.96895,1.15328,-0.933264,-0.422563,1.72984,1.34264,0.102853,-1.49753,0.318541,-0.982396,0.675578,-105.992
-119.117,0.980291,0.31146,4,15,0,130.096,0.643085,1.37308,1.75821,-0.271471,-1.06201,-0.332567,-0.146906,-0.109771,-0.142676,0.53445,-0.953885,-0.95528,1.60157,-1.92709,0.0342876,-1.12577,-0.814068,1.88045,-0.665162,1.24008,0.643085,1.37308,1.75821,-0.271471,-1.06201,-0.332567,-0.146906,-0.109771,-0.142676,0.53445,-0.953885,-0.95528,1.60157,-1.92709,0.0342876,-1.12577,-0.814068,1.88045,-0.665162,0.681525,-108.037
-118.223,0.995726,0.31146,4,15,0,132.735,-0.578812,1.09298,-0.673334,0.376822,-0.0291066,0.903374,1.69227,0.522863,-0.55603,-1.9763,1.56011,-1.49903,-0.417368,2.32358,0.9116,-0.188325,-1.3273,0.885047,-1.30991,1.22486,-0.578812,1.09298,-0.673334,0.376822,-0.0291066,0.903374,1.69227,0.522863,-0.55603,-1.9763,1.56011,-1.49903,-0.417368,2.32358,0.9116,-0.188325,-1.3273,0.885047,-1.30991,-1.71312,-104.838
-111.07,0.999583,0.31146,4,15,0,126.76,-0.0410053,0.654977,-1.04538,0.772179,-0.460203,0.327166,0.64606,0.121059,-1.0725,-0.576533,1.27935,-0.809886,0.569679,1.39319,0.282548,-0.826131,-2.09913,0.918206,-1.06002,1.18049,-0.0410053,0.654977,-1.04538,0.772179,-0.460203,0.327166,0.64606,0.121059,-1.0725,-0.576533,1.27935,-0.809886,0.569679,1.39319,0.282548,-0.826131,-2.09913,0.918206,-1.06002,1.02639,-102.515
-109.434,0.974152,0.31146,4,15,0,119.025,0.667573,0.95075,0.892097,0.0528754,-1.02011,0.0474875,0.240115,0.77996,-0.106087,-1.51984,-0.651636,-1.43798,0.517771,-1.41248,1.23832,0.0177834,-0.468113,1.93087,-0.259936,0.941581,0.667573,0.95075,0.892097,0.0528754,-1.02011,0.0474875,0.240115,0.77996,-0.106087,-1.51984,-0.651636,-1.43798,0.517771,-1.41248,1.23832,0.0177834,-0.468113,1.93087,-0.259936,-0.459425,-100.69
