# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_3_model
# start_datetime = 2025-08-29 03:50:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/1g4msbvf.json
# init = 2 (Default)
# random
#   seed = 56943
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_3rewg6e12/bradley_terry_3-20250829005038_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.256451
# Diagonal elements of inverse mass matrix:
# 0.171518, 0.133805, 0.138724, 0.124846, 0.115222, 0.142512, 0.163213, 0.115958, 0.113626, 0.149212, 0.145041, 0.121655, 0.110095, 0.156588, 0.154791, 0.144093, 0.149412, 0.144451, 0.141536, 0.0117642
-405.505,0.96317,0.256451,4,15,0,417.183,0.656353,0.167862,0.56047,0.713117,0.1456,-0.0866232,0.652354,0.0268953,0.0997733,-0.0298289,0.181651,-0.387073,-1.47284,0.223752,-0.327194,0.404382,-2.08874,0.461869,0.492454,0.999684,0.656353,0.167862,0.56047,0.713117,0.1456,-0.0866232,0.652354,0.0268953,0.0997733,-0.0298289,0.181651,-0.387073,-1.47284,0.223752,-0.327194,0.404382,-2.08874,0.461869,0.492454,-0.394235,-400.386
-404.89,0.948268,0.256451,4,15,0,415.472,0.629983,0.669204,0.37892,0.264697,0.084881,-0.42443,1.35851,0.00199023,0.209024,-0.422515,0.409811,-0.0661283,-1.42959,0.111694,0.0219369,-0.495723,-1.77762,-0.0967706,0.728876,0.87918,0.629983,0.669204,0.37892,0.264697,0.084881,-0.42443,1.35851,0.00199023,0.209024,-0.422515,0.409811,-0.0661283,-1.42959,0.111694,0.0219369,-0.495723,-1.77762,-0.0967706,0.728876,-0.156745,-399.63
-401.543,0.920149,0.256451,4,15,0,411.557,0.484273,0.98233,0.194366,0.155198,0.265616,-0.470751,1.3504,0.282824,-0.01692,-0.543918,0.594697,-0.411231,-1.31435,-0.152155,0.160101,0.0517199,-1.67985,-0.0142393,0.214267,0.881054,0.484273,0.98233,0.194366,0.155198,0.265616,-0.470751,1.3504,0.282824,-0.01692,-0.543918,0.594697,-0.411231,-1.31435,-0.152155,0.160101,0.0517199,-1.67985,-0.0142393,0.214267,-0.132373,-396.567
-401.958,0.989642,0.256451,4,15,0,409.765,1.25666,0.931716,0.268422,0.172818,-0.330868,-0.417696,1.64116,-0.0698178,-0.298918,-0.538982,0.239841,0.116018,-0.723012,-0.0633419,-0.460667,-0.34757,-2.06861,0.176157,0.595166,0.810701,1.25666,0.931716,0.268422,0.172818,-0.330868,-0.417696,1.64116,-0.0698178,-0.298918,-0.538982,0.239841,0.116018,-0.723012,-0.0633419,-0.460667,-0.34757,-2.06861,0.176157,0.595166,-0.0784657,-395.667
-405.009,0.764479,0.256451,4,15,0,412.848,0.314811,-0.180549,0.485757,0.379778,-0.488964,0.487919,1.20076,0.213338,-0.29616,-0.347767,0.1076,-0.838783,0.128617,-0.0262628,-0.368192,0.40721,-1.9768,1.19161,-0.282465,1.1296,0.314811,-0.180549,0.485757,0.379778,-0.488964,0.487919,1.20076,0.213338,-0.29616,-0.347767,0.1076,-0.838783,0.128617,-0.0262628,-0.368192,0.40721,-1.9768,1.19161,-0.282465,-0.111452,-399.93
-405.437,0.981229,0.256451,4,15,0,412.927,1.54086,1.60182,0.100268,0.132602,0.201184,-0.410103,1.82646,-0.0470559,-0.00953087,-1.2518,0.042626,-0.233426,-0.822439,0.111969,-0.431752,-0.219304,-1.56492,-0.293795,0.227893,0.930516,1.54086,1.60182,0.100268,0.132602,0.201184,-0.410103,1.82646,-0.0470559,-0.00953087,-1.2518,0.042626,-0.233426,-0.822439,0.111969,-0.431752,-0.219304,-1.56492,-0.293795,0.227893,-0.501559,-398.107
