# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_3_model
# start_datetime = 2025-08-29 03:50:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/jylnzkbd.json
# init = 2 (Default)
# random
#   seed = 9535
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_3x__nv7ee/bradley_terry_3-20250829005040_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.319405
# Diagonal elements of inverse mass matrix:
# 0.562824, 0.544159, 0.6288, 0.506792, 0.506178, 0.467207, 0.545822, 0.584764, 0.526994, 0.499246, 0.569956, 0.653679, 0.522037, 0.53872, 0.555438, 0.59459, 0.647984, 0.524428, 0.546967, 0.0760234
-60.1882,0.943622,0.319405,4,15,0,71.668,-0.280802,-0.022383,-0.195301,0.309255,-0.0805975,0.402806,0.655841,0.796236,-0.247137,1.84644,-1.10347,-0.144718,0.253305,-0.710046,0.666515,-2.1589,-0.220493,0.205632,0.4383,1.16864,-0.280802,-0.022383,-0.195301,0.309255,-0.0805975,0.402806,0.655841,0.796236,-0.247137,1.84644,-1.10347,-0.144718,0.253305,-0.710046,0.666515,-2.1589,-0.220493,0.205632,0.4383,-0.410486,-53.6055
-61.1942,0.901693,0.319405,4,15,0,70.7183,1.87463,0.74231,-0.559533,0.00217814,-1.34954,0.802473,-0.0876184,0.631412,-0.521916,-2.91511,0.255561,-1.42843,0.700797,0.48048,1.33727,0.336136,-0.702336,1.735,-1.35447,1.2335,1.87463,0.74231,-0.559533,0.00217814,-1.34954,0.802473,-0.0876184,0.631412,-0.521916,-2.91511,0.255561,-1.42843,0.700797,0.48048,1.33727,0.336136,-0.702336,1.735,-1.35447,0.0207008,-47.5997
-57.7646,0.993471,0.319405,4,15,0,68.6005,-0.247978,0.540779,-0.727495,0.297838,-1.56346,0.53782,1.23122,0.664522,-0.0758257,1.10538,-0.200382,-0.0230435,-0.139423,-1.02148,0.916808,-2.16133,-0.334101,0.842713,-0.355303,0.911393,-0.247978,0.540779,-0.727495,0.297838,-1.56346,0.53782,1.23122,0.664522,-0.0758257,1.10538,-0.200382,-0.0230435,-0.139423,-1.02148,0.916808,-2.16133,-0.334101,0.842713,-0.355303,0.712746,-50.0295
-57.7885,0.995864,0.319405,4,15,0,63.9121,1.08431,0.723852,-0.615152,0.189456,-0.491101,0.57113,-0.0403236,0.633403,-0.484768,-2.58472,-0.71059,-0.690799,0.715131,0.999133,1.18252,0.34408,-0.697209,1.41447,-0.534968,1.35467,1.08431,0.723852,-0.615152,0.189456,-0.491101,0.57113,-0.0403236,0.633403,-0.484768,-2.58472,-0.71059,-0.690799,0.715131,0.999133,1.18252,0.34408,-0.697209,1.41447,-0.534968,-1.00785,-48.7838
-66.3039,0.893954,0.319405,3,7,0,69.8208,2.24948,0.432386,-0.712932,-0.438846,-0.815563,1.21344,-0.241348,0.429122,-0.0777487,-2.62659,-0.762597,-0.725845,2.50698,1.46544,1.2037,-0.0299092,-1.61752,0.612773,-1.31848,1.54395,2.24948,0.432386,-0.712932,-0.438846,-0.815563,1.21344,-0.241348,0.429122,-0.0777487,-2.62659,-0.762597,-0.725845,2.50698,1.46544,1.2037,-0.0299092,-1.61752,0.612773,-1.31848,-0.745934,-50.0694
-62.3946,0.923037,0.319405,3,7,0,72.057,1.72616,0.158281,-0.634585,-0.378729,-0.477208,1.65472,0.0268889,0.277014,0.633978,-2.29883,0.259436,-0.900359,1.31821,1.19233,0.918242,-0.509632,-2.05123,0.993663,-1.5106,1.4776,1.72616,0.158281,-0.634585,-0.378729,-0.477208,1.65472,0.0268889,0.277014,0.633978,-2.29883,0.259436,-0.900359,1.31821,1.19233,0.918242,-0.509632,-2.05123,0.993663,-1.5106,-0.397756,-49.2445
