# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_3_model
# start_datetime = 2025-08-29 03:50:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/4t7dlm5g.json
# init = 2 (Default)
# random
#   seed = 91536
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_34zyu74kj/bradley_terry_3-20250829005050_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.308542
# Diagonal elements of inverse mass matrix:
# 0.329882, 0.419645, 0.408862, 0.405227, 0.405588, 0.370041, 0.370591, 0.367415, 0.359272, 0.35645, 0.345558, 0.356162, 0.51786, 0.379294, 0.393709, 0.452376, 0.390289, 0.379395, 0.393069, 0.034147
-121.966,1,0.308542,4,15,0,131.333,0.369078,0.465222,-0.562619,0.834435,1.19794,-0.317374,0.421724,-0.520671,0.247092,-0.697865,0.00410792,0.595342,-0.832276,0.794869,0.826298,-0.800365,-1.3996,-0.78874,0.0971917,0.787407,0.369078,0.465222,-0.562619,0.834435,1.19794,-0.317374,0.421724,-0.520671,0.247092,-0.697865,0.00410792,0.595342,-0.832276,0.794869,0.826298,-0.800365,-1.3996,-0.78874,0.0971917,0.0662089,-116.672
-122.614,0.651549,0.308542,4,15,0,134.099,0.336833,0.111746,0.53591,-0.321783,-0.247229,0.686711,1.33259,0.242872,-0.730329,1.90872,-0.844275,-0.535376,-1.65921,-1.99464,-1.55855,0.42873,0.602127,0.979204,0.0126672,1.72973,0.336833,0.111746,0.53591,-0.321783,-0.247229,0.686711,1.33259,0.242872,-0.730329,1.90872,-0.844275,-0.535376,-1.65921,-1.99464,-1.55855,0.42873,0.602127,0.979204,0.0126672,0.71329,-112.303
-120.38,0.933344,0.308542,4,15,0,130.754,0.898075,0.080284,-0.651199,0.956297,0.946929,-0.170205,0.543859,-0.431122,0.682471,-0.171504,-0.180686,0.423313,-1.22223,0.461578,0.904571,-1.20196,-1.04498,-1.04413,0.227742,0.871222,0.898075,0.080284,-0.651199,0.956297,0.946929,-0.170205,0.543859,-0.431122,0.682471,-0.171504,-0.180686,0.423313,-1.22223,0.461578,0.904571,-1.20196,-1.04498,-1.04413,0.227742,-0.00710906,-114.628
-113.622,0.999256,0.308542,4,15,0,125.75,0.866842,0.0794322,0.140091,-0.217429,-0.435887,-0.10505,0.268556,-0.479826,0.26022,0.414331,-0.484322,0.021882,-1.36848,-0.636608,-0.50102,0.0138881,-0.27218,1.35819,1.13064,1.03851,0.866842,0.0794322,0.140091,-0.217429,-0.435887,-0.10505,0.268556,-0.479826,0.26022,0.414331,-0.484322,0.021882,-1.36848,-0.636608,-0.50102,0.0138881,-0.27218,1.35819,1.13064,-0.0532655,-109.356
-113.932,0.950997,0.308542,4,15,0,118.745,0.332465,0.800532,0.118307,0.500657,0.953645,0.642606,1.34263,0.484055,-1.02374,0.716951,-0.274355,0.094254,-0.807223,-0.312321,-0.257358,-0.542725,-0.189688,-1.27076,-0.730754,1.31233,0.332465,0.800532,0.118307,0.500657,0.953645,0.642606,1.34263,0.484055,-1.02374,0.716951,-0.274355,0.094254,-0.807223,-0.312321,-0.257358,-0.542725,-0.189688,-1.27076,-0.730754,-0.577174,-108.685
-112.865,0.877386,0.308542,4,15,0,131.448,0.852169,-0.103126,0.221015,0.151803,-0.085706,0.454872,0.586033,-0.223189,-0.725132,-0.167475,0.00541427,0.441084,-1.32799,-0.52179,-1.12402,0.408509,-0.71219,0.922468,0.386999,1.17732,0.852169,-0.103126,0.221015,0.151803,-0.085706,0.454872,0.586033,-0.223189,-0.725132,-0.167475,0.00541427,0.441084,-1.32799,-0.52179,-1.12402,0.408509,-0.71219,0.922468,0.386999,0.560252,-108.766
-117.855,0.559707,0.308542,4,15,0,124.339,0.0325648,1.5234,0.625511,0.471556,0.052855,0.574374,0.832173,-0.25891,0.278683,0.759262,-1.73638,-0.632012,-1.33398,0.202972,0.75108,-0.542888,-0.625768,-0.869322,-0.281661,1.36925,0.0325648,1.5234,0.625511,0.471556,0.052855,0.574374,0.832173,-0.25891,0.278683,0.759262,-1.73638,-0.632012,-1.33398,0.202972,0.75108,-0.542888,-0.625768,-0.869322,-0.281661,0.176488,-111.23
