# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_3_model
# start_datetime = 2025-08-29 03:50:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/4t7dlm5g.json
# init = 2 (Default)
# random
#   seed = 91536
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_34zyu74kj/bradley_terry_3-20250829005050_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.29556
# Diagonal elements of inverse mass matrix:
# 0.315307, 0.391003, 0.34455, 0.315355, 0.358501, 0.390608, 0.417384, 0.417308, 0.346314, 0.42067, 0.367187, 0.393063, 0.392416, 0.413551, 0.433325, 0.371045, 0.363999, 0.400021, 0.457093, 0.0403066
-123.344,0.973761,0.29556,4,15,0,132.257,1.62363,1.33237,-0.00667352,0.447364,1.0445,0.447336,1.36362,-1.24092,-1.3972,0.0978231,0.219653,-0.371365,-1.95494,-1.42023,0.777039,0.363143,-0.945144,-0.846275,0.0635911,1.60606,1.62363,1.33237,-0.00667352,0.447364,1.0445,0.447336,1.36362,-1.24092,-1.3972,0.0978231,0.219653,-0.371365,-1.95494,-1.42023,0.777039,0.363143,-0.945144,-0.846275,0.0635911,0.402678,-112.71
-117.679,0.955621,0.29556,4,15,0,133.18,-0.0889554,-0.24272,0.209418,-0.171256,-0.51618,-0.13324,1.06349,1.23809,0.0906028,0.624063,-0.942411,1.45149,-1.07074,0.46959,-1.16278,0.0225341,-0.447881,0.521517,-0.0888634,1.04383,-0.0889554,-0.24272,0.209418,-0.171256,-0.51618,-0.13324,1.06349,1.23809,0.0906028,0.624063,-0.942411,1.45149,-1.07074,0.46959,-1.16278,0.0225341,-0.447881,0.521517,-0.0888634,-0.825762,-112.337
-117.811,1,0.29556,4,15,0,125.818,0.922892,0.929679,-0.116141,0.579575,1.51298,0.695615,0.787238,-1.01989,-0.57094,0.385273,0.108424,-1.23331,-0.884084,-1.08074,0.437496,-0.416142,-0.124614,-0.477407,0.394704,1.36235,0.922892,0.929679,-0.116141,0.579575,1.51298,0.695615,0.787238,-1.01989,-0.57094,0.385273,0.108424,-1.23331,-0.884084,-1.08074,0.437496,-0.416142,-0.124614,-0.477407,0.394704,-0.830601,-111.583
-119.841,0.983521,0.29556,4,15,0,128.68,0.329766,-0.0107145,0.686217,0.597964,1.35272,0.0748469,1.86369,-0.0431819,-0.136578,-0.168228,-1.25828,-0.704375,-2.05482,-1.29338,-0.762144,0.0423232,-0.149314,0.782617,1.66291,1.50683,0.329766,-0.0107145,0.686217,0.597964,1.35272,0.0748469,1.86369,-0.0431819,-0.136578,-0.168228,-1.25828,-0.704375,-2.05482,-1.29338,-0.762144,0.0423232,-0.149314,0.782617,1.66291,-0.812046,-109.99
-119.164,1,0.29556,4,15,0,128.598,0.972351,-0.282479,-0.0722305,1.34108,0.892981,0.704148,1.81495,-0.331109,0.28769,0.806903,0.0266915,-0.782343,-2.42502,-0.979178,-0.876745,0.145385,-0.067936,-0.502962,-0.681463,1.41936,0.972351,-0.282479,-0.0722305,1.34108,0.892981,0.704148,1.81495,-0.331109,0.28769,0.806903,0.0266915,-0.782343,-2.42502,-0.979178,-0.876745,0.145385,-0.067936,-0.502962,-0.681463,0.00928563,-109.895
-116.069,0.963206,0.29556,4,15,0,131.187,-0.00703051,0.589114,1.14796,-0.403382,0.811545,0.373402,0.182182,0.139503,-1.21854,0.110829,-1.42465,1.04096,-0.557379,-0.227188,-0.128991,0.0320254,-0.81662,-0.40012,0.77769,1.21604,-0.00703051,0.589114,1.14796,-0.403382,0.811545,0.373402,0.182182,0.139503,-1.21854,0.110829,-1.42465,1.04096,-0.557379,-0.227188,-0.128991,0.0320254,-0.81662,-0.40012,0.77769,-0.0213086,-110.976
