# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_3_model
# start_datetime = 2025-08-29 03:50:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/_ma2z4k7.json
# init = 2 (Default)
# random
#   seed = 11937
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_3msp3dhv9/bradley_terry_3-20250829005049_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.307831
# Diagonal elements of inverse mass matrix:
# 0.453666, 0.552227, 0.444916, 0.484753, 0.598803, 0.485738, 0.477146, 0.539848, 0.531148, 0.523467, 0.604115, 0.488434, 0.584575, 0.567093, 0.443257, 0.487339, 0.618154, 0.498404, 0.57092, 0.0872942
-63.0217,0.984634,0.307831,4,15,0,74.8981,0.6231,0.276467,0.2048,0.798148,-0.640728,0.621303,0.196187,0.674014,0.667958,1.98262,-0.755312,-0.245135,-0.596575,-0.991063,-1.86701,-1.56455,1.42245,1.50276,0.773135,1.10433,0.6231,0.276467,0.2048,0.798148,-0.640728,0.621303,0.196187,0.674014,0.667958,1.98262,-0.755312,-0.245135,-0.596575,-0.991063,-1.86701,-1.56455,1.42245,1.50276,0.773135,-3.08258,-52.7154
-61.2109,0.956258,0.307831,4,15,0,71.5101,0.540021,0.391809,-0.000906592,0.79018,1.07053,-0.591219,0.0298113,-0.562341,0.226869,1.41511,0.157696,-0.132041,-2.05227,0.667618,0.0478405,0.728195,0.802712,-0.661751,0.493389,1.0446,0.540021,0.391809,-0.000906592,0.79018,1.07053,-0.591219,0.0298113,-0.562341,0.226869,1.41511,0.157696,-0.132041,-2.05227,0.667618,0.0478405,0.728195,0.802712,-0.661751,0.493389,-3.36125,-54.9618
-56.6777,0.970706,0.307831,4,15,0,71.1658,0.112902,0.0597099,0.276125,-0.514088,0.180321,-0.322402,-0.0632272,-0.322648,0.474861,1.16267,0.0302879,-0.11813,-1.42031,0.527519,-0.883371,0.596998,0.0589756,-0.128396,0.303957,1.0379,0.112902,0.0597099,0.276125,-0.514088,0.180321,-0.322402,-0.0632272,-0.322648,0.474861,1.16267,0.0302879,-0.11813,-1.42031,0.527519,-0.883371,0.596998,0.0589756,-0.128396,0.303957,-0.0117502,-53.3072
-55.8293,0.982591,0.307831,4,15,0,60.1256,-0.0282676,0.0368852,0.312219,-0.0116515,0.0016808,-0.330322,0.242966,-0.144325,0.477388,1.17763,-0.0590645,0.251976,-1.02229,0.549571,-1.09264,0.255529,0.414754,0.38901,0.261021,1.302,-0.0282676,0.0368852,0.312219,-0.0116515,0.0016808,-0.330322,0.242966,-0.144325,0.477388,1.17763,-0.0590645,0.251976,-1.02229,0.549571,-1.09264,0.255529,0.414754,0.38901,0.261021,-1.68207,-52.7615
-56.8432,0.898943,0.307831,3,15,0,70.1797,0.334162,-0.219482,0.254529,0.169644,-0.304296,-0.582852,0.901629,-0.669322,0.542958,1.46133,-0.0172641,0.425278,-1.25741,0.419911,-0.999006,0.358965,0.442448,0.252787,0.391353,1.21605,0.334162,-0.219482,0.254529,0.169644,-0.304296,-0.582852,0.901629,-0.669322,0.542958,1.46133,-0.0172641,0.425278,-1.25741,0.419911,-0.999006,0.358965,0.442448,0.252787,0.391353,-1.90537,-52.3719
-57.4566,0.976401,0.307831,4,15,0,64.6176,0.248242,0.534246,-0.645289,0.934955,0.873327,-0.335038,-0.763448,0.36405,-0.138579,0.630698,-1.31557,0.134428,-0.172077,-0.286333,-0.204718,-1.07539,0.959683,0.0200223,-0.285958,0.762438,0.248242,0.534246,-0.645289,0.934955,0.873327,-0.335038,-0.763448,0.36405,-0.138579,0.630698,-1.31557,0.134428,-0.172077,-0.286333,-0.204718,-1.07539,0.959683,0.0200223,-0.285958,0.522746,-53.0412
