# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_3_model
# start_datetime = 2025-08-29 03:50:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/muc4y513.json
# init = 2 (Default)
# random
#   seed = 98759
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_328ew6esl/bradley_terry_3-20250829005059_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.289427
# Diagonal elements of inverse mass matrix:
# 0.432313, 0.483071, 0.397884, 0.368854, 0.440307, 0.341227, 0.38072, 0.40202, 0.399896, 0.407862, 0.288167, 0.331313, 0.438319, 0.323213, 0.353994, 0.32802, 0.353624, 0.453725, 0.407624, 0.0376126
-111.083,0.979524,0.289427,4,15,0,117.822,0.410691,-0.880114,1.61626,0.054533,1.42102,-0.780182,-1.06443,-0.211752,0.976202,-1.20592,0.613524,-0.268244,-0.264226,-0.56429,0.202555,-1.19676,-0.745506,-0.216514,0.776234,0.722466,0.410691,-0.880114,1.61626,0.054533,1.42102,-0.780182,-1.06443,-0.211752,0.976202,-1.20592,0.613524,-0.268244,-0.264226,-0.56429,0.202555,-1.19676,-0.745506,-0.216514,0.776234,1.32691,-103.854
-115.141,0.721587,0.289427,4,15,0,123.637,0.069834,-1.63448,0.765104,0.120873,0.587023,0.498249,0.0281849,0.231148,-0.302028,-0.289145,0.851747,-2.7536,1.27631,0.125476,0.145539,-0.682336,0.953326,-0.213001,-2.02141,1.19011,0.069834,-1.63448,0.765104,0.120873,0.587023,0.498249,0.0281849,0.231148,-0.302028,-0.289145,0.851747,-2.7536,1.27631,0.125476,0.145539,-0.682336,0.953326,-0.213001,-2.02141,2.2432,-104.818
-113.366,0.99113,0.289427,4,15,0,123.129,0.518816,-1.91831,1.74408,0.230697,1.53517,-1.56217,-0.90336,-0.58802,0.124348,-1.26171,0.685617,0.73403,-0.015573,0.411933,-0.185579,-0.551022,0.263361,0.732307,0.286555,0.942467,0.518816,-1.91831,1.74408,0.230697,1.53517,-1.56217,-0.90336,-0.58802,0.124348,-1.26171,0.685617,0.73403,-0.015573,0.411933,-0.185579,-0.551022,0.263361,0.732307,0.286555,-0.281159,-104.455
-111.364,0.932693,0.289427,4,15,0,120.101,0.368925,-1.90083,0.378175,0.145232,1.4302,-1.38348,-1.13527,-0.214165,-0.489589,-0.968418,0.85497,0.268206,-0.177345,0.407462,0.447869,-0.241742,0.427878,0.47605,0.197743,0.826005,0.368925,-1.90083,0.378175,0.145232,1.4302,-1.38348,-1.13527,-0.214165,-0.489589,-0.968418,0.85497,0.268206,-0.177345,0.407462,0.447869,-0.241742,0.427878,0.47605,0.197743,1.10813,-104.785
-107.624,0.923776,0.289427,4,15,0,120.324,-0.16187,-0.148439,0.426708,0.207989,0.717978,-0.114827,-1.06717,-0.0758312,-0.00184997,-0.980242,1.02446,-1.65419,0.827778,0.144243,0.518769,-0.638863,-0.269602,-0.116159,-0.0218407,0.782964,-0.16187,-0.148439,0.426708,0.207989,0.717978,-0.114827,-1.06717,-0.0758312,-0.00184997,-0.980242,1.02446,-1.65419,0.827778,0.144243,0.518769,-0.638863,-0.269602,-0.116159,-0.0218407,1.38295,-102.991
-116.174,0.888587,0.289427,4,15,0,124.444,1.13256,-2.2394,1.41732,0.9476,0.267262,-1.88947,0.59101,-0.222921,-0.0821829,-0.921361,0.389316,-2.51367,0.0785374,0.43059,0.837445,0.0512403,0.511349,0.518379,-0.588316,0.752788,1.13256,-2.2394,1.41732,0.9476,0.267262,-1.88947,0.59101,-0.222921,-0.0821829,-0.921361,0.389316,-2.51367,0.0785374,0.43059,0.837445,0.0512403,0.511349,0.518379,-0.588316,1.28471,-104.435
-110.404,0.987046,0.289427,4,15,0,125.965,-0.721401,-0.557209,0.757551,-0.113035,1.40921,0.363544,-1.76136,0.258213,0.656543,0.0556966,0.459849,-0.242841,0.603686,0.184878,0.693873,-1.17472,-0.144197,-0.559511,0.10088,0.77618,-0.721401,-0.557209,0.757551,-0.113035,1.40921,0.363544,-1.76136,0.258213,0.656543,0.0556966,0.459849,-0.242841,0.603686,0.184878,0.693873,-1.17472,-0.144197,-0.559511,0.10088,-0.269652,-104.843
-108.861,0.769738,0.289427,4,15,0,121.189,1.40622,-1.47505,1.49459,0.462923,0.66654,-0.724831,0.82749,0.0907787,-0.338298,-1.01891,0.674537,-1.51567,0.576952,-0.16095,-0.0863122,-0.201597,0.274854,0.723277,-1.3558,0.934442,1.40622,-1.47505,1.49459,0.462923,0.66654,-0.724831,0.82749,0.0907787,-0.338298,-1.01891,0.674537,-1.51567,0.576952,-0.16095,-0.0863122,-0.201597,0.274854,0.723277,-1.3558,-0.320733,-100.85
-110.287,0.97448,0.289427,4,15,0,121.231,-1.07487,-0.209313,0.871714,-0.418804,1.55018,0.337452,-1.68172,0.367592,1.13161,-0.444082,0.516213,-0.618388,0.214973,0.0360153,0.666439,-1.10138,0.0251833,0.008097,-0.419281,0.903864,-1.07487,-0.209313,0.871714,-0.418804,1.55018,0.337452,-1.68172,0.367592,1.13161,-0.444082,0.516213,-0.618388,0.214973,0.0360153,0.666439,-1.10138,0.0251833,0.008097,-0.419281,0.242365,-103.966
-107.425,0.983381,0.289427,4,15,0,118.649,-0.606214,-1.01727,1.32794,-0.248006,1.40157,0.0143767,-1.09085,-0.0825538,0.547457,-0.722097,1.54985,-0.0391463,0.0393288,-0.373148,-0.0546837,-0.770225,0.406254,-0.0985784,-1.23435,0.777759,-0.606214,-1.01727,1.32794,-0.248006,1.40157,0.0143767,-1.09085,-0.0825538,0.547457,-0.722097,1.54985,-0.0391463,0.0393288,-0.373148,-0.0546837,-0.770225,0.406254,-0.0985784,-1.23435,1.05036,-100.847
-110.317,0.89221,0.289427,4,15,0,117.601,0.791066,-1.11025,0.232786,0.110287,2.24511,-0.80363,-0.154141,0.553178,-0.186767,0.0947302,1.3016,-0.46228,0.686361,-0.396306,-0.367467,-0.510323,-0.376292,-0.60739,-0.57068,1.1039,0.791066,-1.11025,0.232786,0.110287,2.24511,-0.80363,-0.154141,0.553178,-0.186767,0.0947302,1.3016,-0.46228,0.686361,-0.396306,-0.367467,-0.510323,-0.376292,-0.60739,-0.57068,-0.469583,-103.93
