# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_3_model
# start_datetime = 2025-08-29 03:51:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/shshltb3.json
# init = 2 (Default)
# random
#   seed = 93162
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_3inhdgyz2/bradley_terry_3-20250829005101_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.2379
# Diagonal elements of inverse mass matrix:
# 0.254602, 0.294183, 0.380603, 0.303707, 0.346552, 0.335703, 0.251104, 0.300934, 0.32631, 0.305767, 0.291553, 0.308772, 0.290949, 0.298093, 0.287716, 0.2855, 0.274433, 0.278605, 0.268289, 0.0360134
-156.823,0.988538,0.2379,4,15,0,164.339,-0.141933,-0.75103,2.47437,0.347385,1.05325,-0.233133,-0.851055,-0.00933637,0.379284,0.139462,0.579934,-1.3755,0.475558,-0.560796,0.160469,-1.36437,0.403895,0.345032,-1.21575,0.675297,-0.141933,-0.75103,2.47437,0.347385,1.05325,-0.233133,-0.851055,-0.00933637,0.379284,0.139462,0.579934,-1.3755,0.475558,-0.560796,0.160469,-1.36437,0.403895,0.345032,-1.21575,0.144268,-148.555
-160.215,0.798864,0.2379,4,15,0,168.141,-0.62119,-0.737834,2.46418,0.962528,0.607068,-0.117024,-0.828632,-0.347256,0.306574,-0.342312,0.475492,-1.50155,0.541541,-0.688913,0.221749,-1.41865,0.402234,0.311811,-1.52323,0.649102,-0.62119,-0.737834,2.46418,0.962528,0.607068,-0.117024,-0.828632,-0.347256,0.306574,-0.342312,0.475492,-1.50155,0.541541,-0.688913,0.221749,-1.41865,0.402234,0.311811,-1.52323,1.83341,-150.963
-158.163,0.994029,0.2379,4,15,0,167.202,0.54068,-0.61855,1.95565,0.543069,0.695522,0.253593,-0.169554,-0.259224,1.18355,-1.33619,0.0111214,-1.79206,0.548932,-0.505246,-0.3258,-1.36056,-0.121981,0.0718331,-0.598713,1.18955,0.54068,-0.61855,1.95565,0.543069,0.695522,0.253593,-0.169554,-0.259224,1.18355,-1.33619,0.0111214,-1.79206,0.548932,-0.505246,-0.3258,-1.36056,-0.121981,0.0718331,-0.598713,1.28393,-150.265
-159.542,0.982623,0.2379,4,15,0,166.23,-0.119756,-0.815005,2.4139,0.890504,0.956583,-0.372853,0.339973,-0.13325,-0.444243,-0.802256,-0.899688,-1.02132,0.271254,-0.902776,0.618406,-1.15921,0.769208,-0.356727,-0.4726,0.7811,-0.119756,-0.815005,2.4139,0.890504,0.956583,-0.372853,0.339973,-0.13325,-0.444243,-0.802256,-0.899688,-1.02132,0.271254,-0.902776,0.618406,-1.15921,0.769208,-0.356727,-0.4726,1.23986,-151.621
-171.124,0.935553,0.2379,4,15,0,177.86,0.53648,-0.169512,1.3219,-0.411321,0.328149,-0.254245,-0.372425,-0.26961,1.96486,-1.1964,1.89589,-1.34098,0.376203,-0.602168,-0.746428,-0.169264,-0.480294,1.38463,-1.6601,0.994382,0.53648,-0.169512,1.3219,-0.411321,0.328149,-0.254245,-0.372425,-0.26961,1.96486,-1.1964,1.89589,-1.34098,0.376203,-0.602168,-0.746428,-0.169264,-0.480294,1.38463,-1.6601,-0.135368,-160.976
-162.129,0.991396,0.2379,4,15,0,180.927,0.133265,-0.944266,1.40403,0.857603,1.03905,-1.05317,-0.408249,-0.404981,-0.557823,-0.408728,-0.485568,-0.182302,1.84896,-0.475274,0.368034,-1.18808,1.04912,-0.302382,-1.10621,0.636974,0.133265,-0.944266,1.40403,0.857603,1.03905,-1.05317,-0.408249,-0.404981,-0.557823,-0.408728,-0.485568,-0.182302,1.84896,-0.475274,0.368034,-1.18808,1.04912,-0.302382,-1.10621,0.816962,-154.23
