# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_3_model
# start_datetime = 2025-08-29 03:51:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/shshltb3.json
# init = 2 (Default)
# random
#   seed = 93162
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_3inhdgyz2/bradley_terry_3-20250829005101_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.301268
# Diagonal elements of inverse mass matrix:
# 0.287451, 0.242865, 0.359301, 0.296383, 0.299538, 0.282452, 0.279474, 0.311074, 0.324946, 0.313526, 0.278588, 0.245745, 0.282609, 0.27389, 0.277074, 0.292576, 0.251898, 0.234021, 0.259178, 0.032771
-164.035,0.938626,0.301268,4,15,0,172.987,0.306744,-0.505189,1.45659,0.5595,1.01938,-1.14504,-0.759378,-0.0715674,-0.0160161,-1.13288,1.34626,-0.39886,0.579314,-1.84778,0.461947,-0.942811,0.819141,0.0303637,-0.940883,1.34027,0.306744,-0.505189,1.45659,0.5595,1.01938,-1.14504,-0.759378,-0.0715674,-0.0160161,-1.13288,1.34626,-0.39886,0.579314,-1.84778,0.461947,-0.942811,0.819141,0.0303637,-0.940883,1.18117,-155.739
-163.525,0.994376,0.301268,4,15,0,175.553,1.58308,-1.33199,1.57675,0.635308,0.119497,0.501434,-0.251086,1.0107,1.07853,-1.45444,0.136781,-1.33845,0.743811,0.0848691,-0.519652,-0.690115,0.203847,-0.859489,-2.10186,0.663099,1.58308,-1.33199,1.57675,0.635308,0.119497,0.501434,-0.251086,1.0107,1.07853,-1.45444,0.136781,-1.33845,0.743811,0.0848691,-0.519652,-0.690115,0.203847,-0.859489,-2.10186,0.87248,-152.838
-162.765,0.953183,0.301268,4,15,0,173.445,0.374126,-0.462835,2.32906,0.615011,1.08541,-1.62607,-0.225594,-0.431289,0.308917,-0.417164,0.563506,-0.690467,-0.197488,-1.1209,0.354827,-1.34581,-0.0315233,1.09335,-0.27065,0.701294,0.374126,-0.462835,2.32906,0.615011,1.08541,-1.62607,-0.225594,-0.431289,0.308917,-0.417164,0.563506,-0.690467,-0.197488,-1.1209,0.354827,-1.34581,-0.0315233,1.09335,-0.27065,0.0955757,-154.274
-164.378,0.496192,0.301268,4,15,0,173.848,-0.0322769,-1.60193,1.87301,0.00527963,-0.183762,0.800644,-0.365222,0.566725,0.305459,-0.358576,-0.363607,-1.03685,1.23848,-0.463006,-0.425731,-0.568954,0.657629,-0.73081,-1.87556,1.1486,-0.0322769,-1.60193,1.87301,0.00527963,-0.183762,0.800644,-0.365222,0.566725,0.305459,-0.358576,-0.363607,-1.03685,1.23848,-0.463006,-0.425731,-0.568954,0.657629,-0.73081,-1.87556,2.55907,-156.171
-167.426,0.978116,0.301268,4,15,0,179.149,0.526081,-1.18894,1.44655,1.05073,1.54394,-0.491536,-0.247406,-0.371322,0.962425,-1.34508,1.36509,-1.35534,0.474895,-0.617965,0.889042,-0.0808826,-0.987467,0.852988,-1.3568,0.66727,0.526081,-1.18894,1.44655,1.05073,1.54394,-0.491536,-0.247406,-0.371322,0.962425,-1.34508,1.36509,-1.35534,0.474895,-0.617965,0.889042,-0.0808826,-0.987467,0.852988,-1.3568,-1.069,-157.251
-163.211,0.824412,0.301268,4,15,0,179.558,0.7834,-1.24719,1.95453,0.952435,1.26997,-1.05603,-0.389009,-0.879267,1.48919,-0.395316,-0.227814,-0.916682,1.09522,-0.932233,1.08483,-0.0494774,-0.856361,-0.548112,-0.839217,0.887391,0.7834,-1.24719,1.95453,0.952435,1.26997,-1.05603,-0.389009,-0.879267,1.48919,-0.395316,-0.227814,-0.916682,1.09522,-0.932233,1.08483,-0.0494774,-0.856361,-0.548112,-0.839217,-0.292869,-153.297
