# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_3_model
# start_datetime = 2025-08-29 03:50:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/gkzrb71o.json
# init = 2 (Default)
# random
#   seed = 84946
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_3wdau3dmk/bradley_terry_3-20250829005056_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.271015
# Diagonal elements of inverse mass matrix:
# 0.138781, 0.139558, 0.129868, 0.110587, 0.126983, 0.109815, 0.118242, 0.112269, 0.108882, 0.126581, 0.168923, 0.149313, 0.123868, 0.14327, 0.1365, 0.104201, 0.116676, 0.125413, 0.118827, 0.0137322
-402.505,0.988805,0.271015,4,15,0,416.496,-0.129732,-1.06218,0.0983635,0.183127,1.17481,-0.122166,0.270517,0.577957,0.690289,-0.637536,0.731291,0.0288527,0.793891,-0.514705,0.0192995,-0.630196,0.204937,-0.266035,-1.29795,0.599874,-0.129732,-1.06218,0.0983635,0.183127,1.17481,-0.122166,0.270517,0.577957,0.690289,-0.637536,0.731291,0.0288527,0.793891,-0.514705,0.0192995,-0.630196,0.204937,-0.266035,-1.29795,-0.112829,-398.065
-403.54,0.60248,0.271015,4,15,0,412.462,1.38266,-1.07968,0.79548,0.142819,0.352395,0.089595,0.00717846,-0.374627,0.637969,-0.303465,0.341166,-0.56962,0.519828,-0.170384,-0.125627,-1.18273,-0.457905,0.441637,-0.838188,0.977441,1.38266,-1.07968,0.79548,0.142819,0.352395,0.089595,0.00717846,-0.374627,0.637969,-0.303465,0.341166,-0.56962,0.519828,-0.170384,-0.125627,-1.18273,-0.457905,0.441637,-0.838188,0.391497,-399.158
-405.674,0.658029,0.271015,4,15,0,419.345,0.0176134,-1.28337,0.379236,0.142977,1.3438,-0.370808,-0.0173679,0.390367,0.00352331,-0.366546,0.915528,-0.0666209,0.709188,-0.568696,0.728489,-0.106436,0.449441,-0.113681,-2.41822,0.657951,0.0176134,-1.28337,0.379236,0.142977,1.3438,-0.370808,-0.0173679,0.390367,0.00352331,-0.366546,0.915528,-0.0666209,0.709188,-0.568696,0.728489,-0.106436,0.449441,-0.113681,-2.41822,0.231575,-398.881
-406.374,0.845612,0.271015,4,15,0,412.865,1.23561,-1.15784,0.591377,0.0359841,0.187412,0.277886,0.162801,-0.641074,0.88881,-0.369978,0.640738,-0.544402,0.463715,-0.0800889,-0.359287,-1.05471,-0.362352,0.247734,-0.224201,0.882883,1.23561,-1.15784,0.591377,0.0359841,0.187412,0.277886,0.162801,-0.641074,0.88881,-0.369978,0.640738,-0.544402,0.463715,-0.0800889,-0.359287,-1.05471,-0.362352,0.247734,-0.224201,0.0618671,-402.306
-403.54,0.991833,0.271015,4,15,0,418.831,0.457011,-0.932502,0.0741321,-0.149072,1.0675,-0.177366,0.0744688,0.33786,0.0190377,-0.150106,1.09563,-0.487055,0.641091,-0.225181,0.621622,0.0157822,0.230222,-0.0465981,-2.5285,0.789177,0.457011,-0.932502,0.0741321,-0.149072,1.0675,-0.177366,0.0744688,0.33786,0.0190377,-0.150106,1.09563,-0.487055,0.641091,-0.225181,0.621622,0.0157822,0.230222,-0.0465981,-2.5285,0.0620283,-397.414
-404.397,0.972518,0.271015,4,15,0,413.823,0.54244,-0.997879,0.0650078,-0.225333,1.61794,0.372951,-0.411286,0.333262,0.306193,-0.119825,0.239944,-0.100297,0.661016,-0.237337,0.40204,0.0125489,-0.059921,-0.673653,-1.6989,0.838175,0.54244,-0.997879,0.0650078,-0.225333,1.61794,0.372951,-0.411286,0.333262,0.306193,-0.119825,0.239944,-0.100297,0.661016,-0.237337,0.40204,0.0125489,-0.059921,-0.673653,-1.6989,-0.028909,-399.591
