# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_3_model
# start_datetime = 2025-08-29 03:50:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/mkr_bsab.json
# init = 2 (Default)
# random
#   seed = 67204
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_303f0oumq/bradley_terry_3-20250829005058_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.317203
# Diagonal elements of inverse mass matrix:
# 0.528793, 0.572555, 0.558848, 0.564725, 0.538987, 0.508903, 0.630915, 0.539599, 0.549681, 0.571124, 0.582677, 0.442325, 0.587407, 0.514616, 0.492429, 0.468579, 0.653322, 0.457637, 0.588109, 0.104105
-55.4922,0.988291,0.317203,4,15,0,68.3056,-0.416632,-0.695642,0.52157,0.284025,0.0757053,-0.45238,0.892595,0.274835,-1.25965,-0.416453,-0.509717,-0.196079,0.894864,-0.236722,-0.299191,-0.638804,1.35061,-0.256108,-1.37087,0.990084,-0.416632,-0.695642,0.52157,0.284025,0.0757053,-0.45238,0.892595,0.274835,-1.25965,-0.416453,-0.509717,-0.196079,0.894864,-0.236722,-0.299191,-0.638804,1.35061,-0.256108,-1.37087,2.45404,-50.3547
-55.4694,1,0.317203,4,15,0,61.3842,-0.852103,-1.04987,1.67232,0.204419,1.98177,-0.901001,-1.67138,0.762229,1.06371,-0.131478,0.481618,0.473128,-0.456154,0.330263,0.19566,-1.69912,-0.200799,-0.245259,-0.644828,0.499047,-0.852103,-1.04987,1.67232,0.204419,1.98177,-0.901001,-1.67138,0.762229,1.06371,-0.131478,0.481618,0.473128,-0.456154,0.330263,0.19566,-1.69912,-0.200799,-0.245259,-0.644828,0.686867,-45.578
-52.6214,0.983715,0.317203,4,15,0,62.6935,0.12378,-0.504038,1.15489,0.64788,0.153066,-0.534485,0.606294,0.263629,-1.24048,-0.967323,-0.167746,-0.359384,-0.0847316,-0.448668,0.337146,0.177493,0.962359,0.219702,-1.60373,0.672092,0.12378,-0.504038,1.15489,0.64788,0.153066,-0.534485,0.606294,0.263629,-1.24048,-0.967323,-0.167746,-0.359384,-0.0847316,-0.448668,0.337146,0.177493,0.962359,0.219702,-1.60373,1.26435,-47.3477
-55.0421,0.887934,0.317203,4,15,0,62.4728,0.244968,-0.439164,1.91584,1.12094,1.63777,-0.824795,-1.06279,0.218166,-0.287948,-0.108952,0.132174,-0.164023,-0.564583,0.257613,-0.946802,-1.94506,0.777458,-0.924122,-0.853818,0.491005,0.244968,-0.439164,1.91584,1.12094,1.63777,-0.824795,-1.06279,0.218166,-0.287948,-0.108952,0.132174,-0.164023,-0.564583,0.257613,-0.946802,-1.94506,0.777458,-0.924122,-0.853818,1.81712,-45.6548
-54.9834,0.910084,0.317203,4,15,0,62.8815,-1.03064,-1.1456,0.589011,-0.857754,-0.00434248,-0.268517,-0.149619,-0.15144,0.0543124,-0.281843,0.0101233,0.156579,0.453187,-0.621998,1.34894,-0.255836,0.147308,0.596201,-1.25838,0.967194,-1.03064,-1.1456,0.589011,-0.857754,-0.00434248,-0.268517,-0.149619,-0.15144,0.0543124,-0.281843,0.0101233,0.156579,0.453187,-0.621998,1.34894,-0.255836,0.147308,0.596201,-1.25838,2.67031,-50.4224
-60.6666,0.958249,0.317203,4,15,0,66.241,-1.1986,-1.04309,-0.270628,-0.147749,0.643462,0.340438,0.648035,-0.116611,0.819841,-2.1991,0.272676,-0.348537,0.759137,0.80771,1.03939,-0.114308,0.116938,0.305625,-1.28929,0.545129,-1.1986,-1.04309,-0.270628,-0.147749,0.643462,0.340438,0.648035,-0.116611,0.819841,-2.1991,0.272676,-0.348537,0.759137,0.80771,1.03939,-0.114308,0.116938,0.305625,-1.28929,0.974656,-53.222
