# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_3_model
# start_datetime = 2025-08-29 03:51:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/q4w_8x_g.json
# init = 2 (Default)
# random
#   seed = 94642
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_355cwlhbl/bradley_terry_3-20250829005108_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.315589
# Diagonal elements of inverse mass matrix:
# 0.387988, 0.413896, 0.299735, 0.401656, 0.418228, 0.412717, 0.3855, 0.415451, 0.467215, 0.38639, 0.333076, 0.360939, 0.348421, 0.414337, 0.34604, 0.405354, 0.369432, 0.348028, 0.319827, 0.0454063
-110.806,0.981154,0.315589,4,15,0,120.753,-0.818421,0.105588,0.837599,1.2749,-0.633951,-0.010841,-1.01304,0.872174,-0.49661,-0.999831,-0.437268,0.46307,-0.529532,0.314338,0.721884,-1.14207,0.673901,1.93461,-0.312786,0.923878,-0.818421,0.105588,0.837599,1.2749,-0.633951,-0.010841,-1.01304,0.872174,-0.49661,-0.999831,-0.437268,0.46307,-0.529532,0.314338,0.721884,-1.14207,0.673901,1.93461,-0.312786,-0.803714,-103.626
-108.311,0.990817,0.315589,4,15,0,120.996,1.9357,1.30639,0.148332,0.555403,-0.321345,1.17485,-0.79983,-0.590425,-1.29852,-1.60989,-1.29626,0.479088,0.716598,-0.157061,0.854816,0.726609,-1.7703,0.408257,0.193987,0.901212,1.9357,1.30639,0.148332,0.555403,-0.321345,1.17485,-0.79983,-0.590425,-1.29852,-1.60989,-1.29626,0.479088,0.716598,-0.157061,0.854816,0.726609,-1.7703,0.408257,0.193987,-0.656393,-98.0111
-108.502,0.913298,0.315589,4,15,0,118.799,0.530698,0.910062,-0.308155,1.24685,0.241348,0.356386,-1.2549,0.24898,-0.603347,-1.1183,0.393268,0.166869,-0.32579,-0.283417,1.20021,-1.30135,-0.203381,1.37393,-0.678832,1.24378,0.530698,0.910062,-0.308155,1.24685,0.241348,0.356386,-1.2549,0.24898,-0.603347,-1.1183,0.393268,0.166869,-0.32579,-0.283417,1.20021,-1.30135,-0.203381,1.37393,-0.678832,-0.591147,-101.902
-112.38,0.826794,0.315589,4,15,0,124.247,0.240857,0.541895,2.05157,0.113133,-1.00898,0.614044,-0.333346,-0.103209,-1.51583,-2.61576,-1.17623,0.781366,0.496772,0.649646,-0.355716,-0.223608,-0.740762,1.8981,0.65386,0.730039,0.240857,0.541895,2.05157,0.113133,-1.00898,0.614044,-0.333346,-0.103209,-1.51583,-2.61576,-1.17623,0.781366,0.496772,0.649646,-0.355716,-0.223608,-0.740762,1.8981,0.65386,0.0321937,-100.474
-107.25,0.995431,0.315589,4,15,0,120.044,1.47512,0.260442,0.249997,0.976895,-0.105519,0.881223,-0.669289,-0.556206,-0.887511,-0.593865,0.196061,0.241336,0.267579,0.324215,-0.349508,-0.254842,-1.29505,-0.227996,0.268026,0.875836,1.47512,0.260442,0.249997,0.976895,-0.105519,0.881223,-0.669289,-0.556206,-0.887511,-0.593865,0.196061,0.241336,0.267579,0.324215,-0.349508,-0.254842,-1.29505,-0.227996,0.268026,-0.201118,-102.631
-108.273,0.893266,0.315589,4,15,0,124.631,-0.104698,0.971526,1.14603,0.244572,-0.74955,0.819201,-1.62307,0.721609,-0.849586,-1.49087,-1.98613,0.553395,0.190843,0.100605,1.58991,-0.449858,-0.337434,2.07676,-0.336749,0.873498,-0.104698,0.971526,1.14603,0.244572,-0.74955,0.819201,-1.62307,0.721609,-0.849586,-1.49087,-1.98613,0.553395,0.190843,0.100605,1.58991,-0.449858,-0.337434,2.07676,-0.336749,-0.48651,-97.1419
