# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_3_model
# start_datetime = 2025-08-29 03:51:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/6z4togkd.json
# init = 2 (Default)
# random
#   seed = 47796
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_3ksro38fm/bradley_terry_3-20250829005110_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.265737
# Diagonal elements of inverse mass matrix:
# 0.270618, 0.249115, 0.327298, 0.255564, 0.281093, 0.312129, 0.346939, 0.287266, 0.291888, 0.30429, 0.325284, 0.298219, 0.249102, 0.293573, 0.246998, 0.273154, 0.290978, 0.326433, 0.27216, 0.0298734
-159.257,1,0.265737,4,15,0,172.909,0.222223,1.38897,0.369503,1.16598,-1.09213,1.62225,-2.44255,0.311878,-0.354159,-1.28434,-0.228965,-0.439217,0.258245,-0.121295,1.15649,-1.40481,-0.544376,1.32682,0.292012,0.871351,0.222223,1.38897,0.369503,1.16598,-1.09213,1.62225,-2.44255,0.311878,-0.354159,-1.28434,-0.228965,-0.439217,0.258245,-0.121295,1.15649,-1.40481,-0.544376,1.32682,0.292012,-0.202535,-148.281
-160.308,0.964817,0.265737,4,15,0,170.709,0.0323098,-0.0399881,0.144312,0.568367,0.0507409,0.0741548,-0.58724,-0.2793,-0.226502,-0.763561,-1.01422,0.988461,1.06882,0.778144,-0.292313,0.376563,-1.48604,1.28432,-0.0437495,0.830318,0.0323098,-0.0399881,0.144312,0.568367,0.0507409,0.0741548,-0.58724,-0.2793,-0.226502,-0.763561,-1.01422,0.988461,1.06882,0.778144,-0.292313,0.376563,-1.48604,1.28432,-0.0437495,-0.63328,-155.152
-160.206,0.924938,0.265737,4,15,0,170.342,0.130407,0.525665,1.10431,1.06898,-0.475035,1.00583,-1.77026,-0.016157,0.104566,-1.69456,-0.206626,0.0969518,0.0725708,-0.0517031,0.537346,-1.9324,-0.40695,1.04975,0.369902,0.627114,0.130407,0.525665,1.10431,1.06898,-0.475035,1.00583,-1.77026,-0.016157,0.104566,-1.69456,-0.206626,0.0969518,0.0725708,-0.0517031,0.537346,-1.9324,-0.40695,1.04975,0.369902,0.487413,-151.844
-158.78,0.910387,0.265737,4,15,0,170.956,-0.0261552,0.680566,1.201,0.694894,-0.962252,0.838723,-1.59831,0.617074,-0.239686,-1.16901,-2.01878,0.0701171,0.0586687,1.09411,0.626277,-1.09877,-0.787411,1.64261,0.0833876,0.76515,-0.0261552,0.680566,1.201,0.694894,-0.962252,0.838723,-1.59831,0.617074,-0.239686,-1.16901,-2.01878,0.0701171,0.0586687,1.09411,0.626277,-1.09877,-0.787411,1.64261,0.0833876,0.292952,-148.927
-161.814,0.941888,0.265737,4,15,0,170.575,0.71133,0.21815,-0.502754,0.775552,-0.249777,1.19683,-1.68237,-0.437617,-0.387182,-1.23679,0.753279,0.051679,1.25581,-0.181928,0.478181,0.146583,-1.42347,0.324043,-0.142422,1.03269,0.71133,0.21815,-0.502754,0.775552,-0.249777,1.19683,-1.68237,-0.437617,-0.387182,-1.23679,0.753279,0.051679,1.25581,-0.181928,0.478181,0.146583,-1.42347,0.324043,-0.142422,0.332867,-155.22
-159.087,0.989421,0.265737,4,15,0,171.526,1.1589,0.366564,0.13678,0.713287,-0.664603,1.26005,-1.52797,-0.451427,-0.183321,-1.4481,0.643681,-0.00235959,1.32281,-0.0782131,0.902695,-0.401931,-1.15907,0.541229,-0.280453,0.861908,1.1589,0.366564,0.13678,0.713287,-0.664603,1.26005,-1.52797,-0.451427,-0.183321,-1.4481,0.643681,-0.00235959,1.32281,-0.0782131,0.902695,-0.401931,-1.15907,0.541229,-0.280453,-0.848549,-151.784
