# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_3_model
# start_datetime = 2025-08-29 03:51:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/2i4xa_u7.json
# init = 2 (Default)
# random
#   seed = 58052
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_3qbw1fz_x/bradley_terry_3-20250829005111_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.24667
# Diagonal elements of inverse mass matrix:
# 0.189717, 0.204975, 0.215768, 0.231498, 0.244446, 0.237964, 0.1855, 0.205775, 0.210008, 0.272137, 0.208602, 0.215556, 0.230586, 0.203323, 0.296044, 0.207245, 0.228623, 0.262429, 0.189978, 0.0301875
-212.557,0.88436,0.24667,4,15,0,220.187,0.108313,0.571415,0.0368745,1.04489,-0.931325,-0.139646,-0.634185,-0.40723,-0.428991,-0.690558,-1.00041,0.878135,0.829771,0.337243,-0.243766,0.339481,-0.483819,0.529318,0.175168,0.675298,0.108313,0.571415,0.0368745,1.04489,-0.931325,-0.139646,-0.634185,-0.40723,-0.428991,-0.690558,-1.00041,0.878135,0.829771,0.337243,-0.243766,0.339481,-0.483819,0.529318,0.175168,0.109331,-208.516
-214.007,0.966388,0.24667,4,15,0,224.629,0.569562,0.292894,0.905093,0.512059,-0.939768,1.60656,-0.943243,0.0672306,-0.180056,-0.9371,0.0151092,0.0861574,-0.111593,0.520068,0.602595,-1.69026,-1.61203,1.69258,-0.482285,0.909592,0.569562,0.292894,0.905093,0.512059,-0.939768,1.60656,-0.943243,0.0672306,-0.180056,-0.9371,0.0151092,0.0861574,-0.111593,0.520068,0.602595,-1.69026,-1.61203,1.69258,-0.482285,0.02643,-205.515
-212.427,0.997506,0.24667,4,15,0,221.286,0.528864,0.429208,-0.00638672,0.842258,-0.546647,1.01364,-1.11417,0.561544,-0.508851,-1.12957,-0.189371,-0.0710271,0.255156,0.662065,0.206125,-1.52787,-1.07506,1.87069,0.291432,0.626835,0.528864,0.429208,-0.00638672,0.842258,-0.546647,1.01364,-1.11417,0.561544,-0.508851,-1.12957,-0.189371,-0.0710271,0.255156,0.662065,0.206125,-1.52787,-1.07506,1.87069,0.291432,-0.492022,-205.137
-214.469,0.983853,0.24667,4,15,0,223.258,-0.185665,0.274082,1.276,1.15567,-0.930819,0.0276104,0.11935,-1.00316,0.129064,-0.402156,-0.738925,0.641038,0.519597,0.945042,0.0789518,0.187566,-1.37289,0.118236,-0.253887,0.977457,-0.185665,0.274082,1.276,1.15567,-0.930819,0.0276104,0.11935,-1.00316,0.129064,-0.402156,-0.738925,0.641038,0.519597,0.945042,0.0789518,0.187566,-1.37289,0.118236,-0.253887,-0.584699,-209.337
-215.033,0.979966,0.24667,4,15,0,223.813,0.481334,0.242058,-0.0621473,0.677752,-0.281322,1.17967,-1.35822,1.12397,-0.69757,-0.936117,-0.709627,0.101321,0.384784,0.480446,-0.203982,-1.4608,-0.635293,1.55977,0.277955,0.767345,0.481334,0.242058,-0.0621473,0.677752,-0.281322,1.17967,-1.35822,1.12397,-0.69757,-0.936117,-0.709627,0.101321,0.384784,0.480446,-0.203982,-1.4608,-0.635293,1.55977,0.277955,-0.163973,-208.136
-212.473,0.991105,0.24667,4,15,0,224.782,0.637566,0.0154432,-0.0766613,0.340881,-1.22018,0.796521,0.311181,-0.347516,-0.740643,-0.424306,-0.722584,1.18139,0.40631,0.268824,0.537648,-0.229125,-1.379,1.14148,-0.286241,0.776045,0.637566,0.0154432,-0.0766613,0.340881,-1.22018,0.796521,0.311181,-0.347516,-0.740643,-0.424306,-0.722584,1.18139,0.40631,0.268824,0.537648,-0.229125,-1.379,1.14148,-0.286241,-0.21099,-207.228
