# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_3_model
# start_datetime = 2025-08-29 03:51:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/4sypf3lq.json
# init = 2 (Default)
# random
#   seed = 63122
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_3g18001ma/bradley_terry_3-20250829005107_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_3.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.375084
# Diagonal elements of inverse mass matrix:
# 0.571313, 0.509778, 0.530124, 0.54348, 0.608332, 0.628323, 0.618264, 0.523367, 0.538721, 0.593759, 0.586369, 0.565549, 0.565371, 0.530359, 0.694017, 0.602971, 0.609838, 0.660435, 0.62881, 0.0799926
-64.5085,0.764184,0.375084,4,15,0,73.9942,1.1625,-1.76416,1.66843,-0.538241,-1.70247,0.759722,-0.518103,0.584952,-0.730697,0.266721,0.604018,0.322311,-0.944074,-0.448143,2.18257,-0.561332,-1.28369,0.578334,0.629255,1.56158,1.1625,-1.76416,1.66843,-0.538241,-1.70247,0.759722,-0.518103,0.584952,-0.730697,0.266721,0.604018,0.322311,-0.944074,-0.448143,2.18257,-0.561332,-1.28369,0.578334,0.629255,-0.267902,-53.1118
-61.3643,0.993864,0.375084,3,7,0,70.8046,0.337539,-1.86964,0.816729,-0.596714,-1.67671,0.812311,-0.061127,0.922064,-0.372916,0.357502,-0.15921,1.16817,-0.601308,0.698429,0.935351,-0.934504,-1.13508,0.877734,-0.392828,0.937657,0.337539,-1.86964,0.816729,-0.596714,-1.67671,0.812311,-0.061127,0.922064,-0.372916,0.357502,-0.15921,1.16817,-0.601308,0.698429,0.935351,-0.934504,-1.13508,0.877734,-0.392828,0.874203,-53.1477
-59.3002,0.99436,0.375084,3,15,0,68.1204,0.0449437,0.0733427,-0.17444,-0.57131,-1.31157,-0.377853,-0.820571,0.0594324,0.205379,-0.482559,0.215359,0.22324,-0.27631,0.633408,-0.0315252,0.129213,0.364408,0.563664,0.338025,1.20584,0.0449437,0.0733427,-0.17444,-0.57131,-1.31157,-0.377853,-0.820571,0.0594324,0.205379,-0.482559,0.215359,0.22324,-0.27631,0.633408,-0.0315252,0.129213,0.364408,0.563664,0.338025,1.19572,-56.5927
-66.28,0.878473,0.375084,3,7,0,75.5217,1.36736,-0.123753,1.71029,1.06067,-2.22546,0.566073,-0.589981,0.576025,-2.88372,0.313302,-0.878742,1.20928,0.419584,0.150047,1.62713,-2.25737,-1.11246,-0.865724,2.00891,1.3593,1.36736,-0.123753,1.71029,1.06067,-2.22546,0.566073,-0.589981,0.576025,-2.88372,0.313302,-0.878742,1.20928,0.419584,0.150047,1.62713,-2.25737,-1.11246,-0.865724,2.00891,-0.071463,-47.4125
-60.6377,1,0.375084,3,7,0,74.2848,0.129348,-0.0730068,1.8065,0.431832,-2.49893,0.515755,-0.454103,0.655599,-2.40869,-0.492786,-0.51224,0.513056,0.505581,0.266967,1.34153,-1.51791,-0.695161,0.315475,1.14863,0.963431,0.129348,-0.0730068,1.8065,0.431832,-2.49893,0.515755,-0.454103,0.655599,-2.40869,-0.492786,-0.51224,0.513056,0.505581,0.266967,1.34153,-1.51791,-0.695161,0.315475,1.14863,1.02255,-48.3755
-60.6391,0.975889,0.375084,4,15,0,70.6663,-0.47018,1.99176,-0.706811,-0.800874,-1.76138,0.589101,-0.703181,1.38431,-1.33393,0.525797,-0.91841,0.496558,0.623507,0.861817,0.459762,-1.04578,-0.452646,0.420913,0.463702,1.29025,-0.47018,1.99176,-0.706811,-0.800874,-1.76138,0.589101,-0.703181,1.38431,-1.33393,0.525797,-0.91841,0.496558,0.623507,0.861817,0.459762,-1.04578,-0.452646,0.420913,0.463702,0.375963,-51.3771
-63.9494,0.940138,0.375084,4,15,0,74.1377,0.702769,-0.400933,-0.61092,0.67845,0.00542991,-0.530185,-0.241924,0.0832335,-0.117932,0.164571,1.15819,0.328449,0.219646,0.513051,1.0306,-0.387413,-3.68466,-0.788943,1.10935,1.23201,0.702769,-0.400933,-0.61092,0.67845,0.00542991,-0.530185,-0.241924,0.0832335,-0.117932,0.164571,1.15819,0.328449,0.219646,0.513051,1.0306,-0.387413,-3.68466,-0.788943,1.10935,0.769171,-53.2599
-65.3994,0.945636,0.375084,4,15,0,75.6573,0.249709,1.86703,1.65196,-1.16437,-2.30093,0.455237,0.431243,1.13174,-1.71453,0.00695455,-1.40333,1.45429,-0.688493,0.498914,0.121188,-1.54641,0.424642,0.710545,0.367512,1.16128,0.249709,1.86703,1.65196,-1.16437,-2.30093,0.455237,0.431243,1.13174,-1.71453,0.00695455,-1.40333,1.45429,-0.688493,0.498914,0.121188,-1.54641,0.424642,0.710545,0.367512,-0.552911,-52.0874
-64.0352,0.931379,0.375084,4,15,0,75.0243,-0.361579,1.41784,0.691674,-1.1502,-2.78712,-0.184666,-0.175918,0.083315,-0.594929,0.862126,-1.10124,1.51424,-0.553305,0.714695,0.474143,-1.55496,0.278675,0.252841,1.25518,1.09518,-0.361579,1.41784,0.691674,-1.1502,-2.78712,-0.184666,-0.175918,0.083315,-0.594929,0.862126,-1.10124,1.51424,-0.553305,0.714695,0.474143,-1.55496,0.278675,0.252841,1.25518,0.91918,-52.7454
-61.0033,1,0.375084,4,15,0,73.4337,0.956932,0.477579,0.76176,1.29007,-1.89626,-0.324367,0.0288386,1.80867,0.392934,-1.0509,0.27021,-0.36165,-1.41918,0.490999,1.43047,-1.92595,-1.41144,-0.201819,-0.570219,1.13539,0.956932,0.477579,0.76176,1.29007,-1.89626,-0.324367,0.0288386,1.80867,0.392934,-1.0509,0.27021,-0.36165,-1.41918,0.490999,1.43047,-1.92595,-1.41144,-0.201819,-0.570219,1.25332,-49.3893
-68.7554,0.508812,0.375084,4,15,0,78.8009,0.728266,1.5549,-0.926258,0.727062,-1.57983,0.904867,0.0625931,1.50324,0.495538,-1.51881,-0.169131,0.112614,-0.671411,0.617355,-1.12258,-1.79443,0.22741,1.72589,-0.205269,0.479112,0.728266,1.5549,-0.926258,0.727062,-1.57983,0.904867,0.0625931,1.50324,0.495538,-1.51881,-0.169131,0.112614,-0.671411,0.617355,-1.12258,-1.79443,0.22741,1.72589,-0.205269,-0.672014,-57.4592
-66.2207,0.990318,0.375084,4,15,0,83.3872,-0.234224,0.455279,1.13622,-0.66814,0.376602,-0.773507,0.0467206,-0.614448,-2.57356,0.474488,0.508411,0.621299,0.384962,1.21878,1.20423,-0.124275,-2.45259,-0.935208,1.27659,0.71907,-0.234224,0.455279,1.13622,-0.66814,0.376602,-0.773507,0.0467206,-0.614448,-2.57356,0.474488,0.508411,0.621299,0.384962,1.21878,1.20423,-0.124275,-2.45259,-0.935208,1.27659,0.672371,-54.5168
-66.3867,0.907277,0.375084,3,15,0,72.2584,-0.197815,0.808646,1.03858,-0.83501,0.631441,-0.551268,0.024442,-0.430582,-2.50222,0.39608,0.771571,0.670767,0.419058,1.29138,1.21203,0.240921,-1.81987,-0.765657,0.949838,0.697713,-0.197815,0.808646,1.03858,-0.83501,0.631441,-0.551268,0.024442,-0.430582,-2.50222,0.39608,0.771571,0.670767,0.419058,1.29138,1.21203,0.240921,-1.81987,-0.765657,0.949838,-1.35233,-56.2877
-65.3118,0.998863,0.375084,4,15,0,78.1568,1.65927,0.922711,0.196251,1.30584,-2.01248,0.36258,-0.0251077,1.27317,1.09946,-1.14386,-0.510441,0.72562,0.219975,-0.717017,-0.431667,-3.02267,-0.394396,1.26429,0.533624,1.63659,1.65927,0.922711,0.196251,1.30584,-2.01248,0.36258,-0.0251077,1.27317,1.09946,-1.14386,-0.510441,0.72562,0.219975,-0.717017,-0.431667,-3.02267,-0.394396,1.26429,0.533624,-1.30515,-51.2753
-62.5382,0.965884,0.375084,4,15,0,73.7301,-0.448484,0.201868,0.22566,-0.629761,-0.308713,-0.235617,0.0765661,0.197645,-2.29184,0.523145,0.602251,0.826439,-0.83306,1.08174,1.67401,0.540899,-1.72176,-0.546666,0.904422,0.754262,-0.448484,0.201868,0.22566,-0.629761,-0.308713,-0.235617,0.0765661,0.197645,-2.29184,0.523145,0.602251,0.826439,-0.83306,1.08174,1.67401,0.540899,-1.72176,-0.546666,0.904422,0.161242,-53.7231
-59.2939,0.49155,0.375084,3,7,0,70.7725,0.859069,1.99397,-0.422993,-0.060373,-0.400565,0.221647,0.170174,1.1123,0.435411,-0.912604,-0.455842,-0.0730142,0.68484,0.794886,-0.341316,-2.16396,-1.10429,0.872519,-0.177054,1.34567,0.859069,1.99397,-0.422993,-0.060373,-0.400565,0.221647,0.170174,1.1123,0.435411,-0.912604,-0.455842,-0.0730142,0.68484,0.794886,-0.341316,-2.16396,-1.10429,0.872519,-0.177054,-1.0328,-50.9254
-59.1219,0.616829,0.375084,4,15,0,66.3804,1.28534,1.48182,-0.0866928,0.203031,-1.0142,0.379595,0.752604,0.328691,-0.818119,-0.753828,0.592365,0.475198,-0.0209527,-0.228306,0.9966,-0.96143,-0.82864,-0.0767321,0.313673,1.8839,1.28534,1.48182,-0.0866928,0.203031,-1.0142,0.379595,0.752604,0.328691,-0.818119,-0.753828,0.592365,0.475198,-0.0209527,-0.228306,0.9966,-0.96143,-0.82864,-0.0767321,0.313673,-2.02002,-52.8212
-65.6877,0.95591,0.375084,3,7,0,70.7317,0.138206,2.53777,0.585105,1.48337,-1.08423,0.39218,0.616844,0.607614,0.65612,0.152185,-1.15924,0.659839,-1.61488,0.1468,0.443744,-1.72454,-2.09543,1.54252,0.22929,1.08054,0.138206,2.53777,0.585105,1.48337,-1.08423,0.39218,0.616844,0.607614,0.65612,0.152185,-1.15924,0.659839,-1.61488,0.1468,0.443744,-1.72454,-2.09543,1.54252,0.22929,-2.51327,-52.2128
-67.5783,0.928837,0.375084,4,15,0,81.8732,0.137186,2.13324,0.284926,1.95137,-1.35718,0.470073,-0.116291,0.324288,0.739874,0.798039,-1.23592,1.32009,-1.69213,0.575708,0.0886959,-1.61878,-1.95312,1.61503,0.00319924,1.1594,0.137186,2.13324,0.284926,1.95137,-1.35718,0.470073,-0.116291,0.324288,0.739874,0.798039,-1.23592,1.32009,-1.69213,0.575708,0.0886959,-1.61878,-1.95312,1.61503,0.00319924,-2.46832,-53.3838
-79.9827,0.722623,0.375084,3,7,0,93.4805,-1.12147,3.1625,0.907037,-0.0548469,-1.2774,-2.61384,0.551047,0.978371,-0.327624,0.673823,0.319284,-0.836909,-1.90134,1.0788,0.238351,-0.725137,-0.431318,1.56014,-1.42248,1.15478,-1.12147,3.1625,0.907037,-0.0548469,-1.2774,-2.61384,0.551047,0.978371,-0.327624,0.673823,0.319284,-0.836909,-1.90134,1.0788,0.238351,-0.725137,-0.431318,1.56014,-1.42248,1.24301,-62.8707
-57.8201,1,0.375084,3,7,0,84.452,0.93742,-0.24813,0.530762,0.858326,-0.664383,0.508518,-0.228186,0.0977114,-2.08053,-1.27158,0.46508,1.43796,0.00353168,0.141626,0.0489832,-1.10909,-1.78695,-0.100419,0.608982,0.858363,0.93742,-0.24813,0.530762,0.858326,-0.664383,0.508518,-0.228186,0.0977114,-2.08053,-1.27158,0.46508,1.43796,0.00353168,0.141626,0.0489832,-1.10909,-1.78695,-0.100419,0.608982,1.85037,-49.4107
-59.3236,0.932875,0.375084,4,15,0,67.8597,0.546989,-0.0876455,0.289121,0.529113,-0.79277,0.653562,-1.07888,0.169131,0.111751,0.356695,-0.378349,-0.00508913,-0.169234,0.155775,-0.185665,-1.38294,0.906238,0.907783,0.692918,1.40981,0.546989,-0.0876455,0.289121,0.529113,-0.79277,0.653562,-1.07888,0.169131,0.111751,0.356695,-0.378349,-0.00508913,-0.169234,0.155775,-0.185665,-1.38294,0.906238,0.907783,0.692918,-1.2385,-55.0098
-57.569,0.992502,0.375084,4,15,0,66.938,0.305331,0.750873,0.955203,-0.151804,-0.729032,-0.658489,0.30152,0.793984,-1.11736,-0.807063,-0.522236,1.6551,0.73989,0.182211,0.806615,-1.75578,-1.26242,-1.15005,0.694193,1.16989,0.305331,0.750873,0.955203,-0.151804,-0.729032,-0.658489,0.30152,0.793984,-1.11736,-0.807063,-0.522236,1.6551,0.73989,0.182211,0.806615,-1.75578,-1.26242,-1.15005,0.694193,0.969312,-49.0901
-57.8679,0.915986,0.375084,4,15,0,70.0802,1.03554,-0.457713,-0.298421,0.620062,-1.42125,0.771372,-0.750199,0.41513,-0.528448,-0.193555,0.455384,-0.480542,-0.850388,0.817876,-0.0233569,-0.864959,-1.03499,1.80813,0.546463,1.06536,1.03554,-0.457713,-0.298421,0.620062,-1.42125,0.771372,-0.750199,0.41513,-0.528448,-0.193555,0.455384,-0.480542,-0.850388,0.817876,-0.0233569,-0.864959,-1.03499,1.80813,0.546463,0.433856,-51.0435
-65.4812,0.787708,0.375084,3,7,0,71.7065,-0.635594,-0.0755045,-1.42627,-0.0887622,-0.420285,0.248129,-1.24782,0.731608,-2.1219,0.033468,0.656009,0.199739,1.92586,0.318947,1.66922,-0.194436,-0.297658,-0.123353,-0.0169239,1.34748,-0.635594,-0.0755045,-1.42627,-0.0887622,-0.420285,0.248129,-1.24782,0.731608,-2.1219,0.033468,0.656009,0.199739,1.92586,0.318947,1.66922,-0.194436,-0.297658,-0.123353,-0.0169239,0.865529,-56.6241
-66.2737,0.930406,0.375084,4,15,0,79.5379,1.09444,0.36289,0.681994,1.78867,-0.609999,0.164043,0.550794,1.4233,1.18603,-1.58044,-1.12999,0.447337,-1.88087,-0.663311,0.215988,-1.58588,-1.92673,1.69184,0.288109,1.10607,1.09444,0.36289,0.681994,1.78867,-0.609999,0.164043,0.550794,1.4233,1.18603,-1.58044,-1.12999,0.447337,-1.88087,-0.663311,0.215988,-1.58588,-1.92673,1.69184,0.288109,-0.518227,-52.6126
-61.8116,0.962119,0.375084,4,15,0,82.7649,0.271005,-0.0253859,-0.0326067,-0.691597,-0.705221,0.635283,-0.178344,-0.0231517,-2.56967,0.700375,-0.453409,0.568181,1.47754,1.49181,0.763254,-0.9039,-0.415775,-0.113312,0.0812287,1.73325,0.271005,-0.0253859,-0.0326067,-0.691597,-0.705221,0.635283,-0.178344,-0.0231517,-2.56967,0.700375,-0.453409,0.568181,1.47754,1.49181,0.763254,-0.9039,-0.415775,-0.113312,0.0812287,0.123703,-53.3049
-57.271,0.748567,0.375084,3,7,0,69.872,0.908749,0.243188,0.408263,0.71888,-2.30277,-0.939514,-0.171159,0.209102,-0.831838,-0.290429,0.365924,1.69466,-0.320377,0.9066,-0.211732,-0.533751,-1.63921,0.174592,0.980644,1.33518,0.908749,0.243188,0.408263,0.71888,-2.30277,-0.939514,-0.171159,0.209102,-0.831838,-0.290429,0.365924,1.69466,-0.320377,0.9066,-0.211732,-0.533751,-1.63921,0.174592,0.980644,0.630173,-48.3976
