# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_4_model
# start_datetime = 2025-08-29 03:51:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/mzo46hug.json
# init = 2 (Default)
# random
#   seed = 77000
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_4im3xcrco/bradley_terry_4-20250829005117_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,log_home_advantage,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.321063
# Diagonal elements of inverse mass matrix:
# 0.351847, 0.480724, 0.488684, 0.438611, 0.328149, 0.446365, 0.424992, 0.413416, 0.426867, 0.416649, 0.570735, 0.353063, 0.418699, 0.37418, 0.387251, 0.371105, 0.382605, 0.349198, 0.381452, 0.0810044, 0.0541051
-99.8167,0.995944,0.321063,4,15,0,107.342,-0.938911,1.89962,1.59617,-0.0784165,-0.163073,-1.2572,0.958436,0.823071,-0.743028,0.318251,1.14976,-0.654967,-0.800597,-0.936945,-0.813508,-0.0167949,0.176355,0.241921,-0.267367,1.4343,0.76439,-0.938911,1.89962,1.59617,-0.0784165,-0.163073,-1.2572,0.958436,0.823071,-0.743028,0.318251,1.14976,-0.654967,-0.800597,-0.936945,-0.813508,-0.0167949,0.176355,0.241921,-0.267367,-0.492778,-90.7304
-101.016,0.989068,0.321063,4,15,0,109.726,-0.763662,1.82757,2.43264,0.0962172,-1.04403,-1.2435,1.39814,-0.148531,0.413168,-0.689048,0.246354,-0.430875,-0.692574,-0.157438,-0.423614,-0.321629,0.403492,0.861493,-0.663899,1.60733,1.19824,-0.763662,1.82757,2.43264,0.0962172,-1.04403,-1.2435,1.39814,-0.148531,0.413168,-0.689048,0.246354,-0.430875,-0.692574,-0.157438,-0.423614,-0.321629,0.403492,0.861493,-0.663899,-1.10027,-90.4434
-100.822,0.995569,0.321063,4,15,0,112.665,0.725276,2.33448,0.587811,-0.541477,0.325246,0.58805,0.968147,-1.47661,-0.499434,0.0786073,1.07178,-1.72022,-0.259213,0.0704895,-1.25572,-1.01188,0.708546,0.431553,-0.123224,1.32691,0.879277,0.725276,2.33448,0.587811,-0.541477,0.325246,0.58805,0.968147,-1.47661,-0.499434,0.0786073,1.07178,-1.72022,-0.259213,0.0704895,-1.25572,-1.01188,0.708546,0.431553,-0.123224,-1.0022,-90.465
-99.8985,0.940253,0.321063,4,15,0,116.458,-0.932691,1.36851,0.574028,-1.69106,-1.59588,-1.90718,1.89956,0.905531,1.95209,0.232233,0.446034,0.248925,-0.282977,-0.565178,-0.191704,0.745945,-0.600397,0.290914,-0.15341,1.05449,0.824205,-0.932691,1.36851,0.574028,-1.69106,-1.59588,-1.90718,1.89956,0.905531,1.95209,0.232233,0.446034,0.248925,-0.282977,-0.565178,-0.191704,0.745945,-0.600397,0.290914,-0.15341,-0.743304,-87.7439
-100.923,0.885377,0.321063,4,15,0,114.623,0.531545,1.3108,1.14365,-0.62158,0.708395,0.0644814,1.65025,-1.04985,-1.11021,0.392137,-0.00556801,-1.52855,-0.612046,0.213737,-1.85098,-0.102229,0.870138,1.02018,-0.452958,1.63068,0.80379,0.531545,1.3108,1.14365,-0.62158,0.708395,0.0644814,1.65025,-1.04985,-1.11021,0.392137,-0.00556801,-1.52855,-0.612046,0.213737,-1.85098,-0.102229,0.870138,1.02018,-0.452958,-0.571346,-90.2469
-101.644,0.926572,0.321063,4,15,0,118.042,-0.345888,0.995184,0.0398782,-2.03828,-1.58276,-1.42027,1.71765,0.62235,1.9993,0.780046,1.29016,-0.0118188,-0.367227,-0.437726,0.0358019,0.500365,-1.09614,0.343403,-0.112908,0.579944,0.907064,-0.345888,0.995184,0.0398782,-2.03828,-1.58276,-1.42027,1.71765,0.62235,1.9993,0.780046,1.29016,-0.0118188,-0.367227,-0.437726,0.0358019,0.500365,-1.09614,0.343403,-0.112908,-0.91112,-90.313
-104.748,0.883415,0.321063,4,15,0,117.089,0.392191,1.50862,1.39682,-0.169028,0.549243,-0.315082,1.96536,-1.09474,-1.17435,-0.245614,0.55723,-1.40941,-1.05674,0.256326,-1.83432,-0.315409,1.37788,0.321677,-0.418811,1.93973,0.754121,0.392191,1.50862,1.39682,-0.169028,0.549243,-0.315082,1.96536,-1.09474,-1.17435,-0.245614,0.55723,-1.40941,-1.05674,0.256326,-1.83432,-0.315409,1.37788,0.321677,-0.418811,-0.291839,-92.0847
-97.5225,0.992686,0.321063,4,15,0,114.493,0.590529,1.52685,-0.270745,-1.82752,-0.828815,-0.339338,1.19274,0.0916045,1.30433,0.325036,0.342412,-1.54954,-1.0769,0.434761,-1.1348,0.0689007,0.289306,1.21007,0.0995479,0.608411,0.791622,0.590529,1.52685,-0.270745,-1.82752,-0.828815,-0.339338,1.19274,0.0916045,1.30433,0.325036,0.342412,-1.54954,-1.0769,0.434761,-1.1348,0.0689007,0.289306,1.21007,0.0995479,-0.448428,-88.3651
