# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_4_model
# start_datetime = 2025-08-29 03:51:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/92gpb925.json
# init = 2 (Default)
# random
#   seed = 14319
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_4j6eo7qhi/bradley_terry_4-20250829005119_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,log_home_advantage,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.263599
# Diagonal elements of inverse mass matrix:
# 0.321075, 0.296704, 0.29028, 0.405272, 0.274849, 0.338735, 0.336004, 0.271187, 0.354775, 0.260375, 0.291653, 0.323735, 0.303058, 0.370564, 0.273821, 0.290219, 0.326331, 0.305716, 0.281709, 0.0505403, 0.0355013
-154.115,0.942257,0.263599,4,15,0,160.897,0.169537,0.548845,0.0470427,-2.74155,-0.621071,-1.87263,0.650056,0.295819,1.50906,0.804531,1.57969,-0.046106,-0.73165,-1.99758,-0.737981,0.836153,0.677571,0.893945,0.300883,0.773763,1.04562,0.169537,0.548845,0.0470427,-2.74155,-0.621071,-1.87263,0.650056,0.295819,1.50906,0.804531,1.57969,-0.046106,-0.73165,-1.99758,-0.737981,0.836153,0.677571,0.893945,0.300883,0.435443,-140.918
-152.492,1,0.263599,4,15,0,166.716,-0.730646,0.468287,-0.0406349,-2.47805,-0.597695,-0.256534,1.10247,-0.0249395,1.93576,-0.330571,0.405554,-0.372778,-0.459136,-0.925147,0.436128,-0.174763,0.837257,1.68456,0.0745321,0.707475,1.04691,-0.730646,0.468287,-0.0406349,-2.47805,-0.597695,-0.256534,1.10247,-0.0249395,1.93576,-0.330571,0.405554,-0.372778,-0.459136,-0.925147,0.436128,-0.174763,0.837257,1.68456,0.0745321,-0.553667,-142.976
-151.681,1,0.263599,4,15,0,162.718,-1.03402,0.418067,0.14858,-2.27693,-0.827692,-0.582039,1.31033,0.347192,1.50618,0.170026,0.50712,-0.910622,-0.40576,-0.568793,0.421767,-0.267886,0.388216,1.86075,0.342122,0.808573,1.13056,-1.03402,0.418067,0.14858,-2.27693,-0.827692,-0.582039,1.31033,0.347192,1.50618,0.170026,0.50712,-0.910622,-0.40576,-0.568793,0.421767,-0.267886,0.388216,1.86075,0.342122,-0.546618,-142.256
-149.019,0.999591,0.263599,4,15,0,160.06,0.826873,1.97876,0.574862,-0.733204,0.448997,-1.36476,0.849952,-0.639999,0.34703,0.00409283,1.4795,-0.734104,-1.44559,-0.400204,-1.48107,0.61771,-0.0452166,0.434722,-0.348822,0.994533,0.556427,0.826873,1.97876,0.574862,-0.733204,0.448997,-1.36476,0.849952,-0.639999,0.34703,0.00409283,1.4795,-0.734104,-1.44559,-0.400204,-1.48107,0.61771,-0.0452166,0.434722,-0.348822,-0.369518,-139.459
-151.006,0.937621,0.263599,4,15,0,166.717,-1.27514,0.481182,0.494603,-2.47289,-1.04751,-1.22892,2.66592,-0.0435699,2.04029,-0.0913679,0.863023,-0.583069,-0.324948,0.00372325,-0.587691,-0.340926,0.71691,1.29236,0.0784499,1.18856,1.01988,-1.27514,0.481182,0.494603,-2.47289,-1.04751,-1.22892,2.66592,-0.0435699,2.04029,-0.0913679,0.863023,-0.583069,-0.324948,0.00372325,-0.587691,-0.340926,0.71691,1.29236,0.0784499,-0.640428,-136.826
-149.632,0.759502,0.263599,4,15,0,161.662,0.81572,1.88107,0.877821,-0.436862,0.565176,-0.507288,0.176861,-0.96455,0.561064,0.0627387,1.07934,-0.435095,-1.27698,-0.287345,-1.76865,0.567005,-0.785036,0.488506,-0.515594,1.14524,0.949844,0.81572,1.88107,0.877821,-0.436862,0.565176,-0.507288,0.176861,-0.96455,0.561064,0.0627387,1.07934,-0.435095,-1.27698,-0.287345,-1.76865,0.567005,-0.785036,0.488506,-0.515594,-0.0978979,-141.143
