# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_4_model
# start_datetime = 2025-08-29 03:51:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/k7f7kbm4.json
# init = 2 (Default)
# random
#   seed = 89038
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_4n9mkl6me/bradley_terry_4-20250829005126_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,log_home_advantage,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.315309
# Diagonal elements of inverse mass matrix:
# 0.363687, 0.374431, 0.369997, 0.383554, 0.374394, 0.313561, 0.397479, 0.438966, 0.457045, 0.337337, 0.381755, 0.423266, 0.379996, 0.336941, 0.386068, 0.394823, 0.363653, 0.4098, 0.39341, 0.0579175, 0.0451359
-119.601,0.97611,0.315309,4,15,0,130.657,0.586769,0.547671,-0.641861,-0.163364,1.68242,-0.0210629,0.77118,-1.10087,-1.9575,-0.50246,0.396267,0.161535,-0.10912,1.75799,-0.991081,1.41791,-0.675944,-2.02461,-0.775947,0.33418,1.05828,0.586769,0.547671,-0.641861,-0.163364,1.68242,-0.0210629,0.77118,-1.10087,-1.9575,-0.50246,0.396267,0.161535,-0.10912,1.75799,-0.991081,1.41791,-0.675944,-2.02461,-0.775947,1.64208,-108.421
-117.063,0.920704,0.315309,4,15,0,127.791,-0.533238,0.213101,0.162181,-0.26257,0.119911,1.24527,-0.522086,-0.655845,0.10275,0.759197,-0.16592,0.0423013,-0.188787,-1.65846,-1.28149,0.0410537,-0.063264,1.13713,-0.9251,0.469297,0.705127,-0.533238,0.213101,0.162181,-0.26257,0.119911,1.24527,-0.522086,-0.655845,0.10275,0.759197,-0.16592,0.0423013,-0.188787,-1.65846,-1.28149,0.0410537,-0.063264,1.13713,-0.9251,2.43386,-111.409
-110.279,1,0.315309,4,15,0,123.891,1.58166,0.280357,-0.991728,-0.197124,0.110891,0.632347,0.675932,-0.876923,-1.03039,0.053368,1.06827,-0.23354,-0.0515464,0.87558,-0.789988,0.413814,0.120415,-1.06154,-1.04921,0.492313,0.817954,1.58166,0.280357,-0.991728,-0.197124,0.110891,0.632347,0.675932,-0.876923,-1.03039,0.053368,1.06827,-0.23354,-0.0515464,0.87558,-0.789988,0.413814,0.120415,-1.06154,-1.04921,0.469351,-103.968
-109.296,0.978068,0.315309,4,15,0,117.833,0.307632,0.583479,0.180148,0.0449607,0.9586,0.127672,0.304981,-0.366972,-0.0174164,-0.00339651,-0.716334,0.654722,-1.08748,-0.580659,-0.742956,1.00536,-0.910531,0.476799,-1.27917,0.0813865,1.03822,0.307632,0.583479,0.180148,0.0449607,0.9586,0.127672,0.304981,-0.366972,-0.0174164,-0.00339651,-0.716334,0.654722,-1.08748,-0.580659,-0.742956,1.00536,-0.910531,0.476799,-1.27917,1.06056,-104.616
-114.716,0.809379,0.315309,4,15,0,120.846,0.163152,0.646758,-1.03069,-0.511321,0.645723,1.00872,0.814968,-0.538993,-0.907966,0.319392,0.607333,-0.445796,1.06835,-1.01833,-1.08153,0.828876,0.288041,-1.02804,-0.437704,0.801133,1.55401,0.163152,0.646758,-1.03069,-0.511321,0.645723,1.00872,0.814968,-0.538993,-0.907966,0.319392,0.607333,-0.445796,1.06835,-1.01833,-1.08153,0.828876,0.288041,-1.02804,-0.437704,0.609065,-108.12
-119.419,0.920886,0.315309,4,15,0,130.183,0.409407,0.437606,-0.275101,-0.895343,-0.0873703,0.69814,0.357586,-0.712029,0.870966,-1.50308,-1.87037,0.827513,-0.118821,0.0223268,-0.735461,0.788698,0.737767,-0.072588,-0.478676,0.447099,1.07314,0.409407,0.437606,-0.275101,-0.895343,-0.0873703,0.69814,0.357586,-0.712029,0.870966,-1.50308,-1.87037,0.827513,-0.118821,0.0223268,-0.735461,0.788698,0.737767,-0.072588,-0.478676,1.59883,-113.052
-119.312,0.998865,0.315309,4,15,0,131.045,-0.417581,0.527267,-0.614883,-0.233407,1.88506,0.0303479,0.27549,-0.217394,-1.48604,1.53504,1.58217,-0.511643,-0.33942,-0.737087,-0.482964,1.46328,-1.32692,0.243394,-1.26079,0.441709,0.739106,-0.417581,0.527267,-0.614883,-0.233407,1.88506,0.0303479,0.27549,-0.217394,-1.48604,1.53504,1.58217,-0.511643,-0.33942,-0.737087,-0.482964,1.46328,-1.32692,0.243394,-1.26079,0.0860826,-109.471
-113.967,0.992485,0.315309,4,15,0,128.773,1.24512,0.906048,-1.45402,-0.684168,-0.0871067,1.06877,0.126093,-0.490649,-1.57576,-0.506921,0.239924,0.361192,-0.146889,-0.332831,-0.816979,0.138769,0.0855062,0.970144,0.0312731,0.586892,1.21143,1.24512,0.906048,-1.45402,-0.684168,-0.0871067,1.06877,0.126093,-0.490649,-1.57576,-0.506921,0.239924,0.361192,-0.146889,-0.332831,-0.816979,0.138769,0.0855062,0.970144,0.0312731,0.922481,-107.725
-112.748,0.799306,0.315309,4,15,0,123.619,0.964172,-0.54597,-1.06554,-0.20473,1.22336,0.811821,1.13079,-0.618203,0.328285,-0.606867,0.163096,0.242312,-0.91841,-0.124162,-0.85666,0.0977261,0.771031,-0.474626,-0.195318,0.375675,1.0897,0.964172,-0.54597,-1.06554,-0.20473,1.22336,0.811821,1.13079,-0.618203,0.328285,-0.606867,0.163096,0.242312,-0.91841,-0.124162,-0.85666,0.0977261,0.771031,-0.474626,-0.195318,-0.122111,-107.548
