# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_4_model
# start_datetime = 2025-08-29 03:51:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/mosi5srp.json
# init = 2 (Default)
# random
#   seed = 44223
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_4g9q7fss9/bradley_terry_4-20250829005129_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,log_home_advantage,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.292744
# Diagonal elements of inverse mass matrix:
# 0.279884, 0.228418, 0.257294, 0.236832, 0.2799, 0.251152, 0.240102, 0.254633, 0.334368, 0.212317, 0.283263, 0.224903, 0.20035, 0.215484, 0.227961, 0.224839, 0.19014, 0.258651, 0.2632, 0.0387529, 0.0243647
-213.479,0.966082,0.292744,4,15,0,222.066,-0.062655,-0.0172407,-0.40727,-0.516365,1.09556,-0.582038,-0.0965306,-0.376401,0.460852,-0.473521,0.737295,0.0226223,-0.057994,-1.0405,-0.375349,0.738771,0.14396,-0.218383,-0.506374,0.929175,0.844159,-0.062655,-0.0172407,-0.40727,-0.516365,1.09556,-0.582038,-0.0965306,-0.376401,0.460852,-0.473521,0.737295,0.0226223,-0.057994,-1.0405,-0.375349,0.738771,0.14396,-0.218383,-0.506374,1.53156,-209.919
-214.888,0.888594,0.292744,4,15,0,228.061,1.12102,0.6217,-0.535823,-0.189625,-0.379127,-0.424606,1.03042,-0.238842,-0.678365,-0.0677,0.2496,0.510908,0.162728,0.869107,-0.508747,0.499484,0.0236249,-0.93942,-2.08149,0.219883,1.09283,1.12102,0.6217,-0.535823,-0.189625,-0.379127,-0.424606,1.03042,-0.238842,-0.678365,-0.0677,0.2496,0.510908,0.162728,0.869107,-0.508747,0.499484,0.0236249,-0.93942,-2.08149,0.955151,-209.004
-220.458,0.923438,0.292744,4,15,0,231.773,0.319486,0.522228,-0.795118,0.090677,0.708632,0.214863,-1.20303,-0.390589,0.454822,-0.575452,0.890146,-0.186452,-0.737025,-0.694794,-1.15948,0.691114,-0.0781619,-0.355435,-0.131966,1.04417,1.38484,0.319486,0.522228,-0.795118,0.090677,0.708632,0.214863,-1.20303,-0.390589,0.454822,-0.575452,0.890146,-0.186452,-0.737025,-0.694794,-1.15948,0.691114,-0.0781619,-0.355435,-0.131966,2.41553,-215.516
-220.091,0.968076,0.292744,4,15,0,233.163,0.520647,0.89729,-0.243086,-0.742206,0.40011,-0.74137,1.71692,-1.52143,-0.748036,0.107702,0.993276,0.492137,0.282598,0.175165,-0.077712,0.760244,-0.251866,-0.600775,-2.47618,0.267551,0.830714,0.520647,0.89729,-0.243086,-0.742206,0.40011,-0.74137,1.71692,-1.52143,-0.748036,0.107702,0.993276,0.492137,0.282598,0.175165,-0.077712,0.760244,-0.251866,-0.600775,-2.47618,1.05656,-211.17
-219.16,1,0.292744,4,15,0,224.386,0.732102,0.129705,-0.475804,0.211874,0.540777,-0.205232,-1.13795,0.510568,0.397934,-0.629628,0.249667,0.207121,-0.520094,-0.541921,-1.0684,0.810057,-0.396916,-0.535447,-0.29661,0.978743,1.44864,0.732102,0.129705,-0.475804,0.211874,0.540777,-0.205232,-1.13795,0.510568,0.397934,-0.629628,0.249667,0.207121,-0.520094,-0.541921,-1.0684,0.810057,-0.396916,-0.535447,-0.29661,2.0182,-214.868
-220.445,0.982344,0.292744,4,15,0,231.635,0.613137,0.539924,0.334533,-0.672889,0.583714,-1.26129,0.955878,-2.2165,-0.374205,0.376489,1.03892,0.632266,-0.277613,-0.430925,0.0947287,0.933866,-0.787677,-0.0464984,-1.74944,0.288811,0.884475,0.613137,0.539924,0.334533,-0.672889,0.583714,-1.26129,0.955878,-2.2165,-0.374205,0.376489,1.03892,0.632266,-0.277613,-0.430925,0.0947287,0.933866,-0.787677,-0.0464984,-1.74944,1.71359,-212.1
-218.959,0.918984,0.292744,4,15,0,235.041,0.163774,1.03018,0.258781,-0.859896,0.620843,-1.03639,0.391172,-2.05422,-0.41156,-0.048318,0.657174,1.09866,0.319044,-0.666814,-0.340619,0.91905,-0.620249,0.254843,-1.62686,0.450933,0.860948,0.163774,1.03018,0.258781,-0.859896,0.620843,-1.03639,0.391172,-2.05422,-0.41156,-0.048318,0.657174,1.09866,0.319044,-0.666814,-0.340619,0.91905,-0.620249,0.254843,-1.62686,1.95141,-211.267
-215.266,0.897199,0.292744,4,15,0,230.88,0.448491,0.447923,-0.180632,-0.600933,0.0262994,-0.435558,0.417031,-0.801897,0.170633,-0.467914,-0.0491334,0.503372,-1.02677,0.140497,-0.70353,1.15354,-0.526564,-0.840743,-0.719486,1.01092,1.56902,0.448491,0.447923,-0.180632,-0.600933,0.0262994,-0.435558,0.417031,-0.801897,0.170633,-0.467914,-0.0491334,0.503372,-1.02677,0.140497,-0.70353,1.15354,-0.526564,-0.840743,-0.719486,3.04538,-210.62
