# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_4_model
# start_datetime = 2025-08-29 03:51:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/boeup3w3.json
# init = 2 (Default)
# random
#   seed = 48093
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_40ct8cw4k/bradley_terry_4-20250829005122_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,log_home_advantage,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.238106
# Diagonal elements of inverse mass matrix:
# 0.136456, 0.148181, 0.173001, 0.144161, 0.135494, 0.138496, 0.126276, 0.127564, 0.140597, 0.117572, 0.122332, 0.127553, 0.142677, 0.132995, 0.151151, 0.139787, 0.131125, 0.118921, 0.165286, 0.01721, 0.0141543
-392.514,1,0.238106,4,15,0,402.076,1.17709,0.484625,-1.30534,-0.911411,0.466954,-0.0563831,0.00731335,-0.642942,-0.0264033,0.458686,0.462165,0.459992,-0.297206,0.319333,-0.965789,0.588049,-1.08029,0.385174,-0.747815,0.524803,1.00659,1.17709,0.484625,-1.30534,-0.911411,0.466954,-0.0563831,0.00731335,-0.642942,-0.0264033,0.458686,0.462165,0.459992,-0.297206,0.319333,-0.965789,0.588049,-1.08029,0.385174,-0.747815,1.2242,-387.491
-391.452,0.977193,0.238106,4,15,0,399.86,0.888697,0.560725,-1.29651,-0.328629,-0.216326,-0.160729,-0.0133366,0.879916,-0.173201,-0.504543,0.808452,0.0559625,-0.42066,-0.131382,-0.986032,0.689691,0.0640342,-0.0136958,-0.794059,0.54043,0.852117,0.888697,0.560725,-1.29651,-0.328629,-0.216326,-0.160729,-0.0133366,0.879916,-0.173201,-0.504543,0.808452,0.0559625,-0.42066,-0.131382,-0.986032,0.689691,0.0640342,-0.0136958,-0.794059,1.09163,-387.304
-395.557,0.902723,0.238106,4,15,0,402.782,0.922673,1.36095,-1.06863,-0.619285,0.361352,-0.702226,-0.286575,0.959789,0.283925,-0.290461,0.179869,0.17999,-0.0413857,-0.226551,-0.41571,0.234761,-0.0629885,-0.185203,-0.975018,0.462684,0.899358,0.922673,1.36095,-1.06863,-0.619285,0.361352,-0.702226,-0.286575,0.959789,0.283925,-0.290461,0.179869,0.17999,-0.0413857,-0.226551,-0.41571,0.234761,-0.0629885,-0.185203,-0.975018,0.390719,-391.262
-393.612,0.98069,0.238106,4,15,0,408.358,1.18117,0.893247,-0.520766,-0.397771,0.472895,-0.770245,-0.359621,0.378236,0.30924,-0.0347332,0.564021,0.477296,-0.688649,0.671908,-1.09566,0.489273,-0.524892,-0.383249,-1.27001,0.86837,1.03405,1.18117,0.893247,-0.520766,-0.397771,0.472895,-0.770245,-0.359621,0.378236,0.30924,-0.0347332,0.564021,0.477296,-0.688649,0.671908,-1.09566,0.489273,-0.524892,-0.383249,-1.27001,0.608311,-388.356
-399.536,0.927462,0.238106,4,15,0,410.135,0.308829,0.0617124,-1.83204,-0.111938,-0.0654749,-0.625763,1.0127,0.406651,-0.0119135,0.142792,-0.343941,1.04919,-0.121851,-0.510643,-1.23412,0.941,-0.390451,0.383461,-0.269166,0.479036,0.807021,0.308829,0.0617124,-1.83204,-0.111938,-0.0654749,-0.625763,1.0127,0.406651,-0.0119135,0.142792,-0.343941,1.04919,-0.121851,-0.510643,-1.23412,0.941,-0.390451,0.383461,-0.269166,1.21096,-394.206
-391.455,0.995388,0.238106,4,15,0,411.41,1.40413,0.999246,-0.972097,-0.531061,0.618875,-0.859171,0.0844988,0.274492,0.0922619,0.00946577,0.457948,-0.0390681,-0.618201,0.232236,-0.733554,0.77522,-0.61733,0.353303,-1.40834,0.791031,1.00641,1.40413,0.999246,-0.972097,-0.531061,0.618875,-0.859171,0.0844988,0.274492,0.0922619,0.00946577,0.457948,-0.0390681,-0.618201,0.232236,-0.733554,0.77522,-0.61733,0.353303,-1.40834,0.47714,-385.8
-395.955,0.986923,0.238106,4,15,0,403.508,0.760499,0.609639,-1.09988,-0.212873,1.00957,-0.892262,0.562004,0.379434,-0.10606,0.594464,0.549042,-0.298809,-1.05724,0.148962,-1.35131,1.18305,-0.715695,-0.251207,-0.246692,0.538942,0.746318,0.760499,0.609639,-1.09988,-0.212873,1.00957,-0.892262,0.562004,0.379434,-0.10606,0.594464,0.549042,-0.298809,-1.05724,0.148962,-1.35131,1.18305,-0.715695,-0.251207,-0.246692,0.435363,-390.12
-392.116,0.99481,0.238106,4,15,0,407.159,0.479223,0.125916,-1.39302,-0.799778,0.245596,-0.233872,0.215022,-0.0139932,0.229014,-0.322042,1.05263,0.615298,-0.425519,-0.00717098,-0.741832,0.729306,-0.739167,0.249257,-0.391498,0.830253,1.09014,0.479223,0.125916,-1.39302,-0.799778,0.245596,-0.233872,0.215022,-0.0139932,0.229014,-0.322042,1.05263,0.615298,-0.425519,-0.00717098,-0.741832,0.729306,-0.739167,0.249257,-0.391498,1.12663,-387.935
-392.673,0.992767,0.238106,4,15,0,403.047,1.13294,1.21772,-1.1159,-0.0337013,0.408314,-0.710228,-0.0134522,0.265062,-0.226029,0.230709,-0.0963757,0.419075,-0.662891,0.0461306,-1.19413,0.902881,-0.202445,-0.379313,-0.876698,0.329735,0.710637,1.13294,1.21772,-1.1159,-0.0337013,0.408314,-0.710228,-0.0134522,0.265062,-0.226029,0.230709,-0.0963757,0.419075,-0.662891,0.0461306,-1.19413,0.902881,-0.202445,-0.379313,-0.876698,0.888336,-387.684
-389.712,0.992494,0.238106,4,15,0,399.158,0.547096,0.957503,-1.36107,-0.675906,0.42675,-0.821605,-0.471437,0.575195,-0.0498448,-0.0599798,0.225909,0.727846,-0.37571,0.197704,-0.91835,1.05817,-0.142228,0.308164,-1.06974,0.666784,0.831337,0.547096,0.957503,-1.36107,-0.675906,0.42675,-0.821605,-0.471437,0.575195,-0.0498448,-0.0599798,0.225909,0.727846,-0.37571,0.197704,-0.91835,1.05817,-0.142228,0.308164,-1.06974,0.921536,-384.497
-389.511,0.985669,0.238106,4,15,0,394.244,1.199,0.45657,-0.988117,-0.16486,0.284691,-0.149854,0.70332,-0.338562,0.0489838,-0.0243281,0.762111,0.316619,-0.737458,-0.216111,-1.07442,0.607815,-0.841248,-0.304936,-0.361457,0.505139,0.954581,1.199,0.45657,-0.988117,-0.16486,0.284691,-0.149854,0.70332,-0.338562,0.0489838,-0.0243281,0.762111,0.316619,-0.737458,-0.216111,-1.07442,0.607815,-0.841248,-0.304936,-0.361457,0.822244,-385.336
-393.608,0.970001,0.238106,4,15,0,398.27,0.231397,0.839248,-1.26104,-0.743665,0.781691,-0.973211,-0.657369,0.458238,-0.127489,0.200834,0.225194,0.494844,-0.269489,0.281079,-0.780625,1.19913,0.0368577,0.152489,-1.07124,0.671175,0.82032,0.231397,0.839248,-1.26104,-0.743665,0.781691,-0.973211,-0.657369,0.458238,-0.127489,0.200834,0.225194,0.494844,-0.269489,0.281079,-0.780625,1.19913,0.0368577,0.152489,-1.07124,0.983123,-388.436
-393.956,0.992059,0.238106,4,15,0,403.247,1.34272,0.498713,-0.865317,-0.12944,-0.159059,0.00601132,0.882649,-0.227343,0.0826627,-0.115147,0.628544,0.496804,-0.830109,-0.312251,-1.12238,0.365068,-0.986941,-0.260069,-0.386181,0.425235,0.989623,1.34272,0.498713,-0.865317,-0.12944,-0.159059,0.00601132,0.882649,-0.227343,0.0826627,-0.115147,0.628544,0.496804,-0.830109,-0.312251,-1.12238,0.365068,-0.986941,-0.260069,-0.386181,1.09106,-389.513
-395.807,0.911935,0.238106,4,15,0,412.161,1.27685,0.569703,-0.378225,-0.377391,0.146461,-0.448376,0.300198,0.425742,0.293444,-0.267206,0.713764,0.658213,-0.959578,-0.139934,-0.978366,0.106199,-0.669669,-0.573165,-0.269704,0.606902,1.19921,1.27685,0.569703,-0.378225,-0.377391,0.146461,-0.448376,0.300198,0.425742,0.293444,-0.267206,0.713764,0.658213,-0.959578,-0.139934,-0.978366,0.106199,-0.669669,-0.573165,-0.269704,0.571045,-391.789
-395.242,0.988264,0.238106,4,15,0,409.312,0.915553,0.91287,-2.06919,-0.429667,0.604551,-0.340824,0.131775,-0.0215815,-0.3157,-0.00223547,0.31384,0.239353,-0.165366,0.0773348,-1.11219,1.70411,-0.253926,0.438888,-1.07345,0.5664,0.714366,0.915553,0.91287,-2.06919,-0.429667,0.604551,-0.340824,0.131775,-0.0215815,-0.3157,-0.00223547,0.31384,0.239353,-0.165366,0.0773348,-1.11219,1.70411,-0.253926,0.438888,-1.07345,0.445866,-388.252
-393.325,0.915464,0.238106,4,15,0,405.08,0.629056,0.670209,-1.17764,-0.522091,0.266165,-0.559594,-0.191437,0.245913,0.268742,-0.0949987,0.488461,0.476539,-0.621095,0.460332,-1.29745,1.25258,0.231275,0.103707,-1.86898,0.550017,0.884287,0.629056,0.670209,-1.17764,-0.522091,0.266165,-0.559594,-0.191437,0.245913,0.268742,-0.0949987,0.488461,0.476539,-0.621095,0.460332,-1.29745,1.25258,0.231275,0.103707,-1.86898,1.24031,-387.19
-396.622,0.904486,0.238106,4,15,0,404.411,0.596442,0.374242,-1.31211,-0.440174,1.05488,-0.343089,0.339361,0.202639,-0.276833,0.233704,0.352821,0.196268,-0.053641,-0.164582,-0.714296,0.366663,-1.11388,0.155938,0.398459,0.650557,0.905646,0.596442,0.374242,-1.31211,-0.440174,1.05488,-0.343089,0.339361,0.202639,-0.276833,0.233704,0.352821,0.196268,-0.053641,-0.164582,-0.714296,0.366663,-1.11388,0.155938,0.398459,0.147192,-392.805
