# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_4_model
# start_datetime = 2025-08-29 03:51:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/res098fu.json
# init = 2 (Default)
# random
#   seed = 33268
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_4upa78oq6/bradley_terry_4-20250829005135_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,log_home_advantage,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.292906
# Diagonal elements of inverse mass matrix:
# 0.369902, 0.400523, 0.361604, 0.439378, 0.450275, 0.381673, 0.473264, 0.476263, 0.386215, 0.40394, 0.375707, 0.405471, 0.36465, 0.375635, 0.430125, 0.394547, 0.427468, 0.432113, 0.398545, 0.0773572, 0.0485252
-110.563,0.967076,0.292906,4,15,0,124.306,0.336841,1.13567,0.529517,-0.137829,-1.64154,-0.759855,0.140195,-0.058521,0.156844,-1.21933,0.486314,-0.160076,0.421521,0.210473,-0.20721,-0.537003,-1.05509,2.65788,-0.966902,0.47441,1.02007,0.336841,1.13567,0.529517,-0.137829,-1.64154,-0.759855,0.140195,-0.058521,0.156844,-1.21933,0.486314,-0.160076,0.421521,0.210473,-0.20721,-0.537003,-1.05509,2.65788,-0.966902,0.668108,-101.731
-110.056,0.850319,0.292906,4,15,0,118.245,0.119367,1.32678,0.113634,0.0124033,-0.943647,0.103179,0.266643,-0.369352,-0.662021,-1.245,0.0860574,-0.385862,0.480058,0.288884,0.2282,-0.621028,-0.397035,2.77112,-1.34304,0.600503,1.73191,0.119367,1.32678,0.113634,0.0124033,-0.943647,0.103179,0.266643,-0.369352,-0.662021,-1.245,0.0860574,-0.385862,0.480058,0.288884,0.2282,-0.621028,-0.397035,2.77112,-1.34304,0.170658,-101.209
-112.538,0.940857,0.292906,4,15,0,121.989,0.923641,0.339713,0.620538,-0.0370693,-0.506052,0.366511,0.571465,1.17693,-0.28978,-0.168985,0.226702,-1.82506,0.55274,0.266093,1.43304,-0.916883,-2.12625,-0.251095,-0.114005,0.345488,0.674609,0.923641,0.339713,0.620538,-0.0370693,-0.506052,0.366511,0.571465,1.17693,-0.28978,-0.168985,0.226702,-1.82506,0.55274,0.266093,1.43304,-0.916883,-2.12625,-0.251095,-0.114005,-0.242189,-104.448
-111.567,0.746724,0.292906,4,15,0,129.34,-1.09287,0.080825,-0.770684,0.210798,-0.322265,1.82429,0.396391,0.658489,0.137466,-0.883024,0.542813,-0.477169,0.422677,0.0103431,0.307963,-0.376729,-0.747443,2.14298,-1.08098,0.209515,1.38174,-1.09287,0.080825,-0.770684,0.210798,-0.322265,1.82429,0.396391,0.658489,0.137466,-0.883024,0.542813,-0.477169,0.422677,0.0103431,0.307963,-0.376729,-0.747443,2.14298,-1.08098,-0.983874,-103.955
-111.563,0.78391,0.292906,4,15,0,133.312,1.33827,1.77202,1.50553,-0.332312,-0.559092,-1.02012,0.852583,0.0270915,-0.846202,-0.512134,0.0282054,-1.61833,0.50783,-0.132184,1.31782,-1.13777,-1.41198,0.558809,-0.58834,0.54191,1.20433,1.33827,1.77202,1.50553,-0.332312,-0.559092,-1.02012,0.852583,0.0270915,-0.846202,-0.512134,0.0282054,-1.61833,0.50783,-0.132184,1.31782,-1.13777,-1.41198,0.558809,-0.58834,0.250308,-101.404
-117.097,0.755079,0.292906,4,15,0,126.042,0.202068,-0.42956,-0.616514,-0.158938,-0.511394,1.46249,-0.06743,0.637398,0.290883,-0.634841,-0.224538,0.250494,0.162689,-0.293217,0.59635,0.278301,-0.834826,1.6677,0.21447,0.206725,0.621904,0.202068,-0.42956,-0.616514,-0.158938,-0.511394,1.46249,-0.06743,0.637398,0.290883,-0.634841,-0.224538,0.250494,0.162689,-0.293217,0.59635,0.278301,-0.834826,1.6677,0.21447,-1.99158,-112.351
