# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_4_model
# start_datetime = 2025-08-29 03:51:31 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/swlsho0o.json
# init = 2 (Default)
# random
#   seed = 37453
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_4vqn0keuh/bradley_terry_4-20250829005131_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,log_home_advantage,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.247295
# Diagonal elements of inverse mass matrix:
# 0.145899, 0.112404, 0.128436, 0.118253, 0.152956, 0.140425, 0.193346, 0.160051, 0.141114, 0.151893, 0.126023, 0.139482, 0.163961, 0.144169, 0.142701, 0.144898, 0.179562, 0.130005, 0.117521, 0.0200628, 0.013993
-389.265,0.980568,0.247295,4,15,0,399.349,0.476705,0.721113,0.188564,0.283768,0.592109,0.0518118,1.65249,0.484736,0.26945,0.0615517,-0.0824605,-0.522236,-1.21513,-0.137657,-0.608817,-0.341636,-2.42021,0.662606,-0.0427029,0.667389,1.02274,0.476705,0.721113,0.188564,0.283768,0.592109,0.0518118,1.65249,0.484736,0.26945,0.0615517,-0.0824605,-0.522236,-1.21513,-0.137657,-0.608817,-0.341636,-2.42021,0.662606,-0.0427029,-0.0740632,-382.132
-388.376,0.997242,0.247295,4,15,0,395.759,0.962757,0.725993,0.285129,0.0342659,-0.670678,0.159754,1.37601,-0.185373,-0.739616,-1.07222,0.992639,-0.309773,0.0856597,-0.11078,-0.0594362,0.160235,-1.61826,0.470376,-0.0209169,0.79332,0.948451,0.962757,0.725993,0.285129,0.0342659,-0.670678,0.159754,1.37601,-0.185373,-0.739616,-1.07222,0.992639,-0.309773,0.0856597,-0.11078,-0.0594362,0.160235,-1.61826,0.470376,-0.0209169,-0.465764,-382.755
-400.195,0.717088,0.247295,4,15,0,409.598,0.43752,0.350926,0.447534,0.469485,-0.704833,0.402718,1.88716,0.169007,-1.10744,0.356967,0.80396,-0.367303,-0.771089,0.47168,0.180605,0.071091,-2.17612,-0.114001,0.250788,0.604894,1.33397,0.43752,0.350926,0.447534,0.469485,-0.704833,0.402718,1.88716,0.169007,-1.10744,0.356967,0.80396,-0.367303,-0.771089,0.47168,0.180605,0.071091,-2.17612,-0.114001,0.250788,-1.05866,-393.018
-390.976,0.972433,0.247295,4,15,0,409.724,1.10947,0.468107,0.242846,0.408968,-0.0560464,0.094693,1.34146,0.217881,0.115308,-0.447624,-0.117288,-0.634827,-0.257645,-0.698809,-0.098844,0.281431,-1.65981,0.125198,0.580535,1.03779,0.831486,1.10947,0.468107,0.242846,0.408968,-0.0560464,0.094693,1.34146,0.217881,0.115308,-0.447624,-0.117288,-0.634827,-0.257645,-0.698809,-0.098844,0.281431,-1.65981,0.125198,0.580535,-1.015,-385.949
-390.104,1,0.247295,4,15,0,399.148,1.15553,0.0536088,-0.0100963,0.476862,0.051695,-0.0855049,1.70207,0.764769,0.216368,-1.00287,0.120599,-1.12751,-1.05091,0.264451,-0.247987,0.592461,-1.81706,0.426853,0.524286,0.799893,1.05623,1.15553,0.0536088,-0.0100963,0.476862,0.051695,-0.0855049,1.70207,0.764769,0.216368,-1.00287,0.120599,-1.12751,-1.05091,0.264451,-0.247987,0.592461,-1.81706,0.426853,0.524286,-1.00763,-382.91
-389.139,0.990929,0.247295,4,15,0,398.386,0.544133,1.00567,0.251162,0.172166,0.292644,0.284151,1.24694,0.20657,-1.02117,-0.324972,-0.161561,-0.40357,0.171007,0.0564484,-0.594414,0.0772151,-2.17502,-0.0530682,-0.133498,0.605241,0.955408,0.544133,1.00567,0.251162,0.172166,0.292644,0.284151,1.24694,0.20657,-1.02117,-0.324972,-0.161561,-0.40357,0.171007,0.0564484,-0.594414,0.0772151,-2.17502,-0.0530682,-0.133498,0.559157,-383.632
-389.529,0.998118,0.247295,4,15,0,396.436,1.2788,0.148679,0.329252,0.453662,-0.145741,0.189819,1.90934,0.148343,0.545138,-1.10083,0.463512,-0.637563,-1.32591,0.190602,-0.089974,0.454063,-2.07502,0.535342,-0.392472,0.800341,1.10005,1.2788,0.148679,0.329252,0.453662,-0.145741,0.189819,1.90934,0.148343,0.545138,-1.10083,0.463512,-0.637563,-1.32591,0.190602,-0.089974,0.454063,-2.07502,0.535342,-0.392472,-0.879049,-381.409
-388.481,0.997823,0.247295,4,15,0,396.31,0.534145,1.00634,0.423061,-0.0423331,0.133884,-0.0332129,1.3215,0.400921,-0.733019,-0.266487,-0.112337,-0.381698,0.502007,-0.239444,-0.388186,0.0531938,-1.71248,0.0175032,0.372775,0.657973,0.943333,0.534145,1.00634,0.423061,-0.0423331,0.133884,-0.0332129,1.3215,0.400921,-0.733019,-0.266487,-0.112337,-0.381698,0.502007,-0.239444,-0.388186,0.0531938,-1.71248,0.0175032,0.372775,-0.85614,-383.908
-391.281,0.995754,0.247295,4,15,0,399.683,0.985314,-0.136704,0.844209,0.342558,-0.0329283,-0.484041,1.81415,0.287378,-0.291891,-0.722741,0.466094,-0.985502,-1.11138,0.341007,-0.000341237,-0.0230398,-1.75145,0.753031,-0.638429,0.838827,1.1435,0.985314,-0.136704,0.844209,0.342558,-0.0329283,-0.484041,1.81415,0.287378,-0.291891,-0.722741,0.466094,-0.985502,-1.11138,0.341007,-0.000341237,-0.0230398,-1.75145,0.753031,-0.638429,0.344704,-384.1
-390.706,0.732483,0.247295,4,15,0,404.98,0.298214,1.14581,0.00809266,-0.126526,-0.544832,-0.0259016,1.39464,0.372113,0.144475,-1.08729,-0.0151134,-0.641188,-0.655916,0.271597,-0.458422,0.0967101,-1.26285,-0.15935,0.748546,0.72499,0.920357,0.298214,1.14581,0.00809266,-0.126526,-0.544832,-0.0259016,1.39464,0.372113,0.144475,-1.08729,-0.0151134,-0.641188,-0.655916,0.271597,-0.458422,0.0967101,-1.26285,-0.15935,0.748546,0.497193,-385.778
