# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_4_model
# start_datetime = 2025-08-29 03:51:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/ua6knl2j.json
# init = 2 (Default)
# random
#   seed = 80444
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_47r58syva/bradley_terry_4-20250829005145_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,log_home_advantage,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.269411
# Diagonal elements of inverse mass matrix:
# 0.290798, 0.331753, 0.316108, 0.281314, 0.220924, 0.284168, 0.287861, 0.283772, 0.330266, 0.300033, 0.304728, 0.250369, 0.306292, 0.283129, 0.30134, 0.287487, 0.32516, 0.271677, 0.338105, 0.0487474, 0.0276923
-165.865,0.924247,0.269411,4,15,0,174.291,0.758109,0.626957,1.04936,-0.00804922,-0.165052,0.70574,0.933642,0.0809704,-0.0785415,0.978672,-1.54537,0.460453,-2.05152,0.265619,0.0411289,-0.143866,-1.38617,-0.937297,-0.176282,0.256001,1.26939,0.758109,0.626957,1.04936,-0.00804922,-0.165052,0.70574,0.933642,0.0809704,-0.0785415,0.978672,-1.54537,0.460453,-2.05152,0.265619,0.0411289,-0.143866,-1.38617,-0.937297,-0.176282,0.591485,-158.18
-167.822,0.940237,0.269411,4,15,0,177.411,1.03497,0.815935,0.664109,0.253064,0.0460524,1.1967,0.673312,0.133211,-0.646866,0.534285,-0.384518,1.00691,-1.6212,0.0874141,-0.0121944,0.570141,-1.4737,-1.47225,0.0839469,0.263881,1.17314,1.03497,0.815935,0.664109,0.253064,0.0460524,1.1967,0.673312,0.133211,-0.646866,0.534285,-0.384518,1.00691,-1.6212,0.0874141,-0.0121944,0.570141,-1.4737,-1.47225,0.0839469,-1.48934,-160.598
-167.466,0.991975,0.269411,4,15,0,178.766,0.332211,-0.409905,0.0470861,1.05665,0.393923,0.341553,1.04151,0.465698,0.345757,0.407691,-1.18166,-0.835724,-0.595053,-0.565667,-0.784718,-0.0897669,0.324694,0.431701,-1.32798,0.666157,1.03009,0.332211,-0.409905,0.0470861,1.05665,0.393923,0.341553,1.04151,0.465698,0.345757,0.407691,-1.18166,-0.835724,-0.595053,-0.565667,-0.784718,-0.0897669,0.324694,0.431701,-1.32798,0.602002,-162.391
-167.81,0.997356,0.269411,4,15,0,178.085,-0.0427312,0.165359,1.38507,-0.442391,-0.254336,1.70676,0.890216,-0.445675,0.49263,1.29012,-1.07362,0.0800506,-1.25677,-0.297225,-1.09483,-0.666011,-0.407813,0.336922,-0.800248,0.467278,1.08638,-0.0427312,0.165359,1.38507,-0.442391,-0.254336,1.70676,0.890216,-0.445675,0.49263,1.29012,-1.07362,0.0800506,-1.25677,-0.297225,-1.09483,-0.666011,-0.407813,0.336922,-0.800248,0.434522,-160.49
-166.743,0.454764,0.269411,4,15,0,184.135,1.7912,0.274459,0.608746,-0.416404,0.119648,-0.296203,0.814496,-0.499941,0.712347,0.58852,-0.694523,0.421769,-0.441943,-1.49833,0.457088,0.514727,-0.676632,-0.851902,-0.150531,0.500191,1.08577,1.7912,0.274459,0.608746,-0.416404,0.119648,-0.296203,0.814496,-0.499941,0.712347,0.58852,-0.694523,0.421769,-0.441943,-1.49833,0.457088,0.514727,-0.676632,-0.851902,-0.150531,-0.776589,-160.872
-168.814,0.985176,0.269411,4,15,0,176.2,-0.247317,0.908305,-0.151351,0.503377,1.04957,1.38244,1.14648,0.50718,-0.720032,0.625771,-0.507299,-1.40142,-1.4861,0.579606,-0.883605,-0.464637,0.137584,0.279267,-0.688595,0.488218,1.17656,-0.247317,0.908305,-0.151351,0.503377,1.04957,1.38244,1.14648,0.50718,-0.720032,0.625771,-0.507299,-1.40142,-1.4861,0.579606,-0.883605,-0.464637,0.137584,0.279267,-0.688595,-0.569227,-161.67
-169.594,0.976972,0.269411,4,15,0,181.967,1.96247,0.942451,0.678655,0.247183,-0.815131,0.113508,0.400422,-0.0532685,-0.525815,0.834406,-1.00059,-0.13501,-1.5949,-1.60874,0.524337,1.23742,-0.246968,-0.427569,-0.0935371,0.490453,0.921925,1.96247,0.942451,0.678655,0.247183,-0.815131,0.113508,0.400422,-0.0532685,-0.525815,0.834406,-1.00059,-0.13501,-1.5949,-1.60874,0.524337,1.23742,-0.246968,-0.427569,-0.0935371,-0.439327,-161.325
-165.819,0.994029,0.269411,4,15,0,176.418,-0.0409927,0.334829,0.122587,0.0196995,0.84928,1.55653,1.7469,0.179222,0.445535,0.273088,-0.708735,-0.226295,-1.20137,0.528154,-1.17701,-0.58413,-0.325724,-0.326142,-0.62836,0.35969,1.34359,-0.0409927,0.334829,0.122587,0.0196995,0.84928,1.55653,1.7469,0.179222,0.445535,0.273088,-0.708735,-0.226295,-1.20137,0.528154,-1.17701,-0.58413,-0.325724,-0.326142,-0.62836,-0.83706,-159.527
-166.674,0.886073,0.269411,4,15,0,176.204,0.164042,0.47284,1.74287,-0.157771,-0.0638041,0.563591,0.392809,1.359,-0.348587,0.692226,-1.5525,0.0237639,-0.972806,-0.210253,-0.496014,-0.106411,0.297096,-0.412407,-0.622844,0.570481,1.16252,0.164042,0.47284,1.74287,-0.157771,-0.0638041,0.563591,0.392809,1.359,-0.348587,0.692226,-1.5525,0.0237639,-0.972806,-0.210253,-0.496014,-0.106411,0.297096,-0.412407,-0.622844,-0.764835,-160.716
-166.963,0.981933,0.269411,4,15,0,178.079,0.444634,1.27395,1.06215,-0.569858,-0.0602376,0.959311,1.03592,0.814601,0.0675299,1.37098,-0.932731,0.0966736,-1.52445,-0.0170659,0.340531,-0.934152,-1.25983,-0.64278,-0.972122,0.509747,0.981041,0.444634,1.27395,1.06215,-0.569858,-0.0602376,0.959311,1.03592,0.814601,0.0675299,1.37098,-0.932731,0.0966736,-1.52445,-0.0170659,0.340531,-0.934152,-1.25983,-0.64278,-0.972122,-0.553051,-158.855
-168.715,0.990676,0.269411,4,15,0,175.879,0.237279,0.778739,1.43443,-0.792734,-0.2864,0.77314,0.699165,0.402098,0.155786,1.33243,-0.640044,-0.635854,-0.330595,-0.267683,0.449403,-1.35639,-0.800843,-0.000776192,-0.873954,0.512378,1.03248,0.237279,0.778739,1.43443,-0.792734,-0.2864,0.77314,0.699165,0.402098,0.155786,1.33243,-0.640044,-0.635854,-0.330595,-0.267683,0.449403,-1.35639,-0.800843,-0.000776192,-0.873954,-0.277196,-162.622
-162.226,0.890711,0.269411,4,15,0,175.146,0.756989,1.29563,-0.236368,0.595468,0.777648,0.285523,1.00158,0.443035,0.19316,0.83981,-0.848879,-0.439487,-1.27125,-0.951803,-0.758002,-0.697613,-0.674467,-0.277879,0.222915,0.615533,1.26931,0.756989,1.29563,-0.236368,0.595468,0.777648,0.285523,1.00158,0.443035,0.19316,0.83981,-0.848879,-0.439487,-1.27125,-0.951803,-0.758002,-0.697613,-0.674467,-0.277879,0.222915,-0.256008,-156.285
-165.593,0.937921,0.269411,4,15,0,172.307,0.227258,1.39128,0.12148,0.370854,0.896708,-0.0350834,0.68664,0.424372,0.329687,1.09501,-0.674508,-0.441795,-1.49005,-0.776393,-0.954726,-0.440712,-0.723484,-0.306019,0.932126,0.607343,1.34177,0.227258,1.39128,0.12148,0.370854,0.896708,-0.0350834,0.68664,0.424372,0.329687,1.09501,-0.674508,-0.441795,-1.49005,-0.776393,-0.954726,-0.440712,-0.723484,-0.306019,0.932126,-0.632637,-159.318
-165.417,0.916378,0.269411,4,15,0,173.891,0.854162,-0.178037,0.383969,-0.58321,-0.356008,1.26223,1.04907,-0.323721,-0.694733,0.200357,-1.03729,0.271408,-0.768429,-0.317457,0.343161,0.67593,0.291999,-0.378686,-1.04639,0.496663,0.885451,0.854162,-0.178037,0.383969,-0.58321,-0.356008,1.26223,1.04907,-0.323721,-0.694733,0.200357,-1.03729,0.271408,-0.768429,-0.317457,0.343161,0.67593,0.291999,-0.378686,-1.04639,0.351668,-160.562
-163.298,1,0.269411,4,15,0,171.668,0.624434,1.79617,0.413731,-0.00920879,0.38902,-0.0852261,0.938881,0.204799,0.579441,-0.0352479,-0.547534,-0.0814084,-1.27323,-0.714348,0.155387,-0.211077,-0.747251,-0.506448,0.148628,0.509107,1.32601,0.624434,1.79617,0.413731,-0.00920879,0.38902,-0.0852261,0.938881,0.204799,0.579441,-0.0352479,-0.547534,-0.0814084,-1.27323,-0.714348,0.155387,-0.211077,-0.747251,-0.506448,0.148628,-1.03952,-158.297
-166.404,0.96493,0.269411,4,15,0,176.435,0.350453,-0.137626,-0.174763,0.512769,1.03232,0.822698,1.29015,-0.0728189,-0.341984,1.21953,-1.53244,1.00962,-1.45875,0.188546,-0.564721,-0.750233,-0.0367817,-0.993527,-0.510725,0.393863,0.929701,0.350453,-0.137626,-0.174763,0.512769,1.03232,0.822698,1.29015,-0.0728189,-0.341984,1.21953,-1.53244,1.00962,-1.45875,0.188546,-0.564721,-0.750233,-0.0367817,-0.993527,-0.510725,0.148286,-159.264
-163.693,0.985757,0.269411,4,15,0,177.503,0.357011,0.824291,0.574044,-0.507086,0.390072,0.32634,0.76771,-0.345017,0.43115,0.601935,-0.780977,-1.04619,-0.664078,-1.18072,-0.0156529,0.578396,-0.575137,0.713258,-0.0621586,0.612716,1.26831,0.357011,0.824291,0.574044,-0.507086,0.390072,0.32634,0.76771,-0.345017,0.43115,0.601935,-0.780977,-1.04619,-0.664078,-1.18072,-0.0156529,0.578396,-0.575137,0.713258,-0.0621586,-0.387188,-159.126
-167.626,0.897916,0.269411,4,15,0,177.322,0.807954,-0.0299285,-0.0742505,0.46878,0.664671,1.13566,1.46791,0.780126,-0.249098,0.705806,-1.48025,1.29939,-1.34162,0.277195,-0.461747,-0.0722369,-0.678951,-1.48794,-0.929376,0.28607,1.03765,0.807954,-0.0299285,-0.0742505,0.46878,0.664671,1.13566,1.46791,0.780126,-0.249098,0.705806,-1.48025,1.29939,-1.34162,0.277195,-0.461747,-0.0722369,-0.678951,-1.48794,-0.929376,-0.802103,-159.36
-172.31,0.957209,0.269411,4,15,0,178.222,0.92559,1.31535,-0.119885,-0.496401,-0.0232393,-0.0403729,1.05455,-1.06822,0.264703,0.162674,-0.945686,-1.15883,-0.793318,-1.20025,-0.448192,0.369628,0.273472,1.61453,0.390931,0.388923,1.29249,0.92559,1.31535,-0.119885,-0.496401,-0.0232393,-0.0403729,1.05455,-1.06822,0.264703,0.162674,-0.945686,-1.15883,-0.793318,-1.20025,-0.448192,0.369628,0.273472,1.61453,0.390931,-0.0770284,-165.316
-169.331,0.99445,0.269411,4,15,0,178.598,0.404694,0.265192,0.818411,0.410075,0.745282,1.49173,0.408712,0.691126,0.186155,0.854672,-0.911442,0.121145,-0.993837,0.435655,-0.123856,-0.477031,-0.400349,-2.26151,-0.930725,0.514554,1.00445,0.404694,0.265192,0.818411,0.410075,0.745282,1.49173,0.408712,0.691126,0.186155,0.854672,-0.911442,0.121145,-0.993837,0.435655,-0.123856,-0.477031,-0.400349,-2.26151,-0.930725,-0.734106,-161.864
-167.613,0.767628,0.269411,4,15,0,181.211,0.831563,1.08771,0.0838553,0.431461,-0.489628,1.60394,1.33519,-0.84621,0.199262,0.567253,-0.452218,0.327019,-0.984231,-1.34792,0.0245957,-0.294558,0.274462,-0.354552,-0.295785,0.0612771,1.02099,0.831563,1.08771,0.0838553,0.431461,-0.489628,1.60394,1.33519,-0.84621,0.199262,0.567253,-0.452218,0.327019,-0.984231,-1.34792,0.0245957,-0.294558,0.274462,-0.354552,-0.295785,-1.70121,-161.504
-170.514,0.984536,0.269411,4,15,0,179.283,1.11193,0.542099,0.861474,0.0343822,-0.0914023,0.923328,1.36515,-0.113154,-0.333692,1.073,-0.64668,-0.214828,-0.619511,1.24755,-0.201678,-0.111749,-1.47995,-1.41895,-0.192589,0.3496,1.01205,1.11193,0.542099,0.861474,0.0343822,-0.0914023,0.923328,1.36515,-0.113154,-0.333692,1.073,-0.64668,-0.214828,-0.619511,1.24755,-0.201678,-0.111749,-1.47995,-1.41895,-0.192589,-1.73471,-163.467
-166.927,0.997312,0.269411,4,15,0,177.59,0.768959,0.67589,0.411,-0.30683,1.06653,0.577183,0.62309,0.595122,-0.776367,0.108928,-0.805461,-0.294077,-1.30915,-1.5337,-0.810255,0.35564,0.222463,0.739604,-0.649045,0.745714,1.30881,0.768959,0.67589,0.411,-0.30683,1.06653,0.577183,0.62309,0.595122,-0.776367,0.108928,-0.805461,-0.294077,-1.30915,-1.5337,-0.810255,0.35564,0.222463,0.739604,-0.649045,0.340473,-160.691
-164.459,0.953439,0.269411,4,15,0,177.206,0.248555,0.818382,0.0150673,-0.00524499,0.0473867,0.496276,1.43727,-0.0837785,0.592339,0.155892,-0.375212,0.374929,-0.838155,0.465669,-0.518518,0.186885,-0.585599,-1.34863,0.11246,0.230321,0.955489,0.248555,0.818382,0.0150673,-0.00524499,0.0473867,0.496276,1.43727,-0.0837785,0.592339,0.155892,-0.375212,0.374929,-0.838155,0.465669,-0.518518,0.186885,-0.585599,-1.34863,0.11246,-1.19597,-160.377
-167.321,0.916675,0.269411,4,15,0,178.206,1.26759,0.903752,0.682487,-0.2297,-0.79502,0.589101,0.222201,0.454729,-0.227684,0.867849,-0.840696,-0.180215,-1.78127,-0.831608,-0.890291,0.0430695,0.496289,0.321255,-0.87484,0.192569,1.1455,1.26759,0.903752,0.682487,-0.2297,-0.79502,0.589101,0.222201,0.454729,-0.227684,0.867849,-0.840696,-0.180215,-1.78127,-0.831608,-0.890291,0.0430695,0.496289,0.321255,-0.87484,0.802993,-161.035
-166.357,0.997284,0.269411,4,15,0,177.384,-0.0913986,0.478025,-0.167588,0.354032,0.330212,1.29971,0.722439,-1.16058,0.223899,1.39426,-1.1449,0.0780856,-1.07553,-1.1427,-0.275537,-0.692494,0.418069,-0.179625,-0.0778036,0.345313,1.05764,-0.0913986,0.478025,-0.167588,0.354032,0.330212,1.29971,0.722439,-1.16058,0.223899,1.39426,-1.1449,0.0780856,-1.07553,-1.1427,-0.275537,-0.692494,0.418069,-0.179625,-0.0778036,0.70941,-160.494
-166.09,1,0.269411,4,15,0,172.712,1.4562,1.16371,0.692384,0.189898,0.515338,-0.338377,1.42048,0.891142,0.12166,0.508808,-0.59681,0.00668955,-1.28905,-0.262605,-0.907601,0.337599,-0.8379,-0.802277,-0.769623,0.717838,1.34162,1.4562,1.16371,0.692384,0.189898,0.515338,-0.338377,1.42048,0.891142,0.12166,0.508808,-0.59681,0.00668955,-1.28905,-0.262605,-0.907601,0.337599,-0.8379,-0.802277,-0.769623,-1.49967,-159.017
-166.219,0.907127,0.269411,4,15,0,176.135,0.148573,0.197668,0.183707,0.42826,0.498512,1.66032,0.355915,-0.80723,-0.266315,0.725821,-1.68822,-0.285971,-1.20047,-0.818155,0.170871,-0.0668277,-0.182484,0.744636,0.654027,0.298393,1.00962,0.148573,0.197668,0.183707,0.42826,0.498512,1.66032,0.355915,-0.80723,-0.266315,0.725821,-1.68822,-0.285971,-1.20047,-0.818155,0.170871,-0.0668277,-0.182484,0.744636,0.654027,-0.452644,-160.299
-168.25,0.793523,0.269411,4,15,0,178.273,0.188507,0.310625,0.249507,0.200216,0.686,1.716,0.240401,-0.997063,-0.293,0.647152,-1.75373,-0.360079,-1.17755,-1.0536,0.0577532,-0.00163582,-0.127898,0.618024,0.363483,0.148751,1.0038,0.188507,0.310625,0.249507,0.200216,0.686,1.716,0.240401,-0.997063,-0.293,0.647152,-1.75373,-0.360079,-1.17755,-1.0536,0.0577532,-0.00163582,-0.127898,0.618024,0.363483,0.486893,-162.018
-167.059,0.797116,0.269411,4,15,0,181.206,1.02093,0.908106,0.288305,-0.527393,0.143421,1.32623,1.41155,-0.882038,-0.337618,0.487548,-1.52802,-0.100773,-1.09603,-1.08459,-0.0574519,0.267453,-0.277063,0.810025,0.691954,0.531912,1.00045,1.02093,0.908106,0.288305,-0.527393,0.143421,1.32623,1.41155,-0.882038,-0.337618,0.487548,-1.52802,-0.100773,-1.09603,-1.08459,-0.0574519,0.267453,-0.277063,0.810025,0.691954,-1.46454,-159.848
-165.504,0.999169,0.269411,4,15,0,176.024,1.56554,1.40247,-0.162225,0.18606,0.173617,0.244326,1.38476,0.376914,-1.04963,0.89923,-0.892065,0.262743,-0.709736,-0.696553,-0.774058,0.0984597,0.157326,-0.201701,-0.97644,0.41064,0.957752,1.56554,1.40247,-0.162225,0.18606,0.173617,0.244326,1.38476,0.376914,-1.04963,0.89923,-0.892065,0.262743,-0.709736,-0.696553,-0.774058,0.0984597,0.157326,-0.201701,-0.97644,-1.28904,-158.908
-168.176,0.881203,0.269411,4,15,0,177.356,0.8131,0.810177,0.3218,0.107722,-0.713676,1.65457,2.30686,0.495873,0.344728,1.00729,-0.874384,-0.697027,-1.4005,-0.782137,-0.301994,0.664659,-0.716679,-1.25489,-0.442147,0.613232,1.07348,0.8131,0.810177,0.3218,0.107722,-0.713676,1.65457,2.30686,0.495873,0.344728,1.00729,-0.874384,-0.697027,-1.4005,-0.782137,-0.301994,0.664659,-0.716679,-1.25489,-0.442147,-1.34333,-158.472
-168.309,0.937949,0.269411,4,15,0,178.894,0.700345,0.521159,0.449862,0.229484,1.42068,-0.321017,-0.184915,-0.304121,-0.33611,0.349625,-0.868185,0.800435,-0.975244,-0.118212,-0.0674536,-0.368484,0.151321,0.642724,-0.090045,0.395674,1.07386,0.700345,0.521159,0.449862,0.229484,1.42068,-0.321017,-0.184915,-0.304121,-0.33611,0.349625,-0.868185,0.800435,-0.975244,-0.118212,-0.0674536,-0.368484,0.151321,0.642724,-0.090045,-1.63185,-164.503
-161.131,0.997011,0.269411,4,15,0,174.736,0.527861,0.575246,0.313333,-0.309181,0.374267,0.668347,1.13384,0.143236,-0.402268,-0.0349832,-0.893959,0.323306,-0.70189,-0.208877,-1.10351,-0.266461,0.00872076,0.396602,-0.455393,0.50222,0.92076,0.527861,0.575246,0.313333,-0.309181,0.374267,0.668347,1.13384,0.143236,-0.402268,-0.0349832,-0.893959,0.323306,-0.70189,-0.208877,-1.10351,-0.266461,0.00872076,0.396602,-0.455393,-0.088232,-157.522
-165.821,0.961787,0.269411,4,15,0,172.291,1.27388,-0.50759,0.208934,0.227247,0.192437,1.9418,0.752116,-0.704252,-0.0905306,0.833439,-0.338704,-0.105085,-1.38276,-0.301438,-0.16397,-0.597883,-0.184923,-0.335237,-0.0574795,0.260084,1.44848,1.27388,-0.50759,0.208934,0.227247,0.192437,1.9418,0.752116,-0.704252,-0.0905306,0.833439,-0.338704,-0.105085,-1.38276,-0.301438,-0.16397,-0.597883,-0.184923,-0.335237,-0.0574795,-0.660004,-160.003
-167.712,0.842647,0.269411,4,15,0,175.91,-0.251887,0.898303,0.316898,-0.150955,0.784452,-0.190833,0.707035,0.249688,-0.213687,0.042965,-2.02635,0.444232,-1.51294,-0.586345,-0.546208,0.499393,-0.0783727,0.637962,0.230469,0.715459,1.03949,-0.251887,0.898303,0.316898,-0.150955,0.784452,-0.190833,0.707035,0.249688,-0.213687,0.042965,-2.02635,0.444232,-1.51294,-0.586345,-0.546208,0.499393,-0.0783727,0.637962,0.230469,0.746177,-161.852
-169.12,0.933802,0.269411,4,15,0,179.43,0.569638,0.500693,-0.273076,-0.133192,1.11522,0.186308,0.650571,0.509432,0.107799,0.592556,-1.7253,0.374343,-1.653,0.0868826,-1.2313,0.856682,0.777702,0.519293,-0.384549,0.652626,0.961788,0.569638,0.500693,-0.273076,-0.133192,1.11522,0.186308,0.650571,0.509432,0.107799,0.592556,-1.7253,0.374343,-1.653,0.0868826,-1.2313,0.856682,0.777702,0.519293,-0.384549,-1.44671,-162.346
-171.484,0.978038,0.269411,4,15,0,182.977,0.161267,0.176412,0.446454,-0.451783,-0.287662,0.438543,0.469899,0.303874,0.493332,0.705194,-0.109448,-1.34117,-0.179075,-0.953594,1.22736,-0.296347,-0.450839,-0.626104,-0.574784,0.268446,0.854874,0.161267,0.176412,0.446454,-0.451783,-0.287662,0.438543,0.469899,0.303874,0.493332,0.705194,-0.109448,-1.34117,-0.179075,-0.953594,1.22736,-0.296347,-0.450839,-0.626104,-0.574784,0.848469,-167.395
-169.504,1,0.269411,4,15,0,184.753,0.945506,0.375023,-0.163987,-0.557408,-0.471618,0.571184,-0.0238488,0.689205,0.695467,0.705638,-0.775807,1.04713,-1.6914,0.0626305,-0.820545,0.246065,-0.465427,-0.924267,0.156357,0.881425,1.33588,0.945506,0.375023,-0.163987,-0.557408,-0.471618,0.571184,-0.0238488,0.689205,0.695467,0.705638,-0.775807,1.04713,-1.6914,0.0626305,-0.820545,0.246065,-0.465427,-0.924267,0.156357,0.400113,-163.628
-164.86,0.707985,0.269411,4,15,0,180.466,0.269901,0.67241,-0.639892,0.66155,0.127859,1.21499,-0.0429947,0.0766506,0.140143,0.0337034,-0.208001,-0.139019,-1.18068,-0.473916,0.694494,-0.364591,-0.330535,0.106774,-0.491073,0.446819,0.984588,0.269901,0.67241,-0.639892,0.66155,0.127859,1.21499,-0.0429947,0.0766506,0.140143,0.0337034,-0.208001,-0.139019,-1.18068,-0.473916,0.694494,-0.364591,-0.330535,0.106774,-0.491073,-0.12778,-161.484
