# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_4_model
# start_datetime = 2025-08-29 03:51:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/1wx8_saa.json
# init = 2 (Default)
# random
#   seed = 5766
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_4c6z9eeoy/bradley_terry_4-20250829005140_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,log_home_advantage,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.248532
# Diagonal elements of inverse mass matrix:
# 0.126244, 0.154982, 0.128046, 0.125541, 0.127803, 0.146672, 0.167864, 0.145872, 0.118561, 0.141956, 0.151568, 0.122956, 0.125636, 0.13427, 0.128278, 0.143974, 0.158155, 0.130332, 0.117733, 0.0185642, 0.0115165
-390.303,0.975299,0.248532,4,15,0,399.833,0.313261,1.64611,0.4737,0.00306854,0.460581,0.457574,1.24454,-0.885875,-0.332675,-0.0786008,-1.05131,-0.296779,1.04857,-0.891405,-0.401911,0.751275,-1.24174,-0.158975,-0.656888,0.669733,0.811426,0.313261,1.64611,0.4737,0.00306854,0.460581,0.457574,1.24454,-0.885875,-0.332675,-0.0786008,-1.05131,-0.296779,1.04857,-0.891405,-0.401911,0.751275,-1.24174,-0.158975,-0.656888,-0.402521,-383.682
-391.297,0.88788,0.248532,4,15,0,402.762,0.300827,0.464678,0.670198,-0.398635,-0.194057,0.175811,1.51617,-0.155649,0.389885,1.33657,-1.65297,-0.321328,-0.509623,-0.0928524,-0.935801,0.203786,-0.291747,0.399882,-0.250557,0.301519,0.982966,0.300827,0.464678,0.670198,-0.398635,-0.194057,0.175811,1.51617,-0.155649,0.389885,1.33657,-1.65297,-0.321328,-0.509623,-0.0928524,-0.935801,0.203786,-0.291747,0.399882,-0.250557,-0.654583,-385.964
-390.169,1,0.248532,4,15,0,402.211,0.463521,0.978449,0.281854,-0.34661,1.17398,-0.503916,1.75837,-0.580057,-0.0873782,0.28113,-0.877358,-0.792227,0.531249,-0.512446,-0.639313,0.0994702,-0.922033,0.543534,-0.592829,0.519065,0.855766,0.463521,0.978449,0.281854,-0.34661,1.17398,-0.503916,1.75837,-0.580057,-0.0873782,0.28113,-0.877358,-0.792227,0.531249,-0.512446,-0.639313,0.0994702,-0.922033,0.543534,-0.592829,-0.257392,-384.324
-391.137,0.906243,0.248532,4,15,0,404.647,0.354098,1.04973,1.40966,0.128486,-0.572779,1.03408,1.19773,-0.900232,0.155136,0.747756,-1.86978,0.169979,-0.242206,-0.511742,-0.845043,1.03875,-1.00773,-0.415859,-0.594496,0.757087,1.05601,0.354098,1.04973,1.40966,0.128486,-0.572779,1.03408,1.19773,-0.900232,0.155136,0.747756,-1.86978,0.169979,-0.242206,-0.511742,-0.845043,1.03875,-1.00773,-0.415859,-0.594496,-0.325545,-383.029
-388.071,0.991798,0.248532,4,15,0,398.321,0.600028,1.06239,0.835377,-0.0580956,0.650651,-0.323908,1.73861,-0.227868,-0.462839,0.531139,-1.02395,-0.172118,0.150102,-0.0189209,-0.877038,-0.246596,-1.08604,-0.203714,-0.520905,0.395365,0.763975,0.600028,1.06239,0.835377,-0.0580956,0.650651,-0.323908,1.73861,-0.227868,-0.462839,0.531139,-1.02395,-0.172118,0.150102,-0.0189209,-0.877038,-0.246596,-1.08604,-0.203714,-0.520905,-0.346291,-382.575
-389.585,0.949938,0.248532,4,15,0,398.127,-0.266125,1.48252,0.526516,-0.263407,0.574887,0.515018,1.66158,-0.939424,0.238158,0.262645,-1.00216,-1.07188,0.212878,-0.367401,-0.939501,0.679493,-0.428743,-0.0114721,-0.286433,0.823499,1.04396,-0.266125,1.48252,0.526516,-0.263407,0.574887,0.515018,1.66158,-0.939424,0.238158,0.262645,-1.00216,-1.07188,0.212878,-0.367401,-0.939501,0.679493,-0.428743,-0.0114721,-0.286433,-0.577145,-383.282
-390.016,0.994468,0.248532,4,15,0,400.587,0.931649,0.526886,1.16303,0.0926387,-0.225196,-0.159568,1.64515,-0.350358,-0.17713,1.0123,-1.53885,0.125773,-0.171065,-0.818816,-0.265973,0.420727,-1.22568,0.231891,-0.783804,0.295304,0.840365,0.931649,0.526886,1.16303,0.0926387,-0.225196,-0.159568,1.64515,-0.350358,-0.17713,1.0123,-1.53885,0.125773,-0.171065,-0.818816,-0.265973,0.420727,-1.22568,0.231891,-0.783804,-0.433612,-383.46
-389.53,0.943878,0.248532,4,15,0,396.113,-0.245947,1.61052,0.405611,-0.275805,0.616951,0.731789,1.2451,-0.687903,0.202867,0.201433,-1.13612,-0.723751,0.471794,-0.151167,-1.13932,0.419184,-0.395709,-0.251365,-0.260327,0.773003,0.951696,-0.245947,1.61052,0.405611,-0.275805,0.616951,0.731789,1.2451,-0.687903,0.202867,0.201433,-1.13612,-0.723751,0.471794,-0.151167,-1.13932,0.419184,-0.395709,-0.251365,-0.260327,-0.637836,-383.86
-393.848,0.983047,0.248532,4,15,0,404.45,0.690289,1.96622,0.419426,-0.753491,0.200811,0.115934,1.31019,-1.01451,0.71227,0.644534,-0.868156,-0.585578,0.045503,-0.436517,-0.560636,-0.421298,-0.599759,0.065234,-0.360259,0.809908,1.15232,0.690289,1.96622,0.419426,-0.753491,0.200811,0.115934,1.31019,-1.01451,0.71227,0.644534,-0.868156,-0.585578,0.045503,-0.436517,-0.560636,-0.421298,-0.599759,0.065234,-0.360259,-0.570203,-387.456
-397.116,0.950429,0.248532,4,15,0,408.011,-0.579388,0.178158,1.26953,0.377816,0.183394,0.839662,1.28876,-0.361135,-0.244033,1.46433,-1.93964,-0.279907,0.482649,-0.444168,-0.896225,1.09193,-1.24743,0.0948572,-0.817498,0.347898,0.820748,-0.579388,0.178158,1.26953,0.377816,0.183394,0.839662,1.28876,-0.361135,-0.244033,1.46433,-1.93964,-0.279907,0.482649,-0.444168,-0.896225,1.09193,-1.24743,0.0948572,-0.817498,-0.461671,-388.844
-390.31,0.993187,0.248532,4,15,0,407.738,0.879609,1.32781,1.11424,-0.619699,0.69726,0.529095,1.1409,-0.960486,0.686505,0.125841,-1.21221,-1.05902,0.285841,-0.470925,-0.755222,-0.217151,-0.837307,0.315158,-0.685289,0.484195,1.02938,0.879609,1.32781,1.11424,-0.619699,0.69726,0.529095,1.1409,-0.960486,0.686505,0.125841,-1.21221,-1.05902,0.285841,-0.470925,-0.755222,-0.217151,-0.837307,0.315158,-0.685289,-0.284953,-383.481
-389.636,0.988661,0.248532,4,15,0,395.154,-0.173741,0.872661,0.478358,0.156326,-0.298278,0.112143,1.88006,-0.163635,-0.675037,1.10307,-1.56767,0.337623,0.0312056,-0.394222,-0.70611,0.893601,-1.03371,-0.356319,-0.455577,0.648067,0.846817,-0.173741,0.872661,0.478358,0.156326,-0.298278,0.112143,1.88006,-0.163635,-0.675037,1.10307,-1.56767,0.337623,0.0312056,-0.394222,-0.70611,0.893601,-1.03371,-0.356319,-0.455577,-0.0407609,-382.997
