# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_4_model
# start_datetime = 2025-08-29 03:51:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/1wx8_saa.json
# init = 2 (Default)
# random
#   seed = 5766
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_4c6z9eeoy/bradley_terry_4-20250829005140_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,log_home_advantage,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.244821
# Diagonal elements of inverse mass matrix:
# 0.148527, 0.169073, 0.137001, 0.151542, 0.129692, 0.139281, 0.164097, 0.138195, 0.160914, 0.143227, 0.180114, 0.122087, 0.14526, 0.126977, 0.147634, 0.152614, 0.135252, 0.13314, 0.117933, 0.0178895, 0.012341
-388.363,0.977186,0.244821,4,15,0,401.496,1.07247,0.788232,0.762267,-0.234712,0.00685333,0.0101004,1.54264,-0.0644524,0.0486279,0.130533,-1.70421,0.0312822,-5.24982e-05,-0.956176,-0.203464,0.597784,-0.874128,-0.303586,-0.745305,0.496353,0.761637,1.07247,0.788232,0.762267,-0.234712,0.00685333,0.0101004,1.54264,-0.0644524,0.0486279,0.130533,-1.70421,0.0312822,-5.24982e-05,-0.956176,-0.203464,0.597784,-0.874128,-0.303586,-0.745305,0.0952891,-382.457
-390.362,0.942258,0.244821,4,15,0,399.922,0.235474,0.753718,1.80585,-0.407924,0.0441144,0.756574,0.949385,-0.714168,-0.196673,1.02047,-1.25263,-0.00623971,-0.333866,-0.851884,-0.322003,0.306776,-1.42231,0.445942,-0.718391,0.443319,0.908434,0.235474,0.753718,1.80585,-0.407924,0.0441144,0.756574,0.949385,-0.714168,-0.196673,1.02047,-1.25263,-0.00623971,-0.333866,-0.851884,-0.322003,0.306776,-1.42231,0.445942,-0.718391,-0.0922176,-383.526
-386.984,0.996476,0.244821,4,15,0,397.511,0.422309,0.940417,1.19916,0.347405,0.188943,0.345837,1.98145,-1.00129,-0.241046,0.793714,-1.5081,-0.604596,0.514116,-0.720266,-0.529295,0.11453,-1.15845,-0.139201,-0.882711,0.399539,1.12083,0.422309,0.940417,1.19916,0.347405,0.188943,0.345837,1.98145,-1.00129,-0.241046,0.793714,-1.5081,-0.604596,0.514116,-0.720266,-0.529295,0.11453,-1.15845,-0.139201,-0.882711,-0.0629185,-379.265
-390.473,0.976507,0.244821,4,15,0,396.519,0.226198,0.634233,0.730588,0.234382,-0.010172,0.0789804,2.4926,-0.940707,0.26146,1.16126,-2.00703,-0.433314,0.541269,-0.706433,-0.905681,0.347394,-0.774948,-0.0812423,-0.677173,0.277051,1.05176,0.226198,0.634233,0.730588,0.234382,-0.010172,0.0789804,2.4926,-0.940707,0.26146,1.16126,-2.00703,-0.433314,0.541269,-0.706433,-0.905681,0.347394,-0.774948,-0.0812423,-0.677173,-0.171668,-381.643
-390.155,0.849937,0.244821,4,15,0,401.326,0.345279,1.3859,0.784442,-0.496522,0.516712,0.270215,0.726662,-0.313625,-0.260181,0.246674,-0.90364,-0.809739,-0.495707,-0.137006,-0.597094,0.379161,-0.806737,0.418212,-0.526848,0.816571,0.878963,0.345279,1.3859,0.784442,-0.496522,0.516712,0.270215,0.726662,-0.313625,-0.260181,0.246674,-0.90364,-0.809739,-0.495707,-0.137006,-0.597094,0.379161,-0.806737,0.418212,-0.526848,0.273844,-385.638
-388.184,0.800922,0.244821,4,15,0,400.233,0.835883,0.508201,0.574227,0.377838,0.428674,0.556022,1.18031,-0.266275,-0.193829,0.611837,-1.58896,-0.0889264,0.569577,-0.714407,-1.31818,0.421817,-0.812559,-0.104749,-0.866656,0.32119,0.864573,0.835883,0.508201,0.574227,0.377838,0.428674,0.556022,1.18031,-0.266275,-0.193829,0.611837,-1.58896,-0.0889264,0.569577,-0.714407,-1.31818,0.421817,-0.812559,-0.104749,-0.866656,-0.109835,-382.361
-385.958,0.996551,0.244821,4,15,0,395.919,0.849301,1.01052,0.863891,-0.0800212,0.0977832,-0.272677,1.05662,-0.478219,0.182506,0.841778,-1.56609,-0.327497,0.742449,-0.563659,-1.09372,0.100468,-0.939626,-0.0371755,-0.253443,0.38801,0.829965,0.849301,1.01052,0.863891,-0.0800212,0.0977832,-0.272677,1.05662,-0.478219,0.182506,0.841778,-1.56609,-0.327497,0.742449,-0.563659,-1.09372,0.100468,-0.939626,-0.0371755,-0.253443,-0.13319,-380.227
-386.035,0.904814,0.244821,4,15,0,397.453,-0.116303,1.10876,0.861833,-0.306631,0.55967,0.685746,1.90678,-0.945359,-0.342829,1.02135,-1.18334,-0.357392,-0.244065,-0.580889,-0.449555,0.717494,-1.18125,-0.128492,-0.583288,0.731997,1.07516,-0.116303,1.10876,0.861833,-0.306631,0.55967,0.685746,1.90678,-0.945359,-0.342829,1.02135,-1.18334,-0.357392,-0.244065,-0.580889,-0.449555,0.717494,-1.18125,-0.128492,-0.583288,-0.442238,-378.788
-391.296,0.882374,0.244821,4,15,0,398.524,0.632497,1.48996,0.504762,0.0353439,0.280152,0.176429,2.07954,-0.742087,0.507624,1.103,-2.02593,-0.700515,-0.214672,-0.91665,-0.762008,0.495603,-0.123505,-0.184475,-1.28716,0.379158,0.866903,0.632497,1.48996,0.504762,0.0353439,0.280152,0.176429,2.07954,-0.742087,0.507624,1.103,-2.02593,-0.700515,-0.214672,-0.91665,-0.762008,0.495603,-0.123505,-0.184475,-1.28716,-0.347914,-382.031
-384.737,0.99947,0.244821,4,15,0,396.505,0.0411986,0.784902,0.572393,-0.613354,0.345449,0.633455,2.18606,-0.665055,-0.344695,0.472831,-1.13929,-0.285688,0.598222,-0.515572,-0.783383,0.292627,-1.01578,-0.0621984,-0.30086,0.605856,0.872197,0.0411986,0.784902,0.572393,-0.613354,0.345449,0.633455,2.18606,-0.665055,-0.344695,0.472831,-1.13929,-0.285688,0.598222,-0.515572,-0.783383,0.292627,-1.01578,-0.0621984,-0.30086,-0.201263,-378.419
-386.284,0.955059,0.244821,4,15,0,393.324,0.822464,1.47867,0.906584,0.224431,0.078132,-0.037162,0.742939,-0.496467,0.328833,0.547543,-1.57924,-0.861244,-0.351998,-0.177462,-0.74647,0.514246,-0.705828,0.105409,-0.499319,0.511146,0.922851,0.822464,1.47867,0.906584,0.224431,0.078132,-0.037162,0.742939,-0.496467,0.328833,0.547543,-1.57924,-0.861244,-0.351998,-0.177462,-0.74647,0.514246,-0.705828,0.105409,-0.499319,-0.294062,-380.687
-388.198,0.792304,0.244821,4,15,0,396.7,0.209649,0.648,1.20692,-0.864818,0.474619,1.10085,1.88477,-0.198308,-0.106587,0.95192,-1.22204,-0.357246,0.190297,-0.555425,-0.779004,-0.239811,-0.924369,-0.282347,-0.728939,0.549938,0.965356,0.209649,0.648,1.20692,-0.864818,0.474619,1.10085,1.88477,-0.198308,-0.106587,0.95192,-1.22204,-0.357246,0.190297,-0.555425,-0.779004,-0.239811,-0.924369,-0.282347,-0.728939,-0.408141,-381.191
-392.228,0.976503,0.244821,4,15,0,395.273,0.518049,1.50395,0.234718,0.2857,-0.109608,-0.805674,0.913722,-0.839487,0.0749938,0.40298,-1.48424,0.165851,-0.220923,-0.448883,-0.744106,1.02162,-0.613198,0.445657,-0.344919,0.557087,0.836303,0.518049,1.50395,0.234718,0.2857,-0.109608,-0.805674,0.913722,-0.839487,0.0749938,0.40298,-1.48424,0.165851,-0.220923,-0.448883,-0.744106,1.02162,-0.613198,0.445657,-0.344919,0.0437976,-386.64
-390.371,0.928343,0.244821,4,15,0,401.923,0.187578,0.953666,0.361653,-0.283203,0.0578693,0.952575,2.27037,-0.616818,0.0768351,0.180855,-1.27824,-0.58882,0.148779,-0.739724,-0.677006,-0.466908,-0.90579,-0.0126653,0.0918249,0.66177,1.00142,0.187578,0.953666,0.361653,-0.283203,0.0578693,0.952575,2.27037,-0.616818,0.0768351,0.180855,-1.27824,-0.58882,0.148779,-0.739724,-0.677006,-0.466908,-0.90579,-0.0126653,0.0918249,0.287176,-383.804
-393.803,0.972963,0.244821,4,15,0,402.607,0.336664,1.42704,0.393722,-0.726718,0.528971,1.34106,2.35053,0.00358914,-0.0655492,0.294711,-1.56506,-0.59666,0.300318,-0.554155,-0.932672,-0.412634,-0.959104,-0.225445,-0.12178,0.591764,0.977653,0.336664,1.42704,0.393722,-0.726718,0.528971,1.34106,2.35053,0.00358914,-0.0655492,0.294711,-1.56506,-0.59666,0.300318,-0.554155,-0.932672,-0.412634,-0.959104,-0.225445,-0.12178,-0.816828,-385.249
-394.015,0.936299,0.244821,4,15,0,407.411,-0.263394,1.13275,0.0899235,-0.320916,0.628655,-0.565124,0.656107,-0.640535,0.155385,0.788702,-1.34547,-0.418745,0.479998,-0.579134,0.229719,0.889794,-0.745884,0.478576,-0.706099,0.698744,0.920931,-0.263394,1.13275,0.0899235,-0.320916,0.628655,-0.565124,0.656107,-0.640535,0.155385,0.788702,-1.34547,-0.418745,0.479998,-0.579134,0.229719,0.889794,-0.745884,0.478576,-0.706099,0.0556976,-389.092
-395.384,0.999708,0.244821,4,15,0,400.096,0.928079,1.07151,1.64487,-0.15751,-0.248181,1.11966,2.3368,-0.612433,-0.203232,0.576629,-1.58307,-0.055579,-0.240958,-0.407721,-1.7472,-0.0774721,-1.06846,-0.528283,-0.770172,0.431576,0.988609,0.928079,1.07151,1.64487,-0.15751,-0.248181,1.11966,2.3368,-0.612433,-0.203232,0.576629,-1.58307,-0.055579,-0.240958,-0.407721,-1.7472,-0.0774721,-1.06846,-0.528283,-0.770172,0.022739,-384.756
-394.52,1,0.244821,4,15,0,404.008,-0.219836,1.18423,-0.0492315,-0.26914,0.684023,-0.552836,0.714544,-0.568154,0.245211,0.707654,-1.36704,-0.541142,0.470126,-0.63236,0.231545,0.893281,-0.882699,0.533294,-0.366623,0.699134,0.926518,-0.219836,1.18423,-0.0492315,-0.26914,0.684023,-0.552836,0.714544,-0.568154,0.245211,0.707654,-1.36704,-0.541142,0.470126,-0.63236,0.231545,0.893281,-0.882699,0.533294,-0.366623,-0.214842,-389.508
