# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_4_model
# start_datetime = 2025-08-29 03:51:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/s8119hcv.json
# init = 2 (Default)
# random
#   seed = 66144
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_44z7w_bec/bradley_terry_4-20250829005143_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,log_home_advantage,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.388787
# Diagonal elements of inverse mass matrix:
# 0.479977, 0.534335, 0.587344, 0.600715, 0.561965, 0.499149, 0.543199, 0.569056, 0.444871, 0.560209, 0.657782, 0.567888, 0.524282, 0.521321, 0.62011, 0.444996, 0.584904, 0.545427, 0.576066, 0.146761, 0.0790443
-62.792,0.912095,0.388787,4,15,0,71.9142,0.116782,0.463672,-1.1025,-0.364758,-1.00674,-0.669246,-1.04807,-0.397037,0.817745,1.29801,0.075272,0.738907,-0.731222,-0.530211,-0.204019,1.25662,0.471577,-0.331316,1.04353,1.18665,1.01156,0.116782,0.463672,-1.1025,-0.364758,-1.00674,-0.669246,-1.04807,-0.397037,0.817745,1.29801,0.075272,0.738907,-0.731222,-0.530211,-0.204019,1.25662,0.471577,-0.331316,1.04353,0.103002,-56.0591
-59.2488,0.893665,0.388787,3,7,0,75.2695,0.119339,0.585962,-0.949424,-0.288512,-0.0530957,-0.593853,-0.796237,-0.0140371,0.710114,1.43454,0.225436,-0.0588527,-1.35296,-0.554267,-0.357018,1.26296,0.417588,-0.423,0.894351,0.920046,1.01603,0.119339,0.585962,-0.949424,-0.288512,-0.0530957,-0.593853,-0.796237,-0.0140371,0.710114,1.43454,0.225436,-0.0588527,-1.35296,-0.554267,-0.357018,1.26296,0.417588,-0.423,0.894351,-0.209041,-53.3445
-61.0939,0.847307,0.388787,4,15,0,67.4014,0.821578,-0.0129596,0.891263,1.07441,0.748861,-0.105081,0.518459,-0.502401,-0.242272,0.697046,-1.03777,0.419157,-1.33751,0.439746,-1.86961,-2.04216,0.568359,1.36393,-0.602363,-0.0980901,0.943236,0.821578,-0.0129596,0.891263,1.07441,0.748861,-0.105081,0.518459,-0.502401,-0.242272,0.697046,-1.03777,0.419157,-1.33751,0.439746,-1.86961,-2.04216,0.568359,1.36393,-0.602363,0.209312,-51.7316
-59.9691,0.930316,0.388787,4,15,0,73.7256,-0.0906682,0.775652,-1.24902,0.149056,0.143577,-0.358999,-0.82332,0.269716,0.999145,1.55403,-0.255429,0.421733,-1.08162,-0.704134,0.164803,0.679886,0.388552,-0.370387,0.919231,1.05809,1.314,-0.0906682,0.775652,-1.24902,0.149056,0.143577,-0.358999,-0.82332,0.269716,0.999145,1.55403,-0.255429,0.421733,-1.08162,-0.704134,0.164803,0.679886,0.388552,-0.370387,0.919231,-1.53181,-53.8007
-61.8468,0.965926,0.388787,4,15,0,69.5482,0.213133,1.18579,0.961596,0.185754,0.386213,0.157932,1.10502,-0.553236,0.33868,0.165629,-0.141208,0.411452,-2.56549,-0.836459,-1.51583,-0.26984,1.118,1.28183,-1.00102,0.0377366,0.704158,0.213133,1.18579,0.961596,0.185754,0.386213,0.157932,1.10502,-0.553236,0.33868,0.165629,-0.141208,0.411452,-2.56549,-0.836459,-1.51583,-0.26984,1.118,1.28183,-1.00102,-0.627949,-52.2523
-62.0572,0.92836,0.388787,4,15,0,68.2504,0.204438,-0.69997,-1.29596,0.852293,0.0955676,-0.822232,-1.06675,-0.298922,0.368836,1.78769,-0.9377,0.106326,0.33105,0.703674,0.0755427,-0.375385,0.15691,-0.376142,1.28289,0.985247,1.41563,0.204438,-0.69997,-1.29596,0.852293,0.0955676,-0.822232,-1.06675,-0.298922,0.368836,1.78769,-0.9377,0.106326,0.33105,0.703674,0.0755427,-0.375385,0.15691,-0.376142,1.28289,-0.0921637,-55.0995
-61.291,0.82486,0.388787,4,15,0,71.2624,0.28227,1.41065,0.879058,0.537453,0.535462,0.189401,1.11471,-0.476786,0.116864,-0.0458918,-0.131375,0.718625,-2.03429,-0.778454,-1.68405,-0.402392,1.19105,0.992894,-1.12594,0.254729,0.687227,0.28227,1.41065,0.879058,0.537453,0.535462,0.189401,1.11471,-0.476786,0.116864,-0.0458918,-0.131375,0.718625,-2.03429,-0.778454,-1.68405,-0.402392,1.19105,0.992894,-1.12594,-1.28927,-52.2035
-63.1166,0.817826,0.388787,3,7,0,77.8467,1.56836,0.917485,0.1397,0.0441764,0.855616,0.716816,0.461126,0.400465,-1.27914,0.932293,-0.739976,-0.191621,-2.55358,-0.659598,-0.529672,-0.658863,1.12267,0.549547,-0.935276,0.307989,0.547798,1.56836,0.917485,0.1397,0.0441764,0.855616,0.716816,0.461126,0.400465,-1.27914,0.932293,-0.739976,-0.191621,-2.55358,-0.659598,-0.529672,-0.658863,1.12267,0.549547,-0.935276,-0.160536,-53.2477
-61.5069,0.818949,0.388787,4,15,0,71.0468,-0.642654,-0.253713,-0.381386,0.918396,-0.564879,-0.850576,-0.506361,-1.03449,1.41618,1.3786,-0.584644,0.263974,0.519655,0.463136,-0.973216,0.217322,0.645607,0.426718,1.41557,0.596685,1.29972,-0.642654,-0.253713,-0.381386,0.918396,-0.564879,-0.850576,-0.506361,-1.03449,1.41618,1.3786,-0.584644,0.263974,0.519655,0.463136,-0.973216,0.217322,0.645607,0.426718,1.41557,-1.87323,-54.6291
-63.7663,0.858851,0.388787,4,15,0,74.0164,1.49859,0.776957,0.394107,0.136935,1.22973,0.0246309,0.341766,-0.0826189,-1.12045,0.359837,-0.454219,0.423895,-2.63954,-0.971867,-0.501197,-1.19518,0.336881,0.832744,-1.07386,0.473237,0.696872,1.49859,0.776957,0.394107,0.136935,1.22973,0.0246309,0.341766,-0.0826189,-1.12045,0.359837,-0.454219,0.423895,-2.63954,-0.971867,-0.501197,-1.19518,0.336881,0.832744,-1.07386,1.68286,-54.0592
