# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_4_model
# start_datetime = 2025-08-29 03:51:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/iv5h5509.json
# init = 2 (Default)
# random
#   seed = 680
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_4d3b1mp6w/bradley_terry_4-20250829005153_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,log_home_advantage,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.265791
# Diagonal elements of inverse mass matrix:
# 0.342733, 0.410936, 0.379441, 0.394255, 0.447197, 0.355752, 0.411214, 0.344941, 0.436759, 0.421188, 0.388912, 0.38409, 0.384569, 0.39648, 0.43217, 0.362065, 0.378567, 0.388026, 0.435554, 0.0701446, 0.0453161
-106.569,0.953131,0.265791,4,15,0,120.388,0.300228,-1.36308,0.300059,-0.832702,2.12578,-0.425821,-1.42633,0.661039,0.710427,-0.753141,1.01758,-0.865459,0.00738615,-0.00169884,-0.889636,-0.386577,0.958443,0.0741876,-1.21623,1.21565,1.02032,0.300228,-1.36308,0.300059,-0.832702,2.12578,-0.425821,-1.42633,0.661039,0.710427,-0.753141,1.01758,-0.865459,0.00738615,-0.00169884,-0.889636,-0.386577,0.958443,0.0741876,-1.21623,2.00555,-97.2781
-107.764,0.986233,0.265791,4,15,0,116.5,0.731906,-0.9554,1.3236,1.01893,0.438811,-0.0696608,0.283803,-0.0493081,0.0448952,-1.06397,0.490883,-0.913984,1.60807,-0.554046,1.4483,-2.17775,-0.418301,-0.211508,-0.467811,0.560769,1.0675,0.731906,-0.9554,1.3236,1.01893,0.438811,-0.0696608,0.283803,-0.0493081,0.0448952,-1.06397,0.490883,-0.913984,1.60807,-0.554046,1.4483,-2.17775,-0.418301,-0.211508,-0.467811,-0.50747,-98.6519
-106.837,0.99641,0.265791,4,15,0,119.124,0.765141,-1.47853,2.05971,-0.594038,1.14906,0.481745,-1.34336,-0.951058,0.164612,-2.19481,1.60663,-0.897398,0.335697,-0.285924,0.642179,-0.203867,0.675638,0.255834,-1.1883,1.20016,0.826215,0.765141,-1.47853,2.05971,-0.594038,1.14906,0.481745,-1.34336,-0.951058,0.164612,-2.19481,1.60663,-0.897398,0.335697,-0.285924,0.642179,-0.203867,0.675638,0.255834,-1.1883,1.00104,-94.3641
-108.269,0.989467,0.265791,4,15,0,117.941,-0.28726,-1.03041,-0.210254,0.830545,1.18431,-0.52618,0.0226329,0.967935,0.553372,0.714584,-0.112982,-0.821913,0.825253,0.449598,-0.188289,-1.49984,-0.649432,-0.23678,-0.620268,0.522445,1.10863,-0.28726,-1.03041,-0.210254,0.830545,1.18431,-0.52618,0.0226329,0.967935,0.553372,0.714584,-0.112982,-0.821913,0.825253,0.449598,-0.188289,-1.49984,-0.649432,-0.23678,-0.620268,0.635376,-102.605
-106.53,0.991224,0.265791,4,15,0,119.241,1.27347,-0.822384,1.68024,-0.818605,0.761574,0.189531,-1.38927,-0.112091,0.631839,-1.60916,0.823192,-0.23772,0.636619,-1.14148,0.175017,-0.118266,0.353212,0.250599,-1.05005,1.28839,0.761617,1.27347,-0.822384,1.68024,-0.818605,0.761574,0.189531,-1.38927,-0.112091,0.631839,-1.60916,0.823192,-0.23772,0.636619,-1.14148,0.175017,-0.118266,0.353212,0.250599,-1.05005,0.523724,-97.5797
-104.841,0.983155,0.265791,4,15,0,115.788,-0.525713,-1.4997,0.7298,1.02683,1.37887,-0.588364,0.336013,0.0550599,0.0494325,-0.0263853,0.871145,-1.61411,0.636584,0.770639,-0.169426,-1.19674,-0.457186,0.0196591,-0.239677,0.578462,1.17275,-0.525713,-1.4997,0.7298,1.02683,1.37887,-0.588364,0.336013,0.0550599,0.0494325,-0.0263853,0.871145,-1.61411,0.636584,0.770639,-0.169426,-1.19674,-0.457186,0.0196591,-0.239677,0.443276,-97.8604
