# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_4_model
# start_datetime = 2025-08-29 03:51:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/g_ffnij8.json
# init = 2 (Default)
# random
#   seed = 11617
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_4vndj3aas/bradley_terry_4-20250829005156_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,log_home_advantage,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.301104
# Diagonal elements of inverse mass matrix:
# 0.27242, 0.312485, 0.282557, 0.237139, 0.23438, 0.235446, 0.23126, 0.253128, 0.251851, 0.219754, 0.228072, 0.263347, 0.210889, 0.211282, 0.210584, 0.207488, 0.2264, 0.196612, 0.304908, 0.0412257, 0.0267234
-205.496,0.827267,0.301104,4,15,0,219.6,1.79661,-0.189299,0.984523,-0.147504,0.645769,0.503792,-0.00911447,-0.644889,0.39759,-0.94766,-0.563791,-0.950021,0.113261,-0.368735,0.245329,-0.00459212,0.779723,-0.39936,-1.62703,0.720619,0.792128,1.79661,-0.189299,0.984523,-0.147504,0.645769,0.503792,-0.00911447,-0.644889,0.39759,-0.94766,-0.563791,-0.950021,0.113261,-0.368735,0.245329,-0.00459212,0.779723,-0.39936,-1.62703,0.3854,-199.069
-204.236,0.937661,0.301104,4,15,0,219.992,-0.0597926,-1.87965,1.28222,0.563054,1.49163,0.157356,0.469552,0.0349889,1.00818,-0.389399,-0.172512,-0.453386,0.257606,-0.658384,-0.292218,-0.839456,0.167718,-0.00662243,-1.51232,1.00631,1.19911,-0.0597926,-1.87965,1.28222,0.563054,1.49163,0.157356,0.469552,0.0349889,1.00818,-0.389399,-0.172512,-0.453386,0.257606,-0.658384,-0.292218,-0.839456,0.167718,-0.00662243,-1.51232,0.831431,-196.704
-205.485,0.996707,0.301104,4,15,0,211.806,0.335412,-1.68357,0.748576,0.721294,1.35413,0.375042,0.470041,0.0104209,1.37453,-0.282939,-0.0880753,-0.430823,0.197487,-0.833468,-0.446124,-0.673843,0.392811,-0.368897,-1.43978,1.04934,1.02516,0.335412,-1.68357,0.748576,0.721294,1.35413,0.375042,0.470041,0.0104209,1.37453,-0.282939,-0.0880753,-0.430823,0.197487,-0.833468,-0.446124,-0.673843,0.392811,-0.368897,-1.43978,0.267765,-198.366
-207.871,0.892625,0.301104,4,15,0,220.959,0.843209,-0.979727,1.96045,0.106502,0.950975,0.182957,0.387982,-0.315662,-0.418032,-0.488557,-0.084911,-1.99694,1.21652,-0.220092,1.2386,-0.360718,-1.0229,-0.342806,-1.50054,0.490793,0.943828,0.843209,-0.979727,1.96045,0.106502,0.950975,0.182957,0.387982,-0.315662,-0.418032,-0.488557,-0.084911,-1.99694,1.21652,-0.220092,1.2386,-0.360718,-1.0229,-0.342806,-1.50054,0.843697,-198.383
-213.036,0.878324,0.301104,4,15,0,228.449,1.34652,-0.963338,1.9632,-0.731267,0.97204,0.233784,-0.955409,1.15276,1.18827,-0.59319,-0.871449,-1.55433,0.237612,-0.739614,-0.369952,-0.12187,0.0917183,0.428576,-0.734571,1.10413,0.958318,1.34652,-0.963338,1.9632,-0.731267,0.97204,0.233784,-0.955409,1.15276,1.18827,-0.59319,-0.871449,-1.55433,0.237612,-0.739614,-0.369952,-0.12187,0.0917183,0.428576,-0.734571,0.0205089,-203.526
-206.727,0.999628,0.301104,4,15,0,218.99,0.762704,-0.876227,1.92129,-0.787021,0.627547,0.152305,-0.641702,0.37531,1.27602,-0.645017,-0.465072,-0.77881,0.115051,-1.53327,-0.121428,-0.000174678,-0.0867231,0.564769,-0.854937,0.90243,0.895869,0.762704,-0.876227,1.92129,-0.787021,0.627547,0.152305,-0.641702,0.37531,1.27602,-0.645017,-0.465072,-0.77881,0.115051,-1.53327,-0.121428,-0.000174678,-0.0867231,0.564769,-0.854937,0.995391,-199.342
-205.665,0.984471,0.301104,4,15,0,214.151,1.50368,-1.24226,1.90471,0.0935673,0.927745,0.122718,-0.458178,0.13348,1.37757,-0.935639,0.00622309,-0.448101,0.180105,-1.20867,-0.551087,-0.658443,-0.221534,0.0405698,-1.60739,1.07909,0.837912,1.50368,-1.24226,1.90471,0.0935673,0.927745,0.122718,-0.458178,0.13348,1.37757,-0.935639,0.00622309,-0.448101,0.180105,-1.20867,-0.551087,-0.658443,-0.221534,0.0405698,-1.60739,1.04093,-196.364
-205.147,0.898395,0.301104,4,15,0,216.068,0.0305338,-1.16972,1.73679,-0.538521,0.95995,0.31516,0.394698,0.126462,0.89693,-0.764171,-0.677443,-0.927826,0.709174,-0.0298346,0.421748,-0.830377,-0.576866,0.146011,-1.32049,0.485587,1.19031,0.0305338,-1.16972,1.73679,-0.538521,0.95995,0.31516,0.394698,0.126462,0.89693,-0.764171,-0.677443,-0.927826,0.709174,-0.0298346,0.421748,-0.830377,-0.576866,0.146011,-1.32049,1.09779,-198.472
-211.481,0.978258,0.301104,4,15,0,221.332,0.0374273,-1.62169,1.50708,0.0471452,0.314938,-0.214506,0.0640213,0.879687,-0.230069,1.22201,1.0026,-0.0998233,0.517112,-0.820251,0.129008,-1.01014,-0.207486,-0.331671,-1.71354,0.700576,0.773351,0.0374273,-1.62169,1.50708,0.0471452,0.314938,-0.214506,0.0640213,0.879687,-0.230069,1.22201,1.0026,-0.0998233,0.517112,-0.820251,0.129008,-1.01014,-0.207486,-0.331671,-1.71354,0.528141,-203.952
