# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_4_model
# start_datetime = 2025-08-29 03:51:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/2hp25mrm.json
# init = 2 (Default)
# random
#   seed = 88902
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_4_28rxc02/bradley_terry_4-20250829005149_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,log_home_advantage,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.231806
# Diagonal elements of inverse mass matrix:
# 0.126397, 0.147435, 0.154879, 0.113687, 0.160488, 0.167125, 0.133722, 0.121895, 0.123381, 0.121022, 0.13273, 0.125619, 0.133295, 0.145137, 0.143118, 0.115453, 0.119779, 0.122127, 0.153038, 0.0177584, 0.0120667
-392.741,0.917998,0.231806,4,15,0,402.325,0.61524,-0.985344,0.42339,0.459208,1.48469,-0.856145,0.0774212,-0.535762,0.835821,-0.263495,0.405758,-0.019273,1.16398,-0.919413,0.362413,-0.280437,-0.267208,0.246179,-1.94309,0.528948,0.908962,0.61524,-0.985344,0.42339,0.459208,1.48469,-0.856145,0.0774212,-0.535762,0.835821,-0.263495,0.405758,-0.019273,1.16398,-0.919413,0.362413,-0.280437,-0.267208,0.246179,-1.94309,-0.00393963,-385.983
-391.672,0.983518,0.231806,4,15,0,402.064,0.33651,-1.10208,0.402582,0.220959,1.44109,-0.606255,0.325016,-0.344342,0.477058,-0.270551,0.394543,0.0675723,1.10864,-1.06351,0.375492,-0.301136,-0.0337578,0.153707,-2.05282,0.520336,0.925127,0.33651,-1.10208,0.402582,0.220959,1.44109,-0.606255,0.325016,-0.344342,0.477058,-0.270551,0.394543,0.0675723,1.10864,-1.06351,0.375492,-0.301136,-0.0337578,0.153707,-2.05282,0.471287,-385.281
-397.05,0.987546,0.231806,4,15,0,406.091,0.630693,-1.43007,0.614499,0.35145,1.52172,-0.547842,0.669847,0.0118453,0.459805,-0.471368,1.02254,0.353238,0.436493,-0.923324,0.120065,-0.569169,-0.396835,0.572735,-2.25855,0.670559,1.10311,0.630693,-1.43007,0.614499,0.35145,1.52172,-0.547842,0.669847,0.0118453,0.459805,-0.471368,1.02254,0.353238,0.436493,-0.923324,0.120065,-0.569169,-0.396835,0.572735,-2.25855,-0.167774,-389.025
-400.618,0.663164,0.231806,4,15,0,414.83,0.170386,-1.30309,0.905477,-0.843985,0.451603,-0.0155203,0.493487,0.109498,1.22178,-0.728484,1.04314,-1.21283,0.908933,-0.266201,0.0161124,-0.575361,-0.31581,0.712885,-2.00903,0.701099,0.822774,0.170386,-1.30309,0.905477,-0.843985,0.451603,-0.0155203,0.493487,0.109498,1.22178,-0.728484,1.04314,-1.21283,0.908933,-0.266201,0.0161124,-0.575361,-0.31581,0.712885,-2.00903,1.23701,-392.752
-394.44,1,0.231806,4,15,0,407.843,0.140755,-0.912605,1.08903,-0.17555,0.629743,0.130686,-0.217588,-0.0136778,1.17767,-0.70012,1.25697,-1.14298,0.98399,0.190404,-0.18146,-0.745235,-0.00522215,0.0380924,-1.65725,0.77064,0.938136,0.140755,-0.912605,1.08903,-0.17555,0.629743,0.130686,-0.217588,-0.0136778,1.17767,-0.70012,1.25697,-1.14298,0.98399,0.190404,-0.18146,-0.745235,-0.00522215,0.0380924,-1.65725,0.114354,-387.822
-399.927,0.712255,0.231806,4,15,0,416.483,1.60611,-0.934129,0.121975,-0.229044,1.31638,-0.279148,0.443933,0.0885671,0.600882,-0.471388,0.353985,0.0419339,-0.290487,-0.811054,0.113137,-0.39999,0.293054,0.740156,-2.65454,0.782415,0.801196,1.60611,-0.934129,0.121975,-0.229044,1.31638,-0.279148,0.443933,0.0885671,0.600882,-0.471388,0.353985,0.0419339,-0.290487,-0.811054,0.113137,-0.39999,0.293054,0.740156,-2.65454,0.349668,-391.657
