# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_4_model
# start_datetime = 2025-08-29 03:51:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/2e2a2qa6.json
# init = 2 (Default)
# random
#   seed = 49203
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_4cepubfum/bradley_terry_4-20250829005152_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,log_home_advantage,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.328833
# Diagonal elements of inverse mass matrix:
# 0.545777, 0.521189, 0.476356, 0.529907, 0.586164, 0.602946, 0.487445, 0.596419, 0.485955, 0.501482, 0.579485, 0.601235, 0.644838, 0.520704, 0.613981, 0.620243, 0.651162, 0.534675, 0.622899, 0.11145, 0.100277
-63.4609,0.891917,0.328833,3,7,0,72.5903,-0.354367,-1.66417,2.57332,-0.774849,1.49863,-0.999601,-0.20687,0.266606,-0.651437,1.25357,-1.74182,-1.79778,0.76241,-0.226049,-0.318633,0.333731,0.549434,-0.866959,0.393914,0.52578,0.444503,-0.354367,-1.66417,2.57332,-0.774849,1.49863,-0.999601,-0.20687,0.266606,-0.651437,1.25357,-1.74182,-1.79778,0.76241,-0.226049,-0.318633,0.333731,0.549434,-0.866959,0.393914,1.97092,-50.5171
-60.509,1,0.328833,4,15,0,72.829,-0.407711,-0.656086,-0.0137521,1.61581,0.832077,-1.81075,-1.03076,0.457667,0.155238,-1.46061,2.09398,1.67615,-0.388666,-0.498326,0.469182,-1.52138,0.449174,0.402385,-2.35092,1.2209,1.01736,-0.407711,-0.656086,-0.0137521,1.61581,0.832077,-1.81075,-1.03076,0.457667,0.155238,-1.46061,2.09398,1.67615,-0.388666,-0.498326,0.469182,-1.52138,0.449174,0.402385,-2.35092,1.98731,-45.9498
-60.8107,0.995046,0.328833,4,15,0,69.0761,-0.513933,-0.924447,2.77852,-0.938828,0.959288,0.627693,-0.359629,-0.333663,-0.443987,0.867112,-1.36667,-1.64886,0.624219,0.330508,-0.152263,-0.509187,0.269389,-0.59995,0.139867,0.293393,0.480967,-0.513933,-0.924447,2.77852,-0.938828,0.959288,0.627693,-0.359629,-0.333663,-0.443987,0.867112,-1.36667,-1.64886,0.624219,0.330508,-0.152263,-0.509187,0.269389,-0.59995,0.139867,1.19482,-50.898
-53.9486,0.899663,0.328833,3,7,0,66.986,-0.746406,-0.723401,2.4202,-0.670909,1.13397,-0.0144823,-0.171679,-0.084404,-0.374097,0.980943,-0.165814,-0.814591,0.0770485,0.79224,0.0473084,-1.20193,0.112939,-0.436692,-0.513919,0.316715,0.480298,-0.746406,-0.723401,2.4202,-0.670909,1.13397,-0.0144823,-0.171679,-0.084404,-0.374097,0.980943,-0.165814,-0.814591,0.0770485,0.79224,0.0473084,-1.20193,0.112939,-0.436692,-0.513919,0.353678,-46.5238
-55.0194,0.973036,0.328833,4,15,0,63.2669,-1.14333,-1.41752,0.744804,0.571865,1.9253,-0.460733,-0.821195,0.0408991,-0.821468,0.59489,-0.994463,-0.606268,0.969443,0.0999088,0.76631,-0.855254,-0.61815,1.2847,-0.917213,0.859497,0.611364,-1.14333,-1.41752,0.744804,0.571865,1.9253,-0.460733,-0.821195,0.0408991,-0.821468,0.59489,-0.994463,-0.606268,0.969443,0.0999088,0.76631,-0.855254,-0.61815,1.2847,-0.917213,1.65747,-45.8106
-53.3445,0.989145,0.328833,4,15,0,62.5247,-0.266917,-1.19247,0.217375,0.289557,2.91885,-0.345454,-0.356771,-0.218455,-0.924911,-0.717907,-0.112909,0.208123,0.661806,-0.318157,1.12385,-0.874678,0.39249,-0.577381,-1.87559,0.694697,0.547531,-0.266917,-1.19247,0.217375,0.289557,2.91885,-0.345454,-0.356771,-0.218455,-0.924911,-0.717907,-0.112909,0.208123,0.661806,-0.318157,1.12385,-0.874678,0.39249,-0.577381,-1.87559,1.96955,-43.132
