# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_4_model
# start_datetime = 2025-08-29 03:52:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/xcwclm4e.json
# init = 2 (Default)
# random
#   seed = 35597
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_4hglaobci/bradley_terry_4-20250829005202_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,log_home_advantage,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.30698
# Diagonal elements of inverse mass matrix:
# 0.410377, 0.3486, 0.400167, 0.419482, 0.330478, 0.384382, 0.368282, 0.377483, 0.454241, 0.390573, 0.344, 0.432454, 0.416428, 0.381855, 0.380428, 0.402653, 0.421508, 0.459187, 0.388225, 0.0648479, 0.0464188
-105.101,0.942,0.30698,4,15,0,120.532,1.11078,1.11009,0.769816,0.668293,-1.80464,1.4937,-0.96536,0.0545739,-1.20365,-1.316,-1.23101,0.527451,0.696851,0.156194,-0.0195263,0.00684448,-1.45449,1.5392,0.21111,0.621424,0.612753,1.11078,1.11009,0.769816,0.668293,-1.80464,1.4937,-0.96536,0.0545739,-1.20365,-1.316,-1.23101,0.527451,0.696851,0.156194,-0.0195263,0.00684448,-1.45449,1.5392,0.21111,-0.350239,-94.2593
-109.561,0.725429,0.30698,4,15,0,117.021,1.30737,0.133858,1.27628,0.916942,0.647548,0.178209,-0.712103,-0.203853,-0.946688,-0.143692,-1.80327,-0.367612,-0.0515249,0.0595934,1.643,-0.846547,-0.899586,0.491236,-1.23304,0.486624,1.1672,1.30737,0.133858,1.27628,0.916942,0.647548,0.178209,-0.712103,-0.203853,-0.946688,-0.143692,-1.80327,-0.367612,-0.0515249,0.0595934,1.643,-0.846547,-0.899586,0.491236,-1.23304,0.553883,-101.169
-110.315,0.76087,0.30698,4,15,0,121.688,0.400436,1.2848,0.0157376,0.781393,-1.64983,1.76804,-1.26876,0.531266,-1.13635,-2.49931,-0.0799755,0.985627,0.580512,0.467763,-0.0265621,0.0365765,-0.824717,1.63184,1.16484,0.746438,0.776831,0.400436,1.2848,0.0157376,0.781393,-1.64983,1.76804,-1.26876,0.531266,-1.13635,-2.49931,-0.0799755,0.985627,0.580512,0.467763,-0.0265621,0.0365765,-0.824717,1.63184,1.16484,-2.16333,-97.5147
-105.304,0.899854,0.30698,4,15,0,118.141,-0.233631,1.05428,-0.0341241,1.4755,-0.546984,1.61643,-0.967303,0.272768,-0.840364,-1.0932,-0.231521,0.441432,0.281372,-0.245247,1.21961,-1.3203,-0.646276,-0.0856695,-0.386284,0.685851,1.1785,-0.233631,1.05428,-0.0341241,1.4755,-0.546984,1.61643,-0.967303,0.272768,-0.840364,-1.0932,-0.231521,0.441432,0.281372,-0.245247,1.21961,-1.3203,-0.646276,-0.0856695,-0.386284,0.269504,-97.8583
-103.217,1,0.30698,4,15,0,109.789,-0.0623101,1.21669,-0.326865,0.953182,-0.583241,1.50397,-0.593123,0.741414,-0.914029,-0.881087,-0.287917,-0.0533285,0.425121,0.0837696,0.794367,-0.928313,-1.15562,1.1102,-0.501721,0.925607,1.13317,-0.0623101,1.21669,-0.326865,0.953182,-0.583241,1.50397,-0.593123,0.741414,-0.914029,-0.881087,-0.287917,-0.0533285,0.425121,0.0837696,0.794367,-0.928313,-1.15562,1.1102,-0.501721,-0.541159,-96.1712
-103.876,0.948052,0.30698,4,15,0,111.634,0.964438,0.518875,0.364826,0.311438,0.398571,0.535608,-0.185546,0.0682157,-1.28201,-0.567146,-0.853155,0.848802,0.10253,1.06211,-0.141027,-0.715764,-0.956544,0.854948,-0.687199,0.440179,0.95968,0.964438,0.518875,0.364826,0.311438,0.398571,0.535608,-0.185546,0.0682157,-1.28201,-0.567146,-0.853155,0.848802,0.10253,1.06211,-0.141027,-0.715764,-0.956544,0.854948,-0.687199,-0.641967,-98.719
