# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_4_model
# start_datetime = 2025-08-29 03:52:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/enk4_bgd.json
# init = 2 (Default)
# random
#   seed = 75235
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_4jer957dh/bradley_terry_4-20250829005203_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,log_home_advantage,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.269213
# Diagonal elements of inverse mass matrix:
# 0.247045, 0.330279, 0.285833, 0.32183, 0.297668, 0.327889, 0.31143, 0.291523, 0.326768, 0.318336, 0.292067, 0.283981, 0.279676, 0.280434, 0.297772, 0.29269, 0.285838, 0.271448, 0.271969, 0.048643, 0.0362176
-154.366,0.985378,0.269213,4,15,0,168.06,0.311936,0.222462,-0.538481,1.22358,-1.20086,1.326,-0.658272,0.714316,-0.67707,-1.37799,-0.64063,0.499076,0.300088,1.44684,0.731378,-0.470191,-1.26385,1.3361,0.145967,1.20326,0.890139,0.311936,0.222462,-0.538481,1.22358,-1.20086,1.326,-0.658272,0.714316,-0.67707,-1.37799,-0.64063,0.499076,0.300088,1.44684,0.731378,-0.470191,-1.26385,1.3361,0.145967,-1.43039,-145.411
-149.11,0.954532,0.269213,4,15,0,159.046,-0.169106,0.755762,0.876177,0.857846,-0.315588,0.594912,-2.27776,-0.286028,0.283955,-0.891926,-0.309542,-0.157362,0.616072,0.626548,0.0663896,-0.811691,-1.4185,1.40751,-0.0168632,0.675596,0.97603,-0.169106,0.755762,0.876177,0.857846,-0.315588,0.594912,-2.27776,-0.286028,0.283955,-0.891926,-0.309542,-0.157362,0.616072,0.626548,0.0663896,-0.811691,-1.4185,1.40751,-0.0168632,0.569189,-141.255
-149.424,0.943278,0.269213,4,15,0,160.915,0.36863,0.580623,-0.0367897,0.984959,-1.00201,1.05842,-0.566782,0.633773,-1.05715,-1.48704,-1.04117,0.0417541,0.334719,0.304922,0.829599,-0.245954,-0.755983,0.505893,-0.106252,0.839458,0.763752,0.36863,0.580623,-0.0367897,0.984959,-1.00201,1.05842,-0.566782,0.633773,-1.05715,-1.48704,-1.04117,0.0417541,0.334719,0.304922,0.829599,-0.245954,-0.755983,0.505893,-0.106252,0.655836,-143.262
-150.349,0.934288,0.269213,4,15,0,157.101,0.293219,1.25181,0.347492,0.470429,-1.03934,1.39571,-0.917043,0.935052,-0.475056,-1.44619,-0.757678,0.324651,0.332565,0.330107,0.521316,-0.338131,-1.62336,0.437238,0.286747,1.09692,1.12971,0.293219,1.25181,0.347492,0.470429,-1.03934,1.39571,-0.917043,0.935052,-0.475056,-1.44619,-0.757678,0.324651,0.332565,0.330107,0.521316,-0.338131,-1.62336,0.437238,0.286747,-0.329541,-142.607
-152.531,0.949457,0.269213,4,15,0,159.239,0.178548,0.350261,-0.590304,1.21117,-0.355034,1.14273,-1.50262,1.14876,-0.848166,-0.307311,-0.761574,0.677099,-0.221124,-0.220163,0.818013,-0.348735,-1.12726,1.43573,0.052142,0.773081,0.875478,0.178548,0.350261,-0.590304,1.21117,-0.355034,1.14273,-1.50262,1.14876,-0.848166,-0.307311,-0.761574,0.677099,-0.221124,-0.220163,0.818013,-0.348735,-1.12726,1.43573,0.052142,-0.732174,-145.189
-152.9,0.985002,0.269213,4,15,0,161.866,0.326445,0.16743,-0.655671,1.4555,-0.605526,1.26537,-1.50561,1.03608,-0.954536,-0.274362,-0.82688,0.63922,-0.320407,-0.086636,0.69693,-0.23365,-1.15658,1.36631,-0.195695,0.815241,0.811583,0.326445,0.16743,-0.655671,1.4555,-0.605526,1.26537,-1.50561,1.03608,-0.954536,-0.274362,-0.82688,0.63922,-0.320407,-0.086636,0.69693,-0.23365,-1.15658,1.36631,-0.195695,-0.137725,-145.048
