# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_4_model
# start_datetime = 2025-08-29 03:52:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/r30weh38.json
# init = 2 (Default)
# random
#   seed = 33544
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_4o5w6y8c0/bradley_terry_4-20250829005205_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,log_home_advantage,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.286676
# Diagonal elements of inverse mass matrix:
# 0.226952, 0.260973, 0.214984, 0.256148, 0.239673, 0.203041, 0.264266, 0.22162, 0.225772, 0.239515, 0.248132, 0.189302, 0.179414, 0.210303, 0.232468, 0.209692, 0.307437, 0.262494, 0.225863, 0.0322963, 0.0276125
-205.053,0.997676,0.286676,4,15,0,212.077,0.733572,0.381157,1.38758,2.02516,-0.911295,0.946582,-0.39289,-0.0288783,0.167491,-1.45187,-0.481185,0.36938,-0.449553,-0.126645,-0.108508,-0.963608,-1.38765,0.986525,0.0921222,1.08422,0.739436,0.733572,0.381157,1.38758,2.02516,-0.911295,0.946582,-0.39289,-0.0288783,0.167491,-1.45187,-0.481185,0.36938,-0.449553,-0.126645,-0.108508,-0.963608,-1.38765,0.986525,0.0921222,-0.78749,-196.309
-209.225,0.925724,0.286676,4,15,0,219.458,-0.241052,0.510265,-0.0194435,-0.00239574,-0.794174,0.00182911,-0.829607,-0.363016,-0.6819,-0.43189,-0.569648,0.41446,1.63606,2.04407,0.58639,-0.541617,-0.882372,1.1376,-0.200333,0.517409,0.994239,-0.241052,0.510265,-0.0194435,-0.00239574,-0.794174,0.00182911,-0.829607,-0.363016,-0.6819,-0.43189,-0.569648,0.41446,1.63606,2.04407,0.58639,-0.541617,-0.882372,1.1376,-0.200333,-0.773227,-202.33
-209.286,0.978663,0.286676,4,15,0,221.37,0.123477,0.254824,1.04405,1.66448,-0.701856,0.779996,0.305864,0.521756,0.472079,-1.06698,-0.682343,-0.313197,-0.697103,-0.228016,-0.0336072,-1.11994,-2.22064,1.8666,0.490205,0.841243,0.837987,0.123477,0.254824,1.04405,1.66448,-0.701856,0.779996,0.305864,0.521756,0.472079,-1.06698,-0.682343,-0.313197,-0.697103,-0.228016,-0.0336072,-1.11994,-2.22064,1.8666,0.490205,-0.459643,-199.514
-208.062,0.688222,0.286676,4,15,0,221.484,0.521701,0.636207,0.551922,0.474221,-0.901189,0.404168,-1.47051,-0.611275,-1.022,-0.838334,-0.290234,1.15628,1.19083,1.70121,0.585303,-0.49928,-0.296098,0.475212,-0.436527,0.70771,0.906397,0.521701,0.636207,0.551922,0.474221,-0.901189,0.404168,-1.47051,-0.611275,-1.022,-0.838334,-0.290234,1.15628,1.19083,1.70121,0.585303,-0.49928,-0.296098,0.475212,-0.436527,-1.33161,-200.655
-206.175,0.874382,0.286676,4,15,0,220.651,0.102702,0.0644446,0.913649,1.69797,-0.716506,0.686207,0.298588,0.446981,0.513034,-0.995673,-0.807771,-0.604726,-0.0243458,0.0723076,0.00193543,-0.914984,-1.90579,1.70046,0.434591,0.874574,0.763371,0.102702,0.0644446,0.913649,1.69797,-0.716506,0.686207,0.298588,0.446981,0.513034,-0.995673,-0.807771,-0.604726,-0.0243458,0.0723076,0.00193543,-0.914984,-1.90579,1.70046,0.434591,-0.963076,-197.814
-204.151,0.990379,0.286676,4,15,0,217.285,0.29077,0.233079,0.77609,1.51021,-1.20081,0.690462,0.0923154,0.243077,0.3145,-0.535105,-1.09085,-0.66255,0.363612,0.648257,0.576593,-1.84633,-1.17458,1.04374,-0.281196,0.644352,0.8145,0.29077,0.233079,0.77609,1.51021,-1.20081,0.690462,0.0923154,0.243077,0.3145,-0.535105,-1.09085,-0.66255,0.363612,0.648257,0.576593,-1.84633,-1.17458,1.04374,-0.281196,0.00871191,-196.474
