# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bradley_terry_4_model
# start_datetime = 2025-08-29 03:52:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/_di70_9f.json
# init = 2 (Default)
# random
#   seed = 36246
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bradley_terry_4uhj502x1/bradley_terry_4-20250829005200_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=bradley_terry_4.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_skills_raw.1,log_skills_raw.2,log_skills_raw.3,log_skills_raw.4,log_skills_raw.5,log_skills_raw.6,log_skills_raw.7,log_skills_raw.8,log_skills_raw.9,log_skills_raw.10,log_skills_raw.11,log_skills_raw.12,log_skills_raw.13,log_skills_raw.14,log_skills_raw.15,log_skills_raw.16,log_skills_raw.17,log_skills_raw.18,log_skills_raw.19,log_home_advantage,kappa,log_skills.1,log_skills.2,log_skills.3,log_skills.4,log_skills.5,log_skills.6,log_skills.7,log_skills.8,log_skills.9,log_skills.10,log_skills.11,log_skills.12,log_skills.13,log_skills.14,log_skills.15,log_skills.16,log_skills.17,log_skills.18,log_skills.19,log_skills.20,log_lik
# Adaptation terminated
# Step size = 0.31051
# Diagonal elements of inverse mass matrix:
# 0.551615, 0.548547, 0.52163, 0.559576, 0.565288, 0.541406, 0.57025, 0.579025, 0.567373, 0.569524, 0.554818, 0.518082, 0.625487, 0.616911, 0.532857, 0.646803, 0.732217, 0.582661, 0.517745, 0.149004, 0.0810232
-60.1457,0.889983,0.31051,4,15,0,67.8237,1.44892,-0.76126,1.62802,-1.28234,-0.873236,0.963125,-1.15468,-0.262282,-0.561756,0.418863,0.444707,1.07064,-0.179255,0.153323,0.618189,-1.12635,-1.15168,-0.687465,0.0487215,0.484048,1.52454,1.44892,-0.76126,1.62802,-1.28234,-0.873236,0.963125,-1.15468,-0.262282,-0.561756,0.418863,0.444707,1.07064,-0.179255,0.153323,0.618189,-1.12635,-1.15168,-0.687465,0.0487215,1.24579,-51.5837
-69.9424,0.880181,0.31051,4,15,0,81.5249,0.485461,1.47585,0.218611,0.385191,-0.453796,-1.81611,0.235915,-0.200433,-1.47247,-0.0991878,0.0904185,-0.115571,-2.23991,-1.13671,0.0878026,-0.323992,0.00795133,1.38066,1.90696,0.519173,0.594601,0.485461,1.47585,0.218611,0.385191,-0.453796,-1.81611,0.235915,-0.200433,-1.47247,-0.0991878,0.0904185,-0.115571,-2.23991,-1.13671,0.0878026,-0.323992,0.00795133,1.38066,1.90696,1.58336,-58.9239
-62.6869,0.945174,0.31051,4,15,0,80.8447,0.53208,0.352372,0.191023,-0.160867,-0.0161472,2.20545,-0.92903,-0.0897052,-0.707096,-0.873156,-0.501674,0.268729,1.11848,1.54383,1.10136,-1.23234,-2.0446,-0.422402,-1.24852,0.260884,1.44081,0.53208,0.352372,0.191023,-0.160867,-0.0161472,2.20545,-0.92903,-0.0897052,-0.707096,-0.873156,-0.501674,0.268729,1.11848,1.54383,1.10136,-1.23234,-2.0446,-0.422402,-1.24852,0.91222,-51.9426
-60.1929,0.998856,0.31051,4,15,0,72.5304,1.58278,1.15168,-0.586127,0.631951,-1.11791,-0.929705,-0.878897,0.159711,-1.57752,0.833715,-0.0282995,-0.599209,-0.339758,0.412482,-0.393819,-0.975363,-0.123604,-0.0165374,1.05564,1.32627,1.30404,1.58278,1.15168,-0.586127,0.631951,-1.11791,-0.929705,-0.878897,0.159711,-1.57752,0.833715,-0.0282995,-0.599209,-0.339758,0.412482,-0.393819,-0.975363,-0.123604,-0.0165374,1.05564,1.73879,-51.9526
-60.0247,0.933701,0.31051,4,15,0,77.9619,-0.0367926,-0.0427757,1.17028,-0.296128,-0.559838,0.995368,0.360622,0.382329,-0.154943,-1.98368,-0.906477,1.67785,-0.515228,1.02303,1.16023,-1.00516,-2.14007,1.19919,0.0206948,0.24016,1.19015,-0.0367926,-0.0427757,1.17028,-0.296128,-0.559838,0.995368,0.360622,0.382329,-0.154943,-1.98368,-0.906477,1.67785,-0.515228,1.02303,1.16023,-1.00516,-2.14007,1.19919,0.0206948,-0.348511,-49.2999
-56.4575,0.971356,0.31051,4,15,0,67.3548,1.56082,0.540742,0.0533499,0.869154,-1.50112,-0.117804,-0.338256,0.126688,-0.359454,0.795715,-0.131679,-0.124514,0.841576,0.254497,-0.0515067,-2.37258,-0.138499,-0.603139,0.511999,0.746178,1.28619,1.56082,0.540742,0.0533499,0.869154,-1.50112,-0.117804,-0.338256,0.126688,-0.359454,0.795715,-0.131679,-0.124514,0.841576,0.254497,-0.0515067,-2.37258,-0.138499,-0.603139,0.511999,0.184008,-48.7389
-55.668,0.984061,0.31051,4,15,0,64.4567,-0.528674,0.848362,0.512543,-0.283746,-0.954983,-0.266448,-0.068037,0.570959,-0.688409,-0.844824,-0.259819,1.38653,-1.13063,0.723775,1.1035,-0.667866,-1.87453,0.886079,1.46864,0.607915,0.93076,-0.528674,0.848362,0.512543,-0.283746,-0.954983,-0.266448,-0.068037,0.570959,-0.688409,-0.844824,-0.259819,1.38653,-1.13063,0.723775,1.1035,-0.667866,-1.87453,0.886079,1.46864,0.0675885,-47.1006
