# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_1_model
# start_datetime = 2025-08-29 03:52:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/m9owq7zp.json
# init = 2 (Default)
# random
#   seed = 46868
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_1dwp4nrd_/poisson_1-20250829005210_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_1.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.234449
# Diagonal elements of inverse mass matrix:
# 0.0335883, 0.0462926, 0.0386423, 0.0408709, 0.0445218, 0.0379917, 0.0327657, 0.0393265, 0.0399101, 0.0370346, 0.0412051, 0.0343828, 0.0408727, 0.0398453, 0.0381737, 0.0390287, 0.0380543, 0.0419923, 0.0382655
-270.502,0.999992,0.234449,4,15,0,285.692,-0.237474,0.193227,0.317152,-0.343266,-0.0428158,-0.489592,0.865897,0.0672326,0.0685595,-0.00385324,0.497553,-0.176259,-0.314359,-0.202651,-0.374809,0.191156,0.123775,0.233485,-0.242512,-0.237474,0.193227,0.317152,-0.343266,-0.0428158,-0.489592,0.865897,0.0672326,0.0685595,-0.00385324,0.497553,-0.176259,-0.314359,-0.202651,-0.374809,0.191156,0.123775,0.233485,-0.242512,-0.130445,-269.484
-279.837,0.905123,0.234449,4,15,0,285.222,-0.201221,0.657493,0.286024,-0.68921,-0.00550016,-0.229035,0.483769,-0.596058,0.240159,-0.676967,0.583928,-0.300705,0.340324,-0.18491,0.275468,0.032272,-0.126621,0.0804476,0.299212,-0.201221,0.657493,0.286024,-0.68921,-0.00550016,-0.229035,0.483769,-0.596058,0.240159,-0.676967,0.583928,-0.300705,0.340324,-0.18491,0.275468,0.032272,-0.126621,0.0804476,0.299212,-0.268868,-278.359
-275.902,0.996645,0.234449,4,15,0,286.591,0.0683494,-0.0703529,0.129213,-0.096271,-0.172234,-0.65484,0.747052,0.154749,0.0361675,0.346163,0.259386,-0.318542,-0.63998,-0.115681,-0.43919,0.344391,0.127161,0.338474,0.0753778,0.0683494,-0.0703529,0.129213,-0.096271,-0.172234,-0.65484,0.747052,0.154749,0.0361675,0.346163,0.259386,-0.318542,-0.63998,-0.115681,-0.43919,0.344391,0.127161,0.338474,0.0753778,-0.119393,-274.783
-273.23,1,0.234449,4,15,0,282.104,-0.0151764,0.524937,0.0289386,-0.441012,-0.412408,-0.173042,0.559311,-0.147318,0.578978,-0.452585,0.587437,-0.201181,-0.00203585,-0.330421,-0.103763,0.0899034,-0.0906266,0.30715,0.159446,-0.0151764,0.524937,0.0289386,-0.441012,-0.412408,-0.173042,0.559311,-0.147318,0.578978,-0.452585,0.587437,-0.201181,-0.00203585,-0.330421,-0.103763,0.0899034,-0.0906266,0.30715,0.159446,-0.466532,-272.136
-275.641,0.997709,0.234449,4,15,0,283.321,-0.384466,-0.111816,0.154767,-0.28804,0.0104444,-0.653376,0.862063,0.178301,0.1905,0.327541,0.134014,-0.040068,-0.493442,0.0914182,-0.0397826,-0.0261166,-0.0367958,0.271782,0.1106,-0.384466,-0.111816,0.154767,-0.28804,0.0104444,-0.653376,0.862063,0.178301,0.1905,0.327541,0.134014,-0.040068,-0.493442,0.0914182,-0.0397826,-0.0261166,-0.0367958,0.271782,0.1106,-0.257527,-274.654
-273.391,0.965124,0.234449,4,15,0,291.042,0.371852,0.20062,-0.0830046,-0.326276,-0.344074,-0.537188,0.603806,0.0674674,0.291217,0.0681729,0.584324,-0.553723,0.0271041,-0.288357,-0.451814,0.120198,0.201374,-0.0576278,0.486532,0.371852,0.20062,-0.0830046,-0.326276,-0.344074,-0.537188,0.603806,0.0674674,0.291217,0.0681729,0.584324,-0.553723,0.0271041,-0.288357,-0.451814,0.120198,0.201374,-0.0576278,0.486532,-0.380603,-272.197
