# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_1_model
# start_datetime = 2025-08-29 03:52:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/n4kfv6mr.json
# init = 2 (Default)
# random
#   seed = 6454
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_1uqmm2ia9/poisson_1-20250829005211_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_1.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.226975
# Diagonal elements of inverse mass matrix:
# 0.0256269, 0.0281446, 0.0286374, 0.0244147, 0.0270643, 0.0223537, 0.0215889, 0.0264654, 0.0244238, 0.0305709, 0.0277565, 0.0248731, 0.0328818, 0.024216, 0.0231571, 0.0284047, 0.0246166, 0.0239052, 0.0253976
-412.061,0.820393,0.226975,4,15,0,425.707,-0.204152,0.357915,0.108845,-0.438349,0.191727,-0.314666,0.457749,0.214768,0.455371,-0.147838,0.351439,-0.406954,-0.0884628,-0.48796,-0.149591,0.0857509,-0.0464438,0.190165,0.277147,-0.204152,0.357915,0.108845,-0.438349,0.191727,-0.314666,0.457749,0.214768,0.455371,-0.147838,0.351439,-0.406954,-0.0884628,-0.48796,-0.149591,0.0857509,-0.0464438,0.190165,0.277147,-0.406461,-411.224
-413.023,0.960282,0.226975,4,15,0,425.628,0.330601,0.442412,0.128366,-0.262315,-0.0810212,-0.695899,0.415289,-0.333691,0.226099,0.0373706,0.244049,-0.0422977,-0.161721,-0.207529,-0.1393,0.0736451,0.200922,0.174318,0.0270597,0.330601,0.442412,0.128366,-0.262315,-0.0810212,-0.695899,0.415289,-0.333691,0.226099,0.0373706,0.244049,-0.0422977,-0.161721,-0.207529,-0.1393,0.0736451,0.200922,0.174318,0.0270597,-0.376358,-412.3
-415.242,0.845946,0.226975,4,15,0,424.804,0.165856,0.509486,0.0956934,-0.283387,-0.0237875,-0.731152,0.376614,-0.290325,0.189723,-0.0845883,0.143232,0.216322,-0.17167,-0.354125,-0.240453,0.314198,0.204538,0.161072,-0.0393043,0.165856,0.509486,0.0956934,-0.283387,-0.0237875,-0.731152,0.376614,-0.290325,0.189723,-0.0845883,0.143232,0.216322,-0.17167,-0.354125,-0.240453,0.314198,0.204538,0.161072,-0.0393043,-0.157942,-414.428
-416.633,0.878549,0.226975,4,15,0,424.619,0.0765718,0.484413,0.255295,-0.299494,0.0404195,-0.802235,0.309459,-0.328613,0.161355,-0.192749,0.11948,0.193186,-0.132203,-0.227404,-0.268494,0.317136,0.224767,0.123003,-0.00922744,0.0765718,0.484413,0.255295,-0.299494,0.0404195,-0.802235,0.309459,-0.328613,0.161355,-0.192749,0.11948,0.193186,-0.132203,-0.227404,-0.268494,0.317136,0.224767,0.123003,-0.00922744,-0.0446662,-415.8
-414.298,0.936239,0.226975,4,15,0,423.619,-0.188043,0.22028,0.00971733,-0.692925,0.0783592,-0.437598,0.486265,-0.053782,0.448811,0.0982887,0.528576,-0.424652,-0.190362,-0.188159,-0.0423139,-0.0905264,0.336075,0.326055,0.340728,-0.188043,0.22028,0.00971733,-0.692925,0.0783592,-0.437598,0.486265,-0.053782,0.448811,0.0982887,0.528576,-0.424652,-0.190362,-0.188159,-0.0423139,-0.0905264,0.336075,0.326055,0.340728,-0.564795,-413.253
-413.141,1,0.226975,4,15,0,421.327,0.347532,-0.0211364,-0.00653125,-0.490283,0.110926,-0.587664,0.517522,-0.165348,0.300991,-0.19614,0.466491,-0.245712,-0.0838036,-0.401054,-0.375079,0.253477,0.088489,0.324501,0.0937567,0.347532,-0.0211364,-0.00653125,-0.490283,0.110926,-0.587664,0.517522,-0.165348,0.300991,-0.19614,0.466491,-0.245712,-0.0838036,-0.401054,-0.375079,0.253477,0.088489,0.324501,0.0937567,0.0690653,-412.183
