# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_1_model
# start_datetime = 2025-08-29 03:52:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/_ql4dwz3.json
# init = 2 (Default)
# random
#   seed = 32423
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_1xa33lvtk/poisson_1-20250829005213_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_1.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.236541
# Diagonal elements of inverse mass matrix:
# 0.0189392, 0.0224139, 0.0213008, 0.0164783, 0.0195883, 0.0185987, 0.0201586, 0.0221697, 0.0199727, 0.0195111, 0.0172704, 0.0171231, 0.0177425, 0.0178962, 0.0222433, 0.0238037, 0.0181864, 0.0196234, 0.0225271
-551.339,1,0.236541,4,15,0,559.536,0.4905,0.112709,-0.0989871,-0.594582,0.104699,-0.401719,0.109278,-0.155097,0.335806,0.116381,0.699778,-0.264471,-0.311916,-0.36939,-0.54155,0.461868,0.394377,0.169283,0.0467987,0.4905,0.112709,-0.0989871,-0.594582,0.104699,-0.401719,0.109278,-0.155097,0.335806,0.116381,0.699778,-0.264471,-0.311916,-0.36939,-0.54155,0.461868,0.394377,0.169283,0.0467987,-0.303765,-550.12
-548.836,0.996423,0.236541,4,15,0,558.236,0.188407,0.135306,-0.0372497,-0.188175,0.0742863,-0.393024,0.617647,-0.222607,0.130335,-0.0915151,0.43279,-0.263595,-0.355599,-0.204137,-0.112108,-0.141618,-0.0749175,0.291926,0.236297,0.188407,0.135306,-0.0372497,-0.188175,0.0742863,-0.393024,0.617647,-0.222607,0.130335,-0.0915151,0.43279,-0.263595,-0.355599,-0.204137,-0.112108,-0.141618,-0.0749175,0.291926,0.236297,-0.0224494,-548.181
-549.203,0.859524,0.236541,4,15,0,564.365,0.262183,-0.0935347,0.185219,-0.266697,-0.0993301,-0.582117,0.170239,-0.204941,0.240993,0.0875636,0.534623,-0.13251,-0.357839,-0.223884,-0.0901533,0.133303,-0.0516943,0.405794,0.12695,0.262183,-0.0935347,0.185219,-0.266697,-0.0993301,-0.582117,0.170239,-0.204941,0.240993,0.0875636,0.534623,-0.13251,-0.357839,-0.223884,-0.0901533,0.133303,-0.0516943,0.405794,0.12695,-0.0441682,-548.524
-546.025,0.999296,0.236541,4,15,0,556.632,0.319288,0.00897304,0.0324098,-0.321135,0.05689,-0.559811,0.307568,-0.281291,0.22838,0.0971062,0.456261,-0.186024,-0.237885,-0.26687,-0.406563,0.130439,0.229674,0.550755,0.148339,0.319288,0.00897304,0.0324098,-0.321135,0.05689,-0.559811,0.307568,-0.281291,0.22838,0.0971062,0.456261,-0.186024,-0.237885,-0.26687,-0.406563,0.130439,0.229674,0.550755,0.148339,-0.306505,-545.181
-551.113,0.820376,0.236541,4,15,0,558.871,0.192341,-0.0353634,-0.0150366,-0.424305,0.0657943,-0.375682,0.250797,-0.377978,0.153109,0.128676,0.716616,-0.439013,-0.222057,-0.44357,-0.459909,0.376226,0.13709,0.512359,0.132514,0.192341,-0.0353634,-0.0150366,-0.424305,0.0657943,-0.375682,0.250797,-0.377978,0.153109,0.128676,0.716616,-0.439013,-0.222057,-0.44357,-0.459909,0.376226,0.13709,0.512359,0.132514,0.127392,-550.006
-549.697,0.85899,0.236541,4,15,0,561.967,0.137897,0.0897573,-0.0566296,-0.210731,-0.0148752,-0.535017,0.416,0.0212921,-0.00976352,-0.310056,0.68477,-0.176697,-0.260041,-0.263128,-0.317234,0.105059,-0.0977841,0.335003,0.307154,0.137897,0.0897573,-0.0566296,-0.210731,-0.0148752,-0.535017,0.416,0.0212921,-0.00976352,-0.310056,0.68477,-0.176697,-0.260041,-0.263128,-0.317234,0.105059,-0.0977841,0.335003,0.307154,0.155023,-548.899
-542.742,0.996661,0.236541,4,15,0,553.559,0.254368,0.214761,-0.153013,-0.264945,0.0720372,-0.386774,0.426869,-0.191795,0.245274,-0.0504216,0.576019,-0.411953,-0.15854,-0.317261,-0.314621,0.0563311,0.0199598,0.1881,0.22721,0.254368,0.214761,-0.153013,-0.264945,0.0720372,-0.386774,0.426869,-0.191795,0.245274,-0.0504216,0.576019,-0.411953,-0.15854,-0.317261,-0.314621,0.0563311,0.0199598,0.1881,0.22721,-0.0316046,-542.013
-548.188,0.940169,0.236541,4,15,0,555.86,0.178032,0.289649,0.200397,-0.344572,-0.279059,-0.449736,0.374781,0.105304,0.259195,-0.00137175,0.592985,-0.339958,-0.18223,-0.300814,-0.628469,0.245475,0.117909,0.0834516,0.370102,0.178032,0.289649,0.200397,-0.344572,-0.279059,-0.449736,0.374781,0.105304,0.259195,-0.00137175,0.592985,-0.339958,-0.18223,-0.300814,-0.628469,0.245475,0.117909,0.0834516,0.370102,-0.291071,-547.2
-551.115,0.995434,0.236541,4,15,0,559.771,0.28749,0.247772,-0.0733496,-0.304718,0.0393634,-0.42947,0.320445,-0.446865,0.202889,-0.0723891,0.509646,-0.0492437,-0.458335,0.0948752,-0.0983556,0.0865205,0.0346159,0.289878,-0.095619,0.28749,0.247772,-0.0733496,-0.304718,0.0393634,-0.42947,0.320445,-0.446865,0.202889,-0.0723891,0.509646,-0.0492437,-0.458335,0.0948752,-0.0983556,0.0865205,0.0346159,0.289878,-0.095619,-0.08515,-550.431
-550.996,0.755121,0.236541,4,15,0,564.583,0.417656,0.118616,0.113643,-0.572571,-0.13143,-0.355389,0.3342,-0.471291,0.429522,-0.31121,0.405412,-0.292369,-0.326919,-0.15884,-0.287308,0.22172,0.290237,0.271204,0.348045,0.417656,0.118616,0.113643,-0.572571,-0.13143,-0.355389,0.3342,-0.471291,0.429522,-0.31121,0.405412,-0.292369,-0.326919,-0.15884,-0.287308,0.22172,0.290237,0.271204,0.348045,-0.0429285,-549.955
-548.423,0.915273,0.236541,4,15,0,559.089,0.238889,-0.0663289,0.0206827,-0.43705,0.134502,-0.214508,0.327207,-0.323111,0.255036,-0.0898363,0.38598,-0.17921,-0.549121,-0.200954,-0.348209,0.219618,0.34137,0.263888,0.138824,0.238889,-0.0663289,0.0206827,-0.43705,0.134502,-0.214508,0.327207,-0.323111,0.255036,-0.0898363,0.38598,-0.17921,-0.549121,-0.200954,-0.348209,0.219618,0.34137,0.263888,0.138824,0.0823302,-547.674
-546.056,0.999756,0.236541,4,15,0,553.104,0.233181,0.121815,-0.0577574,-0.326679,-0.00700013,-0.446589,0.357306,-0.308208,0.259124,-0.077661,0.382906,-0.157099,-0.340107,-0.186029,-0.396141,-0.0205423,0.301313,0.441048,0.146503,0.233181,0.121815,-0.0577574,-0.326679,-0.00700013,-0.446589,0.357306,-0.308208,0.259124,-0.077661,0.382906,-0.157099,-0.340107,-0.186029,-0.396141,-0.0205423,0.301313,0.441048,0.146503,0.0806173,-545.326
-544.661,0.935731,0.236541,4,15,0,553.582,0.219085,0.299174,-0.013551,-0.565985,0.0841265,-0.289012,0.462596,0.117937,0.150957,0.0264648,0.515162,-0.261288,-0.30524,-0.470566,-0.335794,0.385951,-0.060378,0.151021,0.0921206,0.219085,0.299174,-0.013551,-0.565985,0.0841265,-0.289012,0.462596,0.117937,0.150957,0.0264648,0.515162,-0.261288,-0.30524,-0.470566,-0.335794,0.385951,-0.060378,0.151021,0.0921206,-0.202782,-543.788
-549.988,0.968458,0.236541,4,15,0,555.735,0.3621,0.140085,-0.0713074,-0.150789,-0.0498058,-0.441149,0.437579,-0.344494,0.223247,0.0058051,0.658293,0.0752536,-0.0305786,-0.257027,-0.381547,-0.0274981,-0.153519,0.184192,-0.0184358,0.3621,0.140085,-0.0713074,-0.150789,-0.0498058,-0.441149,0.437579,-0.344494,0.223247,0.0058051,0.658293,0.0752536,-0.0305786,-0.257027,-0.381547,-0.0274981,-0.153519,0.184192,-0.0184358,-0.160404,-549.265
-558.224,0.945108,0.236541,4,15,0,569.847,0.0217744,0.373518,-0.0957493,-0.470887,0.139479,-0.492067,0.115276,-0.153257,0.781661,0.127008,0.492443,-0.397429,-0.399822,-0.523256,-0.257532,0.506939,0.143403,0.219087,0.0237432,0.0217744,0.373518,-0.0957493,-0.470887,0.139479,-0.492067,0.115276,-0.153257,0.781661,0.127008,0.492443,-0.397429,-0.399822,-0.523256,-0.257532,0.506939,0.143403,0.219087,0.0237432,-0.154333,-556.962
-554.217,0.852965,0.236541,4,15,0,573.308,0.00791394,0.200685,0.203489,-0.657039,0.210462,-0.0888146,0.504667,0.004502,0.0894994,-0.0521652,0.61472,-0.122839,-0.197274,-0.491012,-0.349158,0.0753953,-0.254689,0.282966,-0.0211547,0.00791394,0.200685,0.203489,-0.657039,0.210462,-0.0888146,0.504667,0.004502,0.0894994,-0.0521652,0.61472,-0.122839,-0.197274,-0.491012,-0.349158,0.0753953,-0.254689,0.282966,-0.0211547,0.0398486,-553.329
-548.296,0.999884,0.236541,4,15,0,562.553,0.278788,0.339753,-0.226702,-0.160128,0.241317,-0.46433,0.178374,-0.287084,0.3138,-0.0730815,0.538745,-0.149726,-0.170549,-0.157894,-0.416421,0.239718,0.158725,0.0945126,0.121938,0.278788,0.339753,-0.226702,-0.160128,0.241317,-0.46433,0.178374,-0.287084,0.3138,-0.0730815,0.538745,-0.149726,-0.170549,-0.157894,-0.416421,0.239718,0.158725,0.0945126,0.121938,-0.399754,-547.592
-550.105,0.962808,0.236541,4,15,0,558.415,0.158142,0.0709096,0.272245,-0.504745,-0.189284,-0.27259,0.584664,0.145176,0.0536132,0.0203742,0.514693,-0.470162,-0.305761,-0.468571,-0.205652,0.192774,0.182082,0.418743,0.182703,0.158142,0.0709096,0.272245,-0.504745,-0.189284,-0.27259,0.584664,0.145176,0.0536132,0.0203742,0.514693,-0.470162,-0.305761,-0.468571,-0.205652,0.192774,0.182082,0.418743,0.182703,-0.379355,-549.127
-549.417,1,0.236541,4,15,0,552.751,0.162846,0.0314753,0.273748,-0.533604,-0.239096,-0.33594,0.593409,0.141505,0.103516,0.00898509,0.447803,-0.467672,-0.318107,-0.461816,-0.216711,0.164378,0.168276,0.370237,0.229182,0.162846,0.0314753,0.273748,-0.533604,-0.239096,-0.33594,0.593409,0.141505,0.103516,0.00898509,0.447803,-0.467672,-0.318107,-0.461816,-0.216711,0.164378,0.168276,0.370237,0.229182,-0.122416,-548.434
-551.155,0.866327,0.236541,4,15,0,560.542,0.250522,-0.0667381,0.255099,-0.558701,-0.0882003,-0.154222,0.735003,-0.0765594,0.0616902,-0.0913776,0.435661,-0.428387,-0.339962,-0.491151,-0.318556,0.294906,0.190049,0.353539,0.227661,0.250522,-0.0667381,0.255099,-0.558701,-0.0882003,-0.154222,0.735003,-0.0765594,0.0616902,-0.0913776,0.435661,-0.428387,-0.339962,-0.491151,-0.318556,0.294906,0.190049,0.353539,0.227661,-0.190277,-550.072
-547.18,0.999282,0.236541,4,15,0,559.673,0.139375,0.0363799,-0.0300645,-0.396994,-0.090204,-0.301591,0.692713,0.049821,0.140932,-0.205195,0.497058,-0.318713,-0.315856,-0.372737,-0.197338,0.409422,0.112587,0.0399099,0.280011,0.139375,0.0363799,-0.0300645,-0.396994,-0.090204,-0.301591,0.692713,0.049821,0.140932,-0.205195,0.497058,-0.318713,-0.315856,-0.372737,-0.197338,0.409422,0.112587,0.0399099,0.280011,-0.169516,-546.325
-551.006,0.900359,0.236541,4,15,0,558.516,0.0392465,0.153899,0.0904795,-0.647961,0.140515,-0.164596,0.699097,-0.0591283,0.177507,-0.13699,0.304709,-0.342163,-0.194525,-0.429737,-0.262711,0.442948,0.0828964,0.16695,0.239381,0.0392465,0.153899,0.0904795,-0.647961,0.140515,-0.164596,0.699097,-0.0591283,0.177507,-0.13699,0.304709,-0.342163,-0.194525,-0.429737,-0.262711,0.442948,0.0828964,0.16695,0.239381,-0.299818,-550.09
-547.544,0.980006,0.236541,4,15,0,558.835,0.0919686,0.21872,-0.0127194,-0.469504,-0.073826,-0.0595698,0.293157,-0.357323,0.257089,0.0561596,0.39874,-0.237344,-0.24728,-0.331036,-0.464666,0.388701,0.290445,0.380502,0.191024,0.0919686,0.21872,-0.0127194,-0.469504,-0.073826,-0.0595698,0.293157,-0.357323,0.257089,0.0561596,0.39874,-0.237344,-0.24728,-0.331036,-0.464666,0.388701,0.290445,0.380502,0.191024,-0.313237,-546.751
-550.258,0.926489,0.236541,4,15,0,558.305,0.492203,0.0296285,0.0592286,-0.347231,0.0859891,-0.280022,0.283575,0.0410011,0.207261,-0.19676,0.496862,-0.0390992,-0.341952,-0.147612,-0.335608,-0.223803,0.250276,0.0863465,-0.0619603,0.492203,0.0296285,0.0592286,-0.347231,0.0859891,-0.280022,0.283575,0.0410011,0.207261,-0.19676,0.496862,-0.0390992,-0.341952,-0.147612,-0.335608,-0.223803,0.250276,0.0863465,-0.0619603,-0.0583236,-549.638
-550.141,0.998945,0.236541,4,15,0,557.061,-0.0293928,0.407939,-0.228747,-0.344058,-0.132789,-0.305383,0.506166,-0.251798,0.250583,-0.0848643,0.601925,-0.438046,-0.30116,-0.27094,-0.399026,0.552725,0.191697,0.249627,0.262624,-0.0293928,0.407939,-0.228747,-0.344058,-0.132789,-0.305383,0.506166,-0.251798,0.250583,-0.0848643,0.601925,-0.438046,-0.30116,-0.27094,-0.399026,0.552725,0.191697,0.249627,0.262624,-0.237082,-549.047
-546.421,0.914164,0.236541,4,15,0,555.523,0.104522,0.2879,-0.104142,-0.264272,-0.0929361,-0.330069,0.323108,-0.122138,0.129217,0.0547842,0.6074,-0.25219,-0.320233,-0.291806,-0.573793,0.444854,0.200207,0.340841,0.255579,0.104522,0.2879,-0.104142,-0.264272,-0.0929361,-0.330069,0.323108,-0.122138,0.129217,0.0547842,0.6074,-0.25219,-0.320233,-0.291806,-0.573793,0.444854,0.200207,0.340841,0.255579,-0.396831,-545.521
-546.558,0.998633,0.236541,4,15,0,553.408,0.3448,0.287612,-0.243703,-0.35562,-0.0186081,-0.26418,0.333666,0.0581786,0.18317,-0.0610114,0.551922,-0.316933,-0.0669169,-0.365252,-0.237567,0.367632,-0.0408572,0.00786787,0.232766,0.3448,0.287612,-0.243703,-0.35562,-0.0186081,-0.26418,0.333666,0.0581786,0.18317,-0.0610114,0.551922,-0.316933,-0.0669169,-0.365252,-0.237567,0.367632,-0.0408572,0.00786787,0.232766,-0.396965,-545.858
-546.961,0.99404,0.236541,4,15,0,554.208,0.178273,0.0393437,-0.0792211,-0.211144,0.181823,-0.184332,0.181804,-0.16022,0.0500925,0.0515553,0.560194,-0.469091,-0.314355,-0.0436759,-0.231122,0.206435,0.173662,0.125923,0.17531,0.178273,0.0393437,-0.0792211,-0.211144,0.181823,-0.184332,0.181804,-0.16022,0.0500925,0.0515553,0.560194,-0.469091,-0.314355,-0.0436759,-0.231122,0.206435,0.173662,0.125923,0.17531,-0.231254,-546.449
-547.448,0.979612,0.236541,4,15,0,554.735,0.345846,0.336195,0.033332,-0.556232,-0.23899,-0.508874,0.553238,-0.0247258,0.382037,-0.131213,0.417778,-0.0883144,-0.145377,-0.490131,-0.437242,0.151429,0.0822896,0.361723,0.0842007,0.345846,0.336195,0.033332,-0.556232,-0.23899,-0.508874,0.553238,-0.0247258,0.382037,-0.131213,0.417778,-0.0883144,-0.145377,-0.490131,-0.437242,0.151429,0.0822896,0.361723,0.0842007,-0.126969,-546.382
-547.397,0.982395,0.236541,4,15,0,556.134,0.19041,0.0232841,-0.0172386,-0.228298,0.196558,-0.176336,0.201782,-0.21564,0.0199224,0.0562146,0.6308,-0.417799,-0.368376,-0.0617683,-0.276738,0.278681,0.184985,0.0962755,0.152894,0.19041,0.0232841,-0.0172386,-0.228298,0.196558,-0.176336,0.201782,-0.21564,0.0199224,0.0562146,0.6308,-0.417799,-0.368376,-0.0617683,-0.276738,0.278681,0.184985,0.0962755,0.152894,-0.269613,-546.806
-550.649,0.659657,0.236541,4,15,0,560.033,0.229147,0.181965,-0.100073,-0.191613,0.127205,-0.390732,0.352528,0.0157636,-0.206891,-0.267719,0.699801,-0.19145,-0.172408,-0.397274,-0.386409,0.228891,-0.0203225,0.0814382,0.28533,0.229147,0.181965,-0.100073,-0.191613,0.127205,-0.390732,0.352528,0.0157636,-0.206891,-0.267719,0.699801,-0.19145,-0.172408,-0.397274,-0.386409,0.228891,-0.0203225,0.0814382,0.28533,0.12282,-549.877
-548.773,0.990976,0.236541,4,15,0,563.413,0.289485,0.168871,0.0519364,-0.566413,-0.168099,-0.305136,0.338682,-0.24166,0.574941,0.192431,0.335937,-0.315191,-0.277768,-0.127476,-0.280151,0.0678489,0.113654,0.337083,-0.0822747,0.289485,0.168871,0.0519364,-0.566413,-0.168099,-0.305136,0.338682,-0.24166,0.574941,0.192431,0.335937,-0.315191,-0.277768,-0.127476,-0.280151,0.0678489,0.113654,0.337083,-0.0822747,-0.1067,-547.963
-549.003,0.956075,0.236541,4,15,0,558.644,0.17874,0.246865,0.102106,-0.395649,-0.286638,-0.341159,0.37146,-0.0597955,0.151887,-0.0353677,0.378423,-0.197299,0.00769731,-0.23539,-0.321133,0.460644,-0.212753,0.395068,0.0509666,0.17874,0.246865,0.102106,-0.395649,-0.286638,-0.341159,0.37146,-0.0597955,0.151887,-0.0353677,0.378423,-0.197299,0.00769731,-0.23539,-0.321133,0.460644,-0.212753,0.395068,0.0509666,-0.258672,-548.312
-549.063,0.934501,0.236541,4,15,0,555.176,0.330385,0.16623,-0.119883,-0.361425,0.243038,-0.344259,0.345932,-0.10801,0.236524,-0.0508674,0.647679,-0.325027,-0.523164,-0.32104,-0.377116,-0.0993167,0.433912,0.0463278,0.161222,0.330385,0.16623,-0.119883,-0.361425,0.243038,-0.344259,0.345932,-0.10801,0.236524,-0.0508674,0.647679,-0.325027,-0.523164,-0.32104,-0.377116,-0.0993167,0.433912,0.0463278,0.161222,0.0188561,-548.103
