# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_1_model
# start_datetime = 2025-08-29 03:52:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/_ql4dwz3.json
# init = 2 (Default)
# random
#   seed = 32423
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_1xa33lvtk/poisson_1-20250829005213_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_1.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.278854
# Diagonal elements of inverse mass matrix:
# 0.0174712, 0.0195121, 0.0229173, 0.0213311, 0.0203968, 0.019405, 0.0173886, 0.0200724, 0.0228087, 0.0227622, 0.0162093, 0.0147036, 0.0175518, 0.0215129, 0.0178899, 0.0230155, 0.0192198, 0.0197813, 0.0221564
-547.085,0.630844,0.278854,4,15,0,564.073,0.290173,-0.0636653,-0.141467,-0.18306,0.0436098,-0.449365,0.313563,-0.129155,0.330905,0.14879,0.405913,-0.318479,-0.0354547,-0.250192,-0.285249,0.192877,0.0835219,0.410552,0.0134555,0.290173,-0.0636653,-0.141467,-0.18306,0.0436098,-0.449365,0.313563,-0.129155,0.330905,0.14879,0.405913,-0.318479,-0.0354547,-0.250192,-0.285249,0.192877,0.0835219,0.410552,0.0134555,-0.377273,-546.477
-547.634,0.97573,0.278854,4,15,0,554.965,0.387637,-0.176572,-0.0697928,-0.453764,-0.181862,-0.351627,0.256838,-0.267613,0.38382,0.114712,0.45312,-0.237059,-0.244242,-0.119383,-0.419361,0.329472,0.245855,0.348974,0.132316,0.387637,-0.176572,-0.0697928,-0.453764,-0.181862,-0.351627,0.256838,-0.267613,0.38382,0.114712,0.45312,-0.237059,-0.244242,-0.119383,-0.419361,0.329472,0.245855,0.348974,0.132316,-0.131468,-546.801
-549.491,0.876066,0.278854,4,15,0,559.942,0.0127115,0.303836,0.0799025,-0.1909,0.178064,-0.344535,0.577515,0.0246403,0.153646,-0.0959472,0.290298,-0.160805,-0.258118,-0.452859,-0.351479,-0.104994,0.0718792,0.182222,0.0986144,0.0127115,0.303836,0.0799025,-0.1909,0.178064,-0.344535,0.577515,0.0246403,0.153646,-0.0959472,0.290298,-0.160805,-0.258118,-0.452859,-0.351479,-0.104994,0.0718792,0.182222,0.0986144,-0.0136902,-548.882
-555.536,0.719324,0.278854,4,15,0,565.356,0.182404,0.114416,-0.192763,-0.349186,0.0250944,-0.502591,0.499211,0.305129,0.0763018,-0.188824,0.62215,-0.352818,-0.271368,-0.0246632,-0.106672,0.157666,0.0811828,-0.0425151,-0.197917,0.182404,0.114416,-0.192763,-0.349186,0.0250944,-0.502591,0.499211,0.305129,0.0763018,-0.188824,0.62215,-0.352818,-0.271368,-0.0246632,-0.106672,0.157666,0.0811828,-0.0425151,-0.197917,0.165761,-554.78
-552.32,1,0.278854,4,15,0,564.216,0.284094,0.242672,0.133096,-0.429971,-0.0792999,-0.163552,0.268911,-0.484787,0.287063,0.0971608,0.419671,-0.264744,-0.268257,-0.533602,-0.615092,0.18516,0.114689,0.482781,0.425802,0.284094,0.242672,0.133096,-0.429971,-0.0792999,-0.163552,0.268911,-0.484787,0.287063,0.0971608,0.419671,-0.264744,-0.268257,-0.533602,-0.615092,0.18516,0.114689,0.482781,0.425802,-0.101793,-551.212
-550.205,0.999444,0.278854,4,15,0,557.889,0.251632,0.155494,-0.205458,-0.377651,0.0156169,-0.450432,0.462962,0.238868,0.171036,-0.207872,0.616243,-0.237001,-0.245321,0.0316113,-0.0661877,0.0987348,0.0738831,-0.022419,-0.0605355,0.251632,0.155494,-0.205458,-0.377651,0.0156169,-0.450432,0.462962,0.238868,0.171036,-0.207872,0.616243,-0.237001,-0.245321,0.0316113,-0.0661877,0.0987348,0.0738831,-0.022419,-0.0605355,-0.243205,-549.535
-551.418,0.686726,0.278854,4,15,0,563.414,0.290113,0.230393,0.190953,-0.468037,-0.0597781,-0.243881,0.273296,-0.426337,0.208561,0.137526,0.35497,-0.320385,-0.270557,-0.54865,-0.586231,0.250456,0.159165,0.473988,0.290314,0.290113,0.230393,0.190953,-0.468037,-0.0597781,-0.243881,0.273296,-0.426337,0.208561,0.137526,0.35497,-0.320385,-0.270557,-0.54865,-0.586231,0.250456,0.159165,0.473988,0.290314,0.0641195,-550.358
-551.606,0.953339,0.278854,4,15,0,561.784,0.356408,0.157051,-0.271899,-0.309578,-0.12463,-0.446091,0.440489,0.169258,0.211584,-0.234002,0.672583,-0.195308,-0.331375,-0.112228,-0.0585577,0.0976485,0.0846676,-0.0434951,-0.109243,0.356408,0.157051,-0.271899,-0.309578,-0.12463,-0.446091,0.440489,0.169258,0.211584,-0.234002,0.672583,-0.195308,-0.331375,-0.112228,-0.0585577,0.0976485,0.0846676,-0.0434951,-0.109243,0.0467195,-550.853
-553.376,1,0.278854,4,15,0,560.226,0.226514,0.014109,0.159246,-0.510238,0.191675,-0.219113,0.559247,-0.272842,0.155991,0.037283,0.344707,-0.0150697,-0.297117,-0.417158,-0.687335,0.160294,0.101517,0.412547,0.407091,0.226514,0.014109,0.159246,-0.510238,0.191675,-0.219113,0.559247,-0.272842,0.155991,0.037283,0.344707,-0.0150697,-0.297117,-0.417158,-0.687335,0.160294,0.101517,0.412547,0.407091,-0.351347,-552.346
-552.746,0.536629,0.278854,4,15,0,564.309,0.292519,0.355924,-0.209651,-0.232149,-0.196381,-0.470112,0.188739,0.104051,0.256899,-0.112275,0.674144,-0.530334,-0.20389,-0.120118,0.042678,0.192523,0.141735,0.0690315,-0.124271,0.292519,0.355924,-0.209651,-0.232149,-0.196381,-0.470112,0.188739,0.104051,0.256899,-0.112275,0.674144,-0.530334,-0.20389,-0.120118,0.042678,0.192523,0.141735,0.0690315,-0.124271,-0.119061,-551.963
-553.054,0.97129,0.278854,4,15,0,567.033,0.215054,-0.00930587,0.133109,-0.636432,0.212767,-0.107265,0.317106,-0.189709,0.230628,-0.0176955,0.432143,-0.00832251,-0.273491,-0.46066,-0.680819,0.464254,0.0701062,0.158915,0.213666,0.215054,-0.00930587,0.133109,-0.636432,0.212767,-0.107265,0.317106,-0.189709,0.230628,-0.0176955,0.432143,-0.00832251,-0.273491,-0.46066,-0.680819,0.464254,0.0701062,0.158915,0.213666,-0.064049,-552.082
-554.839,0.933791,0.278854,4,15,0,571.958,0.322801,0.0638833,0.0848801,-0.768508,0.174239,-0.0648785,0.407534,-0.286508,0.165622,-0.138828,0.638746,0.142941,-0.197228,-0.330205,-0.603757,0.364594,0.0635037,0.123636,0.0449085,0.322801,0.0638833,0.0848801,-0.768508,0.174239,-0.0648785,0.407534,-0.286508,0.165622,-0.138828,0.638746,0.142941,-0.197228,-0.330205,-0.603757,0.364594,0.0635037,0.123636,0.0449085,-0.207377,-553.774
