# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_1_model
# start_datetime = 2025-08-29 03:52:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/zo2dwdf1.json
# init = 2 (Default)
# random
#   seed = 70528
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_19mvy5a04/poisson_1-20250829005207_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_1.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.228759
# Diagonal elements of inverse mass matrix:
# 0.00999473, 0.00975006, 0.0113355, 0.00888429, 0.0120477, 0.0107541, 0.00952612, 0.0100843, 0.00968705, 0.0101914, 0.00883499, 0.01203, 0.0100085, 0.0113027, 0.0106656, 0.00992448, 0.0105313, 0.0123672, 0.0124826
-1019.45,0.998385,0.228759,4,15,0,1026.66,0.239973,0.318699,0.0185107,-0.464437,-0.205342,-0.520399,0.388977,0.119793,0.074391,-0.351695,0.626717,-0.114944,-0.00336613,-0.369135,-0.138621,0.0342652,-0.0142606,0.205097,0.234386,0.239973,0.318699,0.0185107,-0.464437,-0.205342,-0.520399,0.388977,0.119793,0.074391,-0.351695,0.626717,-0.114944,-0.00336613,-0.369135,-0.138621,0.0342652,-0.0142606,0.205097,0.234386,-0.0786094,-1018.63
-1019.46,0.872521,0.228759,4,15,0,1026.47,0.246257,0.274316,0.0142409,-0.544911,0.00993312,-0.164696,0.399428,0.071939,0.191654,-0.0842801,0.608497,-0.29326,-0.198858,-0.13849,-0.273257,-0.0660671,0.0438786,-0.0389943,0.0727271,0.246257,0.274316,0.0142409,-0.544911,0.00993312,-0.164696,0.399428,0.071939,0.191654,-0.0842801,0.608497,-0.29326,-0.198858,-0.13849,-0.273257,-0.0660671,0.0438786,-0.0389943,0.0727271,-0.130056,-1018.82
-1017.79,1,0.228759,4,15,0,1025.17,0.425222,0.225582,0.0646778,-0.514123,0.0766752,-0.329907,0.216867,-0.121551,0.0882513,-0.160269,0.540837,-0.274059,-0.105255,-0.189307,-0.177142,0.0189767,-0.0772171,0.230061,0.158913,0.425222,0.225582,0.0646778,-0.514123,0.0766752,-0.329907,0.216867,-0.121551,0.0882513,-0.160269,0.540837,-0.274059,-0.105255,-0.189307,-0.177142,0.0189767,-0.0772171,0.230061,0.158913,-0.0972317,-1017.17
-1019.77,0.953246,0.228759,4,15,0,1025.46,0.214746,0.359042,0.0599847,-0.470963,-0.186543,-0.247225,0.212324,0.165148,0.105601,-0.357492,0.55209,-0.291313,-0.231804,-0.162875,-0.282535,0.137597,0.0525092,0.0962974,0.256285,0.214746,0.359042,0.0599847,-0.470963,-0.186543,-0.247225,0.212324,0.165148,0.105601,-0.357492,0.55209,-0.291313,-0.231804,-0.162875,-0.282535,0.137597,0.0525092,0.0962974,0.256285,0.0191278,-1019.09
-1017.44,0.971932,0.228759,4,15,0,1025.9,0.271067,0.317511,-0.144915,-0.524693,-0.0541515,-0.465881,0.407879,-0.119829,0.177503,0.0290298,0.563438,-0.0703551,-0.0675284,-0.241341,-0.287555,0.00298253,-0.00930541,0.151478,0.234152,0.271067,0.317511,-0.144915,-0.524693,-0.0541515,-0.465881,0.407879,-0.119829,0.177503,0.0290298,0.563438,-0.0703551,-0.0675284,-0.241341,-0.287555,0.00298253,-0.00930541,0.151478,0.234152,-0.169485,-1016.71
-1021.7,0.992776,0.228759,4,15,0,1026.5,0.318624,0.373164,-0.0688897,-0.664096,-0.0110249,-0.381671,0.377566,-0.136196,0.0301047,-0.102397,0.541437,-0.00855883,-0.148868,-0.0880876,-0.283026,-0.0837253,-0.131484,0.317863,0.246807,0.318624,0.373164,-0.0688897,-0.664096,-0.0110249,-0.381671,0.377566,-0.136196,0.0301047,-0.102397,0.541437,-0.00855883,-0.148868,-0.0880876,-0.283026,-0.0837253,-0.131484,0.317863,0.246807,-0.0975415,-1020.91
