# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_1_model
# start_datetime = 2025-08-29 03:52:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/zo2dwdf1.json
# init = 2 (Default)
# random
#   seed = 70528
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_19mvy5a04/poisson_1-20250829005207_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_1.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.216252
# Diagonal elements of inverse mass matrix:
# 0.0109392, 0.0118109, 0.0122089, 0.00927181, 0.0128039, 0.00931264, 0.0106213, 0.0102696, 0.011726, 0.00936975, 0.00935065, 0.0112544, 0.0109101, 0.0110584, 0.0112589, 0.0112004, 0.0114997, 0.0106674, 0.0106061
-1021.45,0.889898,0.216252,4,15,0,1032.97,0.279846,0.46449,0.0397684,-0.390793,-0.0656888,-0.287238,0.28988,0.00598568,0.257529,-0.225208,0.339466,-0.18881,-0.172263,-0.339577,-0.266228,-0.00964371,0.0290667,0.044019,0.408522,0.279846,0.46449,0.0397684,-0.390793,-0.0656888,-0.287238,0.28988,0.00598568,0.257529,-0.225208,0.339466,-0.18881,-0.172263,-0.339577,-0.266228,-0.00964371,0.0290667,0.044019,0.408522,-0.213125,-1020.81
-1021.02,0.934238,0.216252,4,15,0,1029.77,0.254934,0.392523,0.0796786,-0.42931,-0.21065,-0.345808,0.433523,0.0860956,0.168242,-0.169297,0.576228,-0.238443,-0.0650191,-0.0151271,-0.381473,-0.102598,0.0868845,-0.00446864,0.148398,0.254934,0.392523,0.0796786,-0.42931,-0.21065,-0.345808,0.433523,0.0860956,0.168242,-0.169297,0.576228,-0.238443,-0.0650191,-0.0151271,-0.381473,-0.102598,0.0868845,-0.00446864,0.148398,-0.264313,-1020.32
-1019.66,0.749442,0.216252,4,15,0,1030.53,0.218022,0.302086,-0.0738687,-0.414376,-0.188369,-0.454111,0.264402,0.0568532,0.106145,-0.210431,0.432726,-0.0872115,-0.0209101,-0.18147,-0.204029,-0.0154064,-0.0155097,0.0385324,0.237963,0.218022,0.302086,-0.0738687,-0.414376,-0.188369,-0.454111,0.264402,0.0568532,0.106145,-0.210431,0.432726,-0.0872115,-0.0209101,-0.18147,-0.204029,-0.0154064,-0.0155097,0.0385324,0.237963,0.208964,-1019.15
-1021.8,0.919466,0.216252,4,15,0,1030.25,0.192,0.190137,0.103213,-0.460973,-0.105479,-0.480282,0.401384,0.0323179,0.172852,-0.23147,0.35401,0.0574844,-0.046367,-0.243072,-0.177907,0.128882,-0.0506943,0.0633173,0.271927,0.192,0.190137,0.103213,-0.460973,-0.105479,-0.480282,0.401384,0.0323179,0.172852,-0.23147,0.35401,0.0574844,-0.046367,-0.243072,-0.177907,0.128882,-0.0506943,0.0633173,0.271927,-0.171281,-1021.25
-1022.46,0.983623,0.216252,4,15,0,1030.48,0.403895,0.53001,-0.119673,-0.541796,-0.110397,-0.349041,0.301982,0.0443599,0.0216459,-0.281146,0.641243,-0.47677,-0.141759,-0.106074,-0.289915,-0.0595972,-0.0488567,0.21343,0.320443,0.403895,0.53001,-0.119673,-0.541796,-0.110397,-0.349041,0.301982,0.0443599,0.0216459,-0.281146,0.641243,-0.47677,-0.141759,-0.106074,-0.289915,-0.0595972,-0.0488567,0.21343,0.320443,0.0480158,-1021.48
-1024.6,0.976798,0.216252,4,15,0,1037.39,0.376955,0.494734,-0.157637,-0.48348,-0.0331413,-0.387664,0.310162,0.0257567,0.0415801,-0.183304,0.690527,-0.597586,-0.185005,-0.172249,-0.237244,-0.0346561,-0.0204201,0.26266,0.33496,0.376955,0.494734,-0.157637,-0.48348,-0.0331413,-0.387664,0.310162,0.0257567,0.0415801,-0.183304,0.690527,-0.597586,-0.185005,-0.172249,-0.237244,-0.0346561,-0.0204201,0.26266,0.33496,-0.0449485,-1023.57
-1019.95,0.620725,0.216252,4,15,0,1035.13,0.254745,0.259045,0.0889582,-0.50676,-0.0431305,-0.559799,0.281359,0.0862265,-0.0342752,-0.0523133,0.538275,-0.269129,-0.185357,-0.0474189,-0.280715,-0.077918,0.0443339,0.130718,0.256887,0.254745,0.259045,0.0889582,-0.50676,-0.0431305,-0.559799,0.281359,0.0862265,-0.0342752,-0.0523133,0.538275,-0.269129,-0.185357,-0.0474189,-0.280715,-0.077918,0.0443339,0.130718,0.256887,0.116268,-1019.27
-1020.56,0.874467,0.216252,4,31,0,1028.16,0.276051,0.161435,-0.0310402,-0.548672,-0.0990097,-0.380392,0.264364,-0.082748,0.194501,0.0279738,0.596653,-0.11605,-0.0331876,-0.231427,-0.16683,0.251415,-0.0855094,0.0887431,0.162531,0.276051,0.161435,-0.0310402,-0.548672,-0.0990097,-0.380392,0.264364,-0.082748,0.194501,0.0279738,0.596653,-0.11605,-0.0331876,-0.231427,-0.16683,0.251415,-0.0855094,0.0887431,0.162531,-0.248802,-1019.95
-1018.77,0.995976,0.216252,4,15,0,1029.53,0.249208,0.399341,-0.0277436,-0.322176,-0.117195,-0.51028,0.23905,-0.113597,0.23719,-0.12625,0.625303,-0.137823,-0.218378,-0.336767,-0.259755,0.103263,-0.00140054,0.13923,0.239182,0.249208,0.399341,-0.0277436,-0.322176,-0.117195,-0.51028,0.23905,-0.113597,0.23719,-0.12625,0.625303,-0.137823,-0.218378,-0.336767,-0.259755,0.103263,-0.00140054,0.13923,0.239182,-0.0604015,-1018.04
