# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_1_model
# start_datetime = 2025-08-29 03:52:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/j99cqjwk.json
# init = 2 (Default)
# random
#   seed = 97520
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_1s1491ih_/poisson_1-20250829005208_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_1.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.209067
# Diagonal elements of inverse mass matrix:
# 0.0664583, 0.0768198, 0.0626335, 0.0869975, 0.0882004, 0.0756828, 0.0695781, 0.0810669, 0.0910479, 0.0905662, 0.0783449, 0.086499, 0.0969222, 0.0953682, 0.0827719, 0.0853747, 0.104428, 0.083885, 0.0808772
-148.741,0.997494,0.209067,4,15,0,161.546,0.230748,-0.360305,0.284008,0.0969167,-0.0277592,-0.153884,0.906731,0.291194,0.453459,0.00926179,0.0426617,-0.681872,-0.0410059,0.505833,-0.742552,0.0965152,-0.167071,-0.293631,-0.0568371,0.230748,-0.360305,0.284008,0.0969167,-0.0277592,-0.153884,0.906731,0.291194,0.453459,0.00926179,0.0426617,-0.681872,-0.0410059,0.505833,-0.742552,0.0965152,-0.167071,-0.293631,-0.0568371,-0.392411,-147.335
-147.402,0.881771,0.209067,4,15,0,160.693,-0.367328,0.469634,-0.276831,-0.931088,0.0898197,-0.19608,1.16697,-0.156416,0.439589,0.051434,0.143159,0.0040091,0.11304,-0.154014,0.124701,0.534637,-0.241823,-0.1827,-0.387246,-0.367328,0.469634,-0.276831,-0.931088,0.0898197,-0.19608,1.16697,-0.156416,0.439589,0.051434,0.143159,0.0040091,0.11304,-0.154014,0.124701,0.534637,-0.241823,-0.1827,-0.387246,-0.243468,-145.638
-144.986,0.946104,0.209067,4,15,0,153.683,-0.0510845,-0.309977,0.263883,0.0664314,-0.198439,-0.514281,0.644643,0.097523,0.466764,0.446602,0.00509414,-0.647554,-0.0561952,0.497547,-0.358825,0.22673,0.125937,0.05362,-0.322472,-0.0510845,-0.309977,0.263883,0.0664314,-0.198439,-0.514281,0.644643,0.097523,0.466764,0.446602,0.00509414,-0.647554,-0.0561952,0.497547,-0.358825,0.22673,0.125937,0.05362,-0.322472,-0.435947,-143.84
-146.469,0.984828,0.209067,4,15,0,154.624,0.179195,0.25788,-0.236319,-0.724808,0.327138,-0.596884,0.520899,0.258966,0.870829,0.211596,0.290114,-0.172257,0.278926,-0.0976938,-0.166131,-0.256548,0.0456135,-0.15135,0.0280955,0.179195,0.25788,-0.236319,-0.724808,0.327138,-0.596884,0.520899,0.258966,0.870829,0.211596,0.290114,-0.172257,0.278926,-0.0976938,-0.166131,-0.256548,0.0456135,-0.15135,0.0280955,-0.86726,-145.166
-145.251,0.985602,0.209067,5,31,0,153.534,-0.245663,-0.156422,0.181217,0.0999539,0.179874,0.279815,0.969419,-0.31661,0.264173,0.00172664,-0.0640763,-0.516277,-0.0168708,0.150609,-0.19193,0.69055,-0.322402,-0.0263366,-0.142014,-0.245663,-0.156422,0.181217,0.0999539,0.179874,0.279815,0.969419,-0.31661,0.264173,0.00172664,-0.0640763,-0.516277,-0.0168708,0.150609,-0.19193,0.69055,-0.322402,-0.0263366,-0.142014,-0.818738,-144.111
-151.727,0.666313,0.209067,4,15,0,159.707,-0.40228,-0.00311916,0.163178,-0.329908,-0.00542485,-0.456497,1.36923,-0.114482,-0.205551,0.0511034,0.0748995,-0.0248507,0.460203,0.650728,-0.593814,0.213435,-0.201635,-0.0836638,-0.533733,-0.40228,-0.00311916,0.163178,-0.329908,-0.00542485,-0.456497,1.36923,-0.114482,-0.205551,0.0511034,0.0748995,-0.0248507,0.460203,0.650728,-0.593814,0.213435,-0.201635,-0.0836638,-0.533733,-0.0278161,-149.822
-147.926,0.889626,0.209067,4,15,0,161.488,-0.158114,0.00404929,0.219859,-0.325031,0.154336,-0.556489,1.09122,0.00587741,-0.248597,0.10955,0.439368,-0.47691,0.138809,0.331129,-0.549574,0.203078,0.307572,0.0558821,-0.398182,-0.158114,0.00404929,0.219859,-0.325031,0.154336,-0.556489,1.09122,0.00587741,-0.248597,0.10955,0.439368,-0.47691,0.138809,0.331129,-0.549574,0.203078,0.307572,0.0558821,-0.398182,-0.347837,-146.463
