# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_1_model
# start_datetime = 2025-08-29 03:52:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/bk1iev6v.json
# init = 2 (Default)
# random
#   seed = 29988
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_1662z4o00/poisson_1-20250829005219_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_1.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.225783
# Diagonal elements of inverse mass matrix:
# 0.0299243, 0.0302022, 0.0273037, 0.0242927, 0.0258127, 0.0270547, 0.0287849, 0.0255723, 0.0282682, 0.0306001, 0.0284162, 0.0308063, 0.0264291, 0.0238707, 0.026107, 0.0272722, 0.0264351, 0.029065, 0.0228535
-410.258,0.996804,0.225783,4,15,0,415.445,0.165584,0.281965,-0.0347233,-0.133681,0.173176,-0.177732,-0.02697,0.0689483,0.0542011,-0.155013,0.228122,0.412668,-0.15932,-0.286163,-0.29805,0.231313,-0.0905912,0.0112466,-0.279882,0.165584,0.281965,-0.0347233,-0.133681,0.173176,-0.177732,-0.02697,0.0689483,0.0542011,-0.155013,0.228122,0.412668,-0.15932,-0.286163,-0.29805,0.231313,-0.0905912,0.0112466,-0.279882,0.0149005,-409.868
-409.834,0.98601,0.225783,4,15,0,416.91,0.129264,0.49875,0.0678212,-0.241413,0.274152,-0.0725622,0.427635,-0.433817,-0.0629977,-0.166676,-0.167181,-0.025992,-0.274985,0.0153422,-0.37887,0.445511,0.0793501,0.0549008,-0.480843,0.129264,0.49875,0.0678212,-0.241413,0.274152,-0.0725622,0.427635,-0.433817,-0.0629977,-0.166676,-0.167181,-0.025992,-0.274985,0.0153422,-0.37887,0.445511,0.0793501,0.0549008,-0.480843,0.312611,-409.085
-408.16,0.905429,0.225783,4,15,0,414.654,-0.00240998,0.29307,-0.11665,-0.204178,0.0279311,-0.0415508,0.156785,-0.158906,0.0100463,-0.0202065,0.136845,0.107522,-0.222812,0.0257623,-0.45493,0.315513,0.0462307,0.113001,-0.0957576,-0.00240998,0.29307,-0.11665,-0.204178,0.0279311,-0.0415508,0.156785,-0.158906,0.0100463,-0.0202065,0.136845,0.107522,-0.222812,0.0257623,-0.45493,0.315513,0.0462307,0.113001,-0.0957576,0.0846945,-407.857
-413.003,0.963242,0.225783,4,15,0,416.551,0.474806,0.310516,-0.09638,-0.239673,0.310219,-0.137969,0.243059,-0.233057,-0.222093,-0.301746,-0.0521179,-0.235147,-0.204006,-0.0199275,-0.131904,0.070661,0.241389,-0.148423,-0.10682,0.474806,0.310516,-0.09638,-0.239673,0.310219,-0.137969,0.243059,-0.233057,-0.222093,-0.301746,-0.0521179,-0.235147,-0.204006,-0.0199275,-0.131904,0.070661,0.241389,-0.148423,-0.10682,0.478613,-412.517
-422.298,0.963091,0.225783,4,15,0,431.661,0.0988126,0.433248,0.158299,-0.359565,0.0203348,0.360055,0.432767,-0.554305,-0.343329,-0.325177,0.257281,0.470683,0.119702,0.0457613,-0.377381,0.098063,0.209916,-0.152923,-0.659258,0.0988126,0.433248,0.158299,-0.359565,0.0203348,0.360055,0.432767,-0.554305,-0.343329,-0.325177,0.257281,0.470683,0.119702,0.0457613,-0.377381,0.098063,0.209916,-0.152923,-0.659258,0.0670138,-421.219
-418.766,0.99773,0.225783,4,15,0,432.725,0.290853,0.318812,-0.312262,-0.100481,0.0345875,-0.327455,-0.0328799,0.299265,0.033392,0.0483043,-0.0924863,-0.183665,-0.416607,-0.0779468,-0.122888,0.568247,-0.0814606,0.103608,-0.0683409,0.290853,0.318812,-0.312262,-0.100481,0.0345875,-0.327455,-0.0328799,0.299265,0.033392,0.0483043,-0.0924863,-0.183665,-0.416607,-0.0779468,-0.122888,0.568247,-0.0814606,0.103608,-0.0683409,0.119404,-418.226
-410.18,0.908169,0.225783,4,15,0,425.399,0.113004,0.288196,-0.0992526,-0.0751672,0.347376,-0.170268,-0.0626003,-0.0538923,-0.0937804,-0.237319,-0.251248,0.11526,-0.142614,-0.300489,-0.181857,0.359231,0.243887,0.11433,-0.096118,0.113004,0.288196,-0.0992526,-0.0751672,0.347376,-0.170268,-0.0626003,-0.0538923,-0.0937804,-0.237319,-0.251248,0.11526,-0.142614,-0.300489,-0.181857,0.359231,0.243887,0.11433,-0.096118,0.183321,-409.798
-414.868,0.988784,0.225783,4,15,0,421.254,0.220252,0.372788,-0.114457,-0.228514,0.109484,-0.398136,0.3878,-0.532896,-0.0304249,0.00474619,0.267015,0.298119,-0.0837795,0.04155,-0.514722,0.389653,0.208262,-0.242169,-0.55888,0.220252,0.372788,-0.114457,-0.228514,0.109484,-0.398136,0.3878,-0.532896,-0.0304249,0.00474619,0.267015,0.298119,-0.0837795,0.04155,-0.514722,0.389653,0.208262,-0.242169,-0.55888,0.404307,-413.938
