# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = poisson_1_model
# start_datetime = 2025-08-29 03:52:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/b9p8tq33.json
# init = 2 (Default)
# random
#   seed = 91171
# output
#   file = /var/folders/67/qnnhzk_15ydg7t3gr6_lmx8r0000gq/T/tmp6x7vzfzz/poisson_1l308cfiq/poisson_1-20250829005220_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=poisson_1.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,raw_alpha.1,raw_alpha.2,raw_alpha.3,raw_alpha.4,raw_alpha.5,raw_alpha.6,raw_alpha.7,raw_alpha.8,raw_alpha.9,raw_alpha.10,raw_alpha.11,raw_alpha.12,raw_alpha.13,raw_alpha.14,raw_alpha.15,raw_alpha.16,raw_alpha.17,raw_alpha.18,raw_alpha.19,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,log_lik
# Adaptation terminated
# Step size = 0.218165
# Diagonal elements of inverse mass matrix:
# 0.0196493, 0.0176604, 0.0237215, 0.0217863, 0.0170492, 0.0253045, 0.0238906, 0.0217628, 0.0195117, 0.020654, 0.0190182, 0.0224862, 0.0224994, 0.0203484, 0.0185483, 0.0187535, 0.0207442, 0.0240133, 0.0207689
-556.43,0.963646,0.218165,4,15,0,565.241,0.290532,0.30859,-0.176439,-0.0173684,0.0334814,-0.247109,0.291565,-0.0547571,-0.127377,-0.217776,0.0133808,0.340338,-0.131361,-0.00572947,-0.245458,0.496041,-0.300826,-0.0549593,-0.568946,0.290532,0.30859,-0.176439,-0.0173684,0.0334814,-0.247109,0.291565,-0.0547571,-0.127377,-0.217776,0.0133808,0.340338,-0.131361,-0.00572947,-0.245458,0.496041,-0.300826,-0.0549593,-0.568946,0.37418,-555.789
-556.544,0.984388,0.218165,4,15,0,566.608,0.261939,0.288924,-0.149728,0.0568111,0.139813,-0.00632539,0.179797,-0.195417,-0.122925,-0.264934,0.267686,0.0300576,-0.305245,-0.22422,0.0643599,0.0281113,-0.119943,0.117877,-0.472298,0.261939,0.288924,-0.149728,0.0568111,0.139813,-0.00632539,0.179797,-0.195417,-0.122925,-0.264934,0.267686,0.0300576,-0.305245,-0.22422,0.0643599,0.0281113,-0.119943,0.117877,-0.472298,0.425656,-556.132
-558.405,0.982169,0.218165,4,15,0,567.034,-0.222499,0.210145,0.10056,0.0260254,0.181772,-0.103624,0.107539,0.066993,-0.146658,-0.197451,-0.0277108,0.387124,-0.094051,-0.00748855,-0.322208,0.5628,-0.105112,-0.202871,-0.535255,-0.222499,0.210145,0.10056,0.0260254,0.181772,-0.103624,0.107539,0.066993,-0.146658,-0.197451,-0.0277108,0.387124,-0.094051,-0.00748855,-0.322208,0.5628,-0.105112,-0.202871,-0.535255,0.321969,-557.833
-558.551,0.997959,0.218165,4,15,0,568.925,-0.0307887,0.275957,-0.167012,-0.0112566,0.0901701,0.267561,0.0372235,-0.0867558,-0.210807,-0.497554,0.0423202,0.469467,0.0524018,-0.0567144,-0.139684,0.196425,0.0665224,-0.191526,-0.43979,-0.0307887,0.275957,-0.167012,-0.0112566,0.0901701,0.267561,0.0372235,-0.0867558,-0.210807,-0.497554,0.0423202,0.469467,0.0524018,-0.0567144,-0.139684,0.196425,0.0665224,-0.191526,-0.43979,0.33384,-558.048
-553.975,0.998655,0.218165,4,15,0,565.051,0.199933,0.174519,-0.286121,-0.168926,0.0744563,-0.0600994,-0.0502056,-0.0234029,-0.167622,-0.397178,0.0115445,0.270734,-0.159533,-0.171995,-0.110228,0.460655,0.274656,0.119698,-0.318027,0.199933,0.174519,-0.286121,-0.168926,0.0744563,-0.0600994,-0.0502056,-0.0234029,-0.167622,-0.397178,0.0115445,0.270734,-0.159533,-0.171995,-0.110228,0.460655,0.274656,0.119698,-0.318027,0.327141,-553.513
-554.335,0.884698,0.218165,4,15,0,564.946,-0.032155,0.244256,-0.133154,0.0721849,0.206326,-0.169998,0.19992,-0.130363,-0.00781901,0.0878502,0.288015,0.0677091,-0.1703,0.0351919,-0.214302,0.143996,-0.182709,-0.294873,-0.34781,-0.032155,0.244256,-0.133154,0.0721849,0.206326,-0.169998,0.19992,-0.130363,-0.00781901,0.0878502,0.288015,0.0677091,-0.1703,0.0351919,-0.214302,0.143996,-0.182709,-0.294873,-0.34781,0.338034,-554.012
-553.325,1,0.218165,4,15,0,559.813,-0.0221161,0.265787,-0.0924849,-0.0489422,0.103273,-0.184584,0.190271,-0.208913,0.0755073,-0.015943,0.292994,0.111732,-0.186461,-0.291864,-0.399034,0.238815,0.0680624,0.0116883,-0.25392,-0.0221161,0.265787,-0.0924849,-0.0489422,0.103273,-0.184584,0.190271,-0.208913,0.0755073,-0.015943,0.292994,0.111732,-0.186461,-0.291864,-0.399034,0.238815,0.0680624,0.0116883,-0.25392,0.346131,-552.967
-554.299,0.944397,0.218165,4,15,0,568.9,0.280404,0.221552,-0.263579,-0.00851675,0.159298,-0.0558584,-0.152566,-0.252605,-0.197526,-0.0789809,-0.0607792,0.180041,-0.169005,0.0653478,0.0413428,0.466527,-0.0199872,-0.215819,-0.307332,0.280404,0.221552,-0.263579,-0.00851675,0.159298,-0.0558584,-0.152566,-0.252605,-0.197526,-0.0789809,-0.0607792,0.180041,-0.169005,0.0653478,0.0413428,0.466527,-0.0199872,-0.215819,-0.307332,0.368042,-553.905
-559.76,0.970365,0.218165,4,15,0,564.584,0.20755,0.209544,-0.335138,0.121807,0.349914,0.115163,-0.0823533,-0.362281,-0.12816,-0.0731719,-0.107528,0.390517,-0.309928,-0.0184679,-0.0511179,0.454614,-0.111659,-0.318189,-0.326329,0.20755,0.209544,-0.335138,0.121807,0.349914,0.115163,-0.0823533,-0.362281,-0.12816,-0.0731719,-0.107528,0.390517,-0.309928,-0.0184679,-0.0511179,0.454614,-0.111659,-0.318189,-0.326329,0.375214,-559.161
-556.759,0.992728,0.218165,4,15,0,571.067,-0.0477134,0.405341,-0.0771723,-0.410136,0.17629,-0.325788,0.104252,0.0371248,-0.187338,0.0408639,0.313806,0.0244575,-0.0768949,-0.0748522,-0.351547,0.325706,0.0798547,0.03955,-0.405119,-0.0477134,0.405341,-0.0771723,-0.410136,0.17629,-0.325788,0.104252,0.0371248,-0.187338,0.0408639,0.313806,0.0244575,-0.0768949,-0.0748522,-0.351547,0.325706,0.0798547,0.03955,-0.405119,0.409314,-556.24
-558.306,0.958446,0.218165,4,15,0,568.761,0.125027,0.193423,-0.203561,-0.271093,0.0858218,0.307242,0.226212,-0.117057,-0.0559594,-0.209716,-0.0383184,0.101387,-0.395535,0.212706,-0.156561,0.156491,0.0895051,-0.16645,-0.231451,0.125027,0.193423,-0.203561,-0.271093,0.0858218,0.307242,0.226212,-0.117057,-0.0559594,-0.209716,-0.0383184,0.101387,-0.395535,0.212706,-0.156561,0.156491,0.0895051,-0.16645,-0.231451,0.347887,-557.939
